,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Zlatan Ibrahimovic,,"€ 172,500","€ 8,970,000",CF,39,,"Jun 30, 2022",1-yr,"€ 8,970,000",AC Milan,Serie A,2021-2022
1,Alessio Romagnoli,,"€ 124,615","€ 6,480,000",CB,26,,"Jun 30, 2022",1-yr,"€ 6,480,000",AC Milan,Serie A,2021-2022
2,Alessandro Florenzi,,"€ 106,923","€ 5,560,000",RB,30,,"Jun 30, 2022",1-yr,"€ 5,560,000",AC Milan,Serie A,2021-2022
3,Tiemoué Bakayoko,,"€ 89,038","€ 4,630,000",DM,27,,"Jun 30, 2023",2-yrs,"€ 9,260,000",AC Milan,Serie A,2021-2022
4,Olivier Giroud,,"€ 86,346","€ 4,490,000",CF,34,,"Jun 30, 2023",2-yrs,"€ 8,980,000",AC Milan,Serie A,2021-2022
5,Ante Rebic,,"€ 86,346","€ 4,490,000",LW,27,,"Jun 30, 2025",4-yrs,"€ 17,960,000",AC Milan,Serie A,2021-2022
6,Franck Kessié,,"€ 78,269","€ 4,070,000",CM,24,,"Jun 30, 2022",1-yr,"€ 4,070,000",AC Milan,Serie A,2021-2022
7,Andrea Conti,,"€ 71,154","€ 3,700,000",RB,27,,"Jun 30, 2022",1-yr,"€ 3,700,000",AC Milan,Serie A,2021-2022
8,Davide Calabria,,"€ 71,154","€ 3,700,000",RB,24,,"Jun 30, 2025",4-yrs,"€ 14,800,000",AC Milan,Serie A,2021-2022
9,Mike Maignan,,"€ 69,038","€ 3,590,000",GK,26,,"Jun 30, 2026",5-yrs,"€ 17,950,000",AC Milan,Serie A,2021-2022
10,Ismaël Bennacer,,"€ 53,462","€ 2,780,000",DM,23,,"Jun 30, 2024",3-yrs,"€ 8,340,000",AC Milan,Serie A,2021-2022
11,Samu Castillejo,,"€ 53,462","€ 2,780,000",RW,26,,"Jun 30, 2023",2-yrs,"€ 5,560,000",AC Milan,Serie A,2021-2022
12,Junior Messias,,"€ 53,462","€ 2,780,000",SS,30,,"Jun 30, 2022",1-yr,"€ 2,780,000",AC Milan,Serie A,2021-2022
13,Fikayo Tomori,,"€ 49,231","€ 2,560,000",CB,23,,"Jun 30, 2025",4-yrs,"€ 10,240,000",AC Milan,Serie A,2021-2022
14,Sandro Tonali,,"€ 42,692","€ 2,220,000",DM,21,,"Jun 30, 2026",5-yrs,"€ 11,100,000",AC Milan,Serie A,2021-2022
15,Rade Krunic,,"€ 39,231","€ 2,040,000",CM,27,,"Jun 30, 2024",3-yrs,"€ 6,120,000",AC Milan,Serie A,2021-2022
16,Theo Hernández,,"€ 36,923","€ 1,920,000",LB,23,,"Jun 30, 2024",3-yrs,"€ 5,760,000",AC Milan,Serie A,2021-2022
17,Brahim Díaz,,"€ 36,923","€ 1,920,000",AM,21,,"Jun 30, 2023",2-yrs,"€ 3,840,000",AC Milan,Serie A,2021-2022
18,Mattia Caldara,,"€ 35,577","€ 1,850,000",CB,27,,"Jun 30, 2023",2-yrs,"€ 3,700,000",AC Milan,Serie A,2021-2022
19,Rafael Leão,,"€ 34,423","€ 1,790,000",CF,22,,"Jun 30, 2024",3-yrs,"€ 5,370,000",AC Milan,Serie A,2021-2022
20,Ciprian Tatarusanu,,"€ 29,615","€ 1,540,000",GK,35,,"Jun 30, 2023",2-yrs,"€ 3,080,000",AC Milan,Serie A,2021-2022
21,Simon Kjaer,,"€ 29,615","€ 1,540,000",CB,32,,"Jun 30, 2022",1-yr,"€ 1,540,000",AC Milan,Serie A,2021-2022
22,Pietro Pellegri,,"€ 24,615","€ 1,280,000",CF,20,,"Jun 30, 2022",1-yr,"€ 1,280,000",AC Milan,Serie A,2021-2022
23,Jens Petter Hauge,,"€ 24,615","€ 1,280,000",LW,21,,"Jun 30, 2025",4-yrs,"€ 5,120,000",AC Milan,Serie A,2021-2022
24,Fodé Ballo-Touré,,"€ 24,615","€ 1,280,000",LB,24,,"Jun 30, 2025",4-yrs,"€ 5,120,000",AC Milan,Serie A,2021-2022
25,Alexis Saelemaekers,,"€ 24,615","€ 1,280,000",RW,22,,"Jun 30, 2024",3-yrs,"€ 3,840,000",AC Milan,Serie A,2021-2022
26,Matteo Gabbia,,"€ 21,346","€ 1,110,000",CB,21,,"Jun 30, 2024",3-yrs,"€ 3,330,000",AC Milan,Serie A,2021-2022
27,Pierre Kalulu,,"€ 14,808","€ 770,000",RB,21,,"Jun 30, 2025",4-yrs,"€ 3,080,000",AC Milan,Serie A,2021-2022
28,Lorenzo Colombo,,"€ 10,769","€ 560,000",CF,19,,"Jun 30, 2024",3-yrs,"€ 1,680,000",AC Milan,Serie A,2021-2022
29,Daniel Maldini,,"€ 10,769","€ 560,000",AM,19,,"Jun 30, 2024",3-yrs,"€ 1,680,000",AC Milan,Serie A,2021-2022
30,Alessandro Plizzari,,"€ 5,769","€ 300,000",GK,21,,"Jun 30, 2023",2-yrs,"€ 600,000",AC Milan,Serie A,2021-2022
