,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Duván Zapata,,"€ 64,038","€ 3,330,000",CF,30,,"Jun 30, 2023",2-yrs,"€ 6,660,000",Atalanta,Serie A,2021-2022
1,Josip Ilicic,,"€ 64,038","€ 3,330,000",SS,33,,"Jun 30, 2022",1-yr,"€ 3,330,000",Atalanta,Serie A,2021-2022
2,Juan Musso,,"€ 56,923","€ 2,960,000",GK,27,,"Jun 30, 2025",4-yrs,"€ 11,840,000",Atalanta,Serie A,2021-2022
3,Aleksey Miranchuk,,"€ 53,462","€ 2,780,000",AM,25,,"Jun 30, 2024",3-yrs,"€ 8,340,000",Atalanta,Serie A,2021-2022
4,Viktor Kovalenko,,"€ 49,231","€ 2,560,000",AM,25,,"Jun 30, 2025",4-yrs,"€ 10,240,000",Atalanta,Serie A,2021-2022
5,Luis Muriel,,"€ 44,423","€ 2,310,000",CF,30,,"Jun 30, 2023",2-yrs,"€ 4,620,000",Atalanta,Serie A,2021-2022
6,Marten de Roon,,"€ 35,577","€ 1,850,000",DM,30,,"Jun 30, 2024",3-yrs,"€ 5,550,000",Atalanta,Serie A,2021-2022
7,Mario Pasalic,,"€ 35,577","€ 1,850,000",CM,26,,"Jun 30, 2025",4-yrs,"€ 7,400,000",Atalanta,Serie A,2021-2022
8,Rafael Tolói,,"€ 35,577","€ 1,850,000",CB,30,,"Jun 30, 2023",2-yrs,"€ 3,700,000",Atalanta,Serie A,2021-2022
9,Hans Hateboer,,"€ 28,462","€ 1,480,000",RB,27,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Atalanta,Serie A,2021-2022
10,Berat Djimsiti,,"€ 28,462","€ 1,480,000",CB,28,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Atalanta,Serie A,2021-2022
11,José Luis Palomino,,"€ 28,462","€ 1,480,000",CB,31,,"Jun 30, 2022",1-yr,"€ 1,480,000",Atalanta,Serie A,2021-2022
12,Remo Freuler,,"€ 28,462","€ 1,480,000",CM,29,,"Jun 30, 2022",1-yr,"€ 1,480,000",Atalanta,Serie A,2021-2022
13,Robin Gosens,,"€ 28,462","€ 1,480,000",LB,27,,"Jun 30, 2023",2-yrs,"€ 2,960,000",Atalanta,Serie A,2021-2022
14,Ruslan Malinovskyi,,"€ 24,615","€ 1,280,000",AM,28,,"Jun 30, 2023",2-yrs,"€ 2,560,000",Atalanta,Serie A,2021-2022
15,Marco Sportiello,,"€ 21,346","€ 1,110,000",GK,29,,"Jun 30, 2022",1-yr,"€ 1,110,000",Atalanta,Serie A,2021-2022
16,Arkadiusz Reca,,"€ 21,346","€ 1,110,000",LM,26,,"Jun 30, 2022",1-yr,"€ 1,110,000",Atalanta,Serie A,2021-2022
17,Sam Lammers,,"€ 19,808","€ 1,030,000",CF,24,,"Jun 30, 2023",2-yrs,"€ 2,060,000",Atalanta,Serie A,2021-2022
18,Joakim Maehle,,"€ 17,308","€ 900,000",RB,24,,"Jun 30, 2025",4-yrs,"€ 3,600,000",Atalanta,Serie A,2021-2022
19,Matteo Pessina,,"€ 14,231","€ 740,000",AM,24,,"Jun 30, 2022",1-yr,"€ 740,000",Atalanta,Serie A,2021-2022
20,Boris Radunović,,"€ 10,962","€ 570,000",GK,25,,"Jun 30, 2022",1-yr,"€ 570,000",Atalanta,Serie A,2021-2022
21,Federico Mattiello,,"€ 10,769","€ 560,000",RB,26,,"Jun 30, 2022",1-yr,"€ 560,000",Atalanta,Serie A,2021-2022
22,Roberto Piccoli,,"€ 10,769","€ 560,000",CF,20,,"Jun 30, 2022",1-yr,"€ 560,000",Atalanta,Serie A,2021-2022
23,Ebrima Colley,,"€ 7,115","€ 370,000",LW,21,,"Jun 30, 2024",3-yrs,"€ 1,110,000",Atalanta,Serie A,2021-2022
24,Bosko Sutalo,,"€ 6,154","€ 320,000",CB,21,,"Jun 30, 2024",3-yrs,"€ 960,000",Atalanta,Serie A,2021-2022
25,Francesco Rossi,,"€ 3,654","€ 190,000",GK,30,,"Jun 30, 2022",1-yr,"€ 190,000",Atalanta,Serie A,2021-2022
26,Cristian Romero,,"€ 3,269","€ 170,000",CB,23,,"Jun 30, 2022",1-yr,"€ 170,000",Atalanta,Serie A,2021-2022
27,Matteo Ruggeri,,€ 769,"€ 40,000",LB,19,,"Jun 30, 2024",3-yrs,"€ 120,000",Atalanta,Serie A,2021-2022
28,Nadir Zortea,,€ 0,€ 0,RB,22,,"Jun 30, 2024",3-yrs,€ 0,Atalanta,Serie A,2021-2022
29,Christian Capone,,€ 0,€ 0,LW,22,,"Jun 30, 2023",2-yrs,€ 0,Atalanta,Serie A,2021-2022
30,Simone Muratore,,€ 0,€ 0,CM,23,,"Jun 30, 2023",2-yrs,€ 0,Atalanta,Serie A,2021-2022
31,Luca Valzania,,€ 0,€ 0,CM,25,,"Jun 30, 2023",2-yrs,€ 0,Atalanta,Serie A,2021-2022
32,Rodrigo Guth,,€ 0,€ 0,CB,20,,"Jun 30, 2022",1-yr,€ 0,Atalanta,Serie A,2021-2022
33,Davide Zappacosta,,€ 0,€ 0,RB,29,,"Jun 30, 2025",4-yrs,€ 0,Atalanta,Serie A,2021-2022
34,Salvatore Elia,,€ 0,€ 0,RW,22,,"Jun 30, 2023",2-yrs,€ 0,Atalanta,Serie A,2021-2022
35,Jacopo Da Riva,,€ 0,€ 0,CM,20,,"Jun 30, 2024",3-yrs,€ 0,Atalanta,Serie A,2021-2022
36,Enrico Del Prato,,€ 0,€ 0,RB,21,,"Jun 30, 2022",1-yr,€ 0,Atalanta,Serie A,2021-2022
37,Marco Tumminello,,€ 0,€ 0,CF,22,,"Jun 30, 2022",1-yr,€ 0,Atalanta,Serie A,2021-2022
38,David Heidenreich,,€ 0,€ 0,CB,21,,"Jun 30, 2024",3-yrs,€ 0,Atalanta,Serie A,2021-2022
39,Bryan Cabezas,,€ 0,€ 0,LW,24,,"Jun 30, 2022",1-yr,€ 0,Atalanta,Serie A,2021-2022
40,Marco Carraro,,€ 0,€ 0,DM,23,,"Jun 30, 2022",1-yr,€ 0,Atalanta,Serie A,2021-2022
