,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Kevin Strootman,,"€ 81,346","€ 4,230,000",CM,31,,"Jun 30, 2022",1-yr,"€ 4,230,000",Cagliari,Serie A,2021-2022
1,Diego Godín,,"€ 74,038","€ 3,850,000",CB,35,,"Jun 30, 2023",2-yrs,"€ 7,700,000",Cagliari,Serie A,2021-2022
2,Giovanni Simeone,,"€ 53,462","€ 2,780,000",CF,26,,"Jun 30, 2024",3-yrs,"€ 8,340,000",Cagliari,Serie A,2021-2022
3,Marko Rog,,"€ 53,462","€ 2,780,000",CM,25,,"Jun 30, 2024",3-yrs,"€ 8,340,000",Cagliari,Serie A,2021-2022
4,Leonardo Pavoletti,,"€ 49,808","€ 2,590,000",CF,32,,"Jun 30, 2024",3-yrs,"€ 7,770,000",Cagliari,Serie A,2021-2022
5,João Pedro,,"€ 49,808","€ 2,590,000",SS,29,,"Jun 30, 2023",2-yrs,"€ 5,180,000",Cagliari,Serie A,2021-2022
6,Nahitan Nández,,"€ 39,423","€ 2,050,000",CM,25,,"Jun 30, 2024",3-yrs,"€ 6,150,000",Cagliari,Serie A,2021-2022
7,Alberto Cerri,,"€ 35,577","€ 1,850,000",CF,25,,"Jun 30, 2024",3-yrs,"€ 5,550,000",Cagliari,Serie A,2021-2022
8,Diego Farias,,"€ 35,577","€ 1,850,000",LW,31,,"Jun 30, 2022",1-yr,"€ 1,850,000",Cagliari,Serie A,2021-2022
9,Luca Ceppitelli,,"€ 35,577","€ 1,850,000",CB,31,,"Jun 30, 2022",1-yr,"€ 1,850,000",Cagliari,Serie A,2021-2022
10,Alessio Cragno,,"€ 35,577","€ 1,850,000",GK,27,,"Jun 30, 2024",3-yrs,"€ 5,550,000",Cagliari,Serie A,2021-2022
11,Gastón Pereiro,,"€ 34,423","€ 1,790,000",AM,26,,"Jun 30, 2024",3-yrs,"€ 5,370,000",Cagliari,Serie A,2021-2022
12,Razvan Marin,,"€ 24,615","€ 1,280,000",CM,25,,"Jun 30, 2025",4-yrs,"€ 5,120,000",Cagliari,Serie A,2021-2022
13,Charalampos Lykogiannis,,"€ 17,885","€ 930,000",LB,27,,"Jun 30, 2022",1-yr,"€ 930,000",Cagliari,Serie A,2021-2022
14,Paolo Faragò,,"€ 17,885","€ 930,000",RB,28,,"Jun 30, 2022",1-yr,"€ 930,000",Cagliari,Serie A,2021-2022
15,Andrea Carboni,,"€ 11,731","€ 610,000",CB,20,,"Jun 30, 2025",4-yrs,"€ 2,440,000",Cagliari,Serie A,2021-2022
16,Gabriele Zappa,,"€ 10,769","€ 560,000",RB,21,,"Jun 30, 2025",4-yrs,"€ 2,240,000",Cagliari,Serie A,2021-2022
17,Alessandro Tripaldelli,,"€ 10,769","€ 560,000",LB,22,,"Jun 30, 2023",2-yrs,"€ 1,120,000",Cagliari,Serie A,2021-2022
18,Alessandro Deiola,,"€ 10,769","€ 560,000",CM,25,,"Jun 30, 2022",1-yr,"€ 560,000",Cagliari,Serie A,2021-2022
19,Zito Luvumbo,,"€ 8,846","€ 460,000",RW,19,,"Jun 30, 2025",4-yrs,"€ 1,840,000",Cagliari,Serie A,2021-2022
20,Christian Oliva,,"€ 7,308","€ 380,000",DM,25,,"Jun 30, 2023",2-yrs,"€ 760,000",Cagliari,Serie A,2021-2022
21,Sebastian Walukiewicz,,"€ 7,308","€ 380,000",CB,21,,"Jun 30, 2024",3-yrs,"€ 1,140,000",Cagliari,Serie A,2021-2022
22,Fabrizio Caligara,,"€ 5,385","€ 280,000",CM,21,,"Jun 30, 2023",2-yrs,"€ 560,000",Cagliari,Serie A,2021-2022
23,Simone Aresti,,"€ 5,385","€ 280,000",GK,35,,"Jun 30, 2022",1-yr,"€ 280,000",Cagliari,Serie A,2021-2022
24,Giuseppe Ciocci,,€ 0,€ 0,GK,19,,"Jun 30, 2024",3-yrs,€ 0,Cagliari,Serie A,2021-2022
25,Damir Ceter,,€ 0,€ 0,CF,23,,"Jun 30, 2022",1-yr,€ 0,Cagliari,Serie A,2021-2022
26,Adam Obert,,€ 0,€ 0,CB,18,,"Jun 30, 2022",1-yr,€ 0,Cagliari,Serie A,2021-2022
27,Riccardo Ladinetti,,€ 0,€ 0,DM,20,,"Jun 30, 2024",3-yrs,€ 0,Cagliari,Serie A,2021-2022
28,Roberto Biancu,,€ 0,€ 0,CM,21,,"Jun 30, 2024",3-yrs,€ 0,Cagliari,Serie A,2021-2022
29,Salvatore Boccia,,€ 0,€ 0,CB,20,,"Jun 30, 2023",2-yrs,€ 0,Cagliari,Serie A,2021-2022
