,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Patrick Cutrone,,"€ 73,462","€ 3,820,000",CF,23,,"Jun 30, 2022",1-yr,"€ 3,820,000",Empoli,Serie A,2021-2022
1,Nicolas Haas,,"€ 17,500","€ 910,000",CM,25,,"Jun 30, 2024",3-yrs,"€ 2,730,000",Empoli,Serie A,2021-2022
2,Alberto Brignoli,,"€ 14,231","€ 740,000",GK,29,,"Jun 30, 2022",1-yr,"€ 740,000",Empoli,Serie A,2021-2022
3,Leonardo Mancuso,,"€ 11,731","€ 610,000",CF,29,,"Jun 30, 2023",2-yrs,"€ 1,220,000",Empoli,Serie A,2021-2022
4,Riccardo Fiamozzi,,"€ 11,731","€ 610,000",RB,28,,"Jun 30, 2022",1-yr,"€ 610,000",Empoli,Serie A,2021-2022
5,Leo Stulac,,"€ 11,731","€ 610,000",DM,26,,"Jun 30, 2023",2-yrs,"€ 1,220,000",Empoli,Serie A,2021-2022
6,Filippo Bandinelli,,"€ 10,962","€ 570,000",CM,26,,"Jun 30, 2023",2-yrs,"€ 1,140,000",Empoli,Serie A,2021-2022
7,Simone Romagnoli,,"€ 10,769","€ 560,000",CB,31,,"Jun 30, 2022",1-yr,"€ 560,000",Empoli,Serie A,2021-2022
8,Guglielmo Vicario,,"€ 10,769","€ 560,000",GK,24,,"Jun 30, 2022",1-yr,"€ 560,000",Empoli,Serie A,2021-2022
9,Andrea La Mantia,,"€ 9,231","€ 480,000",CF,30,,"Jun 30, 2023",2-yrs,"€ 960,000",Empoli,Serie A,2021-2022
10,Stefano Sabelli,,"€ 8,846","€ 460,000",RB,28,,"Jun 30, 2022",1-yr,"€ 460,000",Empoli,Serie A,2021-2022
11,Stefano Moreo,,"€ 7,500","€ 390,000",CF,28,,"Jun 30, 2022",1-yr,"€ 390,000",Empoli,Serie A,2021-2022
12,Giovanni Crociata,,"€ 7,115","€ 370,000",CM,23,,"Jun 30, 2022",1-yr,"€ 370,000",Empoli,Serie A,2021-2022
13,Samuele Damiani,,"€ 7,115","€ 370,000",DM,23,,"Jun 30, 2024",3-yrs,"€ 1,110,000",Empoli,Serie A,2021-2022
14,Roberto Pirrello,,"€ 5,000","€ 260,000",CB,25,,"Jun 30, 2024",3-yrs,"€ 780,000",Empoli,Serie A,2021-2022
15,Samuele Ricci,,"€ 4,231","€ 220,000",CM,19,,"Jun 30, 2024",3-yrs,"€ 660,000",Empoli,Serie A,2021-2022
16,Jacopo Furlan,,"€ 2,500","€ 130,000",GK,28,,"Jun 30, 2022",1-yr,"€ 130,000",Empoli,Serie A,2021-2022
17,Nedim Bajrami,,"€ 2,500","€ 130,000",AM,22,,"Jun 30, 2024",3-yrs,"€ 390,000",Empoli,Serie A,2021-2022
18,Dimitrios Nikolaou,,"€ 1,538","€ 80,000",CB,22,,"Jun 30, 2023",2-yrs,"€ 160,000",Empoli,Serie A,2021-2022
19,Mattia Viti,,"€ 1,154","€ 60,000",CB,19,,"Jun 30, 2025",4-yrs,"€ 240,000",Empoli,Serie A,2021-2022
20,Leandro Pratelli,,€ 769,"€ 40,000",GK,18,,"Jun 30, 2022",1-yr,"€ 40,000",Empoli,Serie A,2021-2022
21,Fabiano Parisi,,€ 769,"€ 40,000",LB,20,,"Jun 30, 2023",2-yrs,"€ 80,000",Empoli,Serie A,2021-2022
22,Simone Canestrelli,,€ 0,€ 0,CB,20,,"Jun 30, 2022",1-yr,€ 0,Empoli,Serie A,2021-2022
23,Samuel Mraz,,€ 0,€ 0,CF,24,,"Jun 30, 2022",1-yr,€ 0,Empoli,Serie A,2021-2022
24,Kevin Piscopo,,€ 0,€ 0,SS,23,,"Jun 30, 2022",1-yr,€ 0,Empoli,Serie A,2021-2022
25,Davide Merola,,€ 0,€ 0,CF,21,,"Jun 30, 2023",2-yrs,€ 0,Empoli,Serie A,2021-2022
