,Player,,Weekly GrossBase Salary(IN EUR),Annual GrossBase Salary(IN EUR),Pos.,Age,Status,Expiration,Length,EstimatedGross Total(IN EUR),Team,League,Season
0,Andrea Belotti,,"€ 71,154","€ 3,700,000",CF,27,,"Jun 30, 2022",1-yr,"€ 3,700,000",Torino,Serie A,2021-2022
1,Salvatore Sirigu,,"€ 71,154","€ 3,700,000",GK,34,,"Jun 30, 2022",1-yr,"€ 3,700,000",Torino,Serie A,2021-2022
2,Armando Izzo,,"€ 60,577","€ 3,150,000",CB,29,,"Jun 30, 2024",3-yrs,"€ 9,450,000",Torino,Serie A,2021-2022
3,Simone Verdi,,"€ 60,577","€ 3,150,000",AM,29,,"Jun 30, 2023",2-yrs,"€ 6,300,000",Torino,Serie A,2021-2022
4,Simone Zaza,,"€ 60,577","€ 3,150,000",CF,30,,"Jun 30, 2023",2-yrs,"€ 6,300,000",Torino,Serie A,2021-2022
5,Iago Falque,,"€ 60,577","€ 3,150,000",RW,31,,"Jun 30, 2022",1-yr,"€ 3,150,000",Torino,Serie A,2021-2022
6,Antonio Sanabria,,"€ 53,462","€ 2,780,000",CF,25,,"Jun 30, 2025",4-yrs,"€ 11,120,000",Torino,Serie A,2021-2022
7,Ricardo Rodríguez,,"€ 53,462","€ 2,780,000",LB,28,,"Jun 30, 2024",3-yrs,"€ 8,340,000",Torino,Serie A,2021-2022
8,Tomás Rincón,,"€ 49,808","€ 2,590,000",DM,33,,"Jun 30, 2022",1-yr,"€ 2,590,000",Torino,Serie A,2021-2022
9,Daniele Baselli,,"€ 49,808","€ 2,590,000",CM,29,,"Jun 30, 2022",1-yr,"€ 2,590,000",Torino,Serie A,2021-2022
10,Karol Linetty,,"€ 49,808","€ 2,590,000",CM,26,,"Jun 30, 2024",3-yrs,"€ 7,770,000",Torino,Serie A,2021-2022
11,Cristian Ansaldi,,"€ 35,577","€ 1,850,000",LB,34,,"Jun 30, 2022",1-yr,"€ 1,850,000",Torino,Serie A,2021-2022
12,Ola Aina,,"€ 35,577","€ 1,850,000",RB,24,,"Jun 30, 2023",2-yrs,"€ 3,700,000",Torino,Serie A,2021-2022
13,Marko Pjaca,,"€ 28,462","€ 1,480,000",LW,26,,"Jun 30, 2022",1-yr,"€ 1,480,000",Torino,Serie A,2021-2022
14,Sasa Lukic,,"€ 25,000","€ 1,300,000",CM,24,,"Jun 30, 2024",3-yrs,"€ 3,900,000",Torino,Serie A,2021-2022
15,Rolando Mandragora,,"€ 21,346","€ 1,110,000",DM,24,,"Jun 30, 2022",1-yr,"€ 1,110,000",Torino,Serie A,2021-2022
16,Lyanco,,"€ 21,346","€ 1,110,000",CB,24,,"Jun 30, 2024",3-yrs,"€ 3,330,000",Torino,Serie A,2021-2022
17,Bremer,,"€ 17,885","€ 930,000",CB,24,,"Jun 30, 2023",2-yrs,"€ 1,860,000",Torino,Serie A,2021-2022
18,Mërgim Vojvoda,,"€ 17,308","€ 900,000",RB,26,,"Jun 30, 2024",3-yrs,"€ 2,700,000",Torino,Serie A,2021-2022
19,Vanja Milinković-Savić,,"€ 14,231","€ 740,000",GK,24,,"Jun 30, 2024",3-yrs,"€ 2,220,000",Torino,Serie A,2021-2022
20,Tommaso Pobega,,"€ 10,769","€ 560,000",CM,21,,"Jun 30, 2022",1-yr,"€ 560,000",Torino,Serie A,2021-2022
21,Koffi Djidji,,"€ 9,038","€ 470,000",CB,28,,"Jun 30, 2023",2-yrs,"€ 940,000",Torino,Serie A,2021-2022
22,Alessandro Buongiorno,,"€ 7,115","€ 370,000",CB,22,,"Jun 30, 2024",3-yrs,"€ 1,110,000",Torino,Serie A,2021-2022
23,Wilfried Stephane Singo,,"€ 5,000","€ 260,000",RB,20,,"Jun 30, 2023",2-yrs,"€ 520,000",Torino,Serie A,2021-2022
24,Razvan Sava,,€ 0,€ 0,GK,19,,"Jun 30, 2023",2-yrs,€ 0,Torino,Serie A,2021-2022
25,Nicola Rauti,,€ 0,€ 0,CF,21,,"Jun 30, 2022",1-yr,€ 0,Torino,Serie A,2021-2022
26,Magnus Warming,,€ 0,€ 0,LW,21,,"Jun 30, 2024",3-yrs,€ 0,Torino,Serie A,2021-2022
27,Simone Edera,,€ 0,€ 0,RW,24,,"Jun 30, 2023",2-yrs,€ 0,Torino,Serie A,2021-2022
28,Luca Gemello,,€ 0,€ 0,GK,21,,"Jun 30, 2022",1-yr,€ 0,Torino,Serie A,2021-2022
29,Jacopo Segre,,€ 0,€ 0,CM,24,,"Jun 30, 2023",2-yrs,€ 0,Torino,Serie A,2021-2022
30,Ibrahim Karamoko,,€ 0,€ 0,CM,19,,"Jun 30, 2023",2-yrs,€ 0,Torino,Serie A,2021-2022
31,Etrit Berisha,,€ 0,€ 0,GK,32,,"Jun 30, 2024",3-yrs,€ 0,Torino,Serie A,2021-2022
32,Christian Celesia,,€ 0,€ 0,CB,19,,"Jun 30, 2023",2-yrs,€ 0,Torino,Serie A,2021-2022
33,Vincenzo Millico,,€ 0,€ 0,LW,20,,"Jun 30, 2023",2-yrs,€ 0,Torino,Serie A,2021-2022
34,Ben Lhassine Kone,,€ 0,€ 0,AM,21,,"Jun 30, 2023",2-yrs,€ 0,Torino,Serie A,2021-2022
