Rank,Club,Country,Level,Elo,From,To
None,Besa Kavaje,ALB,0,1325.26123047,1972-07-01,1972-09-13
None,Besa Kavaje,ALB,0,1337.46850586,1972-09-14,1972-09-27
None,Besa Kavaje,ALB,0,1338.1463623,1972-09-28,1972-10-25
None,Besa Kavaje,ALB,0,1335.00732422,1972-10-26,1972-11-08
None,Besa Kavaje,ALB,0,1334.84558105,1972-11-09,1978-07-01
None,Besa Kavaje,ALB,0,1135.80712891,2007-07-01,2007-07-18
None,Besa Kavaje,ALB,0,1135.15930176,2007-07-19,2007-07-19
None,Besa Kavaje,ALB,0,1140.37182617,2007-07-20,2007-07-25
None,Besa Kavaje,ALB,0,1137.80151367,2007-07-26,2007-08-02
None,Besa Kavaje,ALB,0,1149.2956543,2007-08-03,2007-08-16
None,Besa Kavaje,ALB,0,1144.39709473,2007-08-17,2007-08-30
None,Besa Kavaje,ALB,0,1142.92724609,2007-08-31,2008-07-01
None,Besa Kavaje,ALB,0,1106.59655762,2010-07-01,2010-07-01
None,Besa Kavaje,ALB,0,1105.75463867,2010-07-02,2010-07-08
None,Besa Kavaje,ALB,0,1105.65856934,2010-07-09,2010-07-14
None,Besa Kavaje,ALB,0,1102.5802002,2010-07-15,2010-07-15
None,Besa Kavaje,ALB,0,1099.98522949,2010-07-16,2010-07-20
None,Besa Kavaje,ALB,0,1100.3145752,2010-07-21,2010-07-22
None,Besa Kavaje,ALB,0,1099.69580078,2010-07-23,2011-06-30
None,Besa Kavaje,ALB,0,1122.51159668,2011-07-01,2011-07-01
