Rank,Club,Country,Level,Elo,From,To
None,Flamurtari,ALB,0,1237.81152344,1985-07-01,1985-09-18
None,Flamurtari,ALB,0,1236.37524414,1985-09-19,1985-10-02
None,Flamurtari,ALB,0,1189.70080566,1985-10-03,1985-10-23
None,Flamurtari,ALB,0,1190.30151367,1985-10-24,1985-11-06
None,Flamurtari,ALB,0,1189.45361328,1985-11-07,1986-09-17
None,Flamurtari,ALB,0,1189.24780273,1986-09-18,1986-10-01
None,Flamurtari,ALB,0,1230.1385498,1986-10-02,1986-10-22
None,Flamurtari,ALB,0,1227.93103027,1986-10-23,1986-11-05
None,Flamurtari,ALB,0,1228.51928711,1986-11-06,1987-09-13
None,Flamurtari,ALB,0,1231.20153809,1987-09-14,1987-09-16
None,Flamurtari,ALB,0,1246.9317627,1987-09-17,1987-09-29
None,Flamurtari,ALB,0,1251.18200684,1987-09-30,1987-09-30
None,Flamurtari,ALB,0,1291.35449219,1987-10-01,1987-10-21
None,Flamurtari,ALB,0,1277.32019043,1987-10-22,1987-11-03
None,Flamurtari,ALB,0,1274.79345703,1987-11-04,1987-11-04
None,Flamurtari,ALB,0,1311.28039551,1987-11-05,1987-11-25
None,Flamurtari,ALB,0,1310.50842285,1987-11-26,1987-12-09
None,Flamurtari,ALB,0,1310.56884766,1987-12-10,1988-09-07
None,Flamurtari,ALB,0,1290.20751953,1988-09-08,1988-10-05
None,Flamurtari,ALB,0,1292.6237793,1988-10-06,1988-10-26
None,Flamurtari,ALB,0,1290.38305664,1988-10-27,1988-11-09
None,Flamurtari,ALB,0,1290.24841309,1988-11-10,1989-07-02
None,Flamurtari,ALB,0,1258.11254883,1990-07-02,1990-09-19
None,Flamurtari,ALB,0,1251.32177734,1990-09-20,1990-10-03
None,Flamurtari,ALB,0,1244.34020996,1990-10-04,1991-09-18
None,Flamurtari,ALB,0,1250.75061035,1991-09-19,1991-10-01
None,Flamurtari,ALB,0,1249.04077148,1991-10-02,1991-10-02
None,Flamurtari,ALB,0,1237.11206055,1991-10-03,1991-10-03
None,Flamurtari,ALB,0,1236.36914062,1991-10-04,1993-07-01
None,Flamurtari,ALB,0,1169.70727539,1996-07-02,1996-07-17
None,Flamurtari,ALB,0,1161.42480469,1996-07-18,1996-07-24
None,Flamurtari,ALB,0,1161.24841309,1996-07-25,1996-08-08
None,Flamurtari,ALB,0,1160.83581543,1996-08-09,1996-08-22
None,Flamurtari,ALB,0,1154.22216797,1996-08-23,1998-07-03
None,Flamurtari,ALB,0,1108.07995605,2009-07-01,2009-07-02
None,Flamurtari,ALB,0,1109.5222168,2009-07-03,2009-07-09
None,Flamurtari,ALB,0,1113.28234863,2009-07-10,2009-07-15
None,Flamurtari,ALB,0,1114.00280762,2009-07-16,2009-07-16
None,Flamurtari,ALB,0,1124.8692627,2009-07-17,2009-07-21
None,Flamurtari,ALB,0,1123.23876953,2009-07-22,2009-07-23
None,Flamurtari,ALB,0,1101.81079102,2009-07-24,2010-07-01
None,Flamurtari,ALB,0,1100.96887207,2010-07-02,2010-07-02
None,Flamurtari,ALB,0,1100.76489258,2011-06-30,2011-06-30
None,Flamurtari,ALB,0,1142.07141113,2011-07-01,2011-07-07
None,Flamurtari,ALB,0,1131.69030762,2011-07-08,2011-07-13
None,Flamurtari,ALB,0,1130.93127441,2011-07-14,2011-07-14
None,Flamurtari,ALB,0,1131.16625977,2011-07-15,2011-07-20
None,Flamurtari,ALB,0,1130.73327637,2011-07-21,2011-07-21
None,Flamurtari,ALB,0,1123.7409668,2011-07-22,2012-07-05
None,Flamurtari,ALB,0,1108.68164062,2012-07-06,2012-07-12
None,Flamurtari,ALB,0,1099.77026367,2012-07-13,2012-07-17
None,Flamurtari,ALB,0,1103.92456055,2012-07-18,2012-07-19
None,Flamurtari,ALB,0,1103.58544922,2012-07-20,2012-07-24
None,Flamurtari,ALB,0,1098.51599121,2012-07-25,2012-07-26
None,Flamurtari,ALB,0,1093.6036377,2012-07-27,2013-07-01
None,Flamurtari,ALB,0,1127.04101562,2014-07-01,2014-07-03
None,Flamurtari,ALB,0,1149.79382324,2014-07-04,2014-07-10
None,Flamurtari,ALB,0,1146.30834961,2014-07-11,2014-07-15
None,Flamurtari,ALB,0,1147.90356445,2014-07-16,2014-07-17
None,Flamurtari,ALB,0,1145.12023926,2014-07-18,2014-07-22
None,Flamurtari,ALB,0,1142.85949707,2014-07-23,2014-07-24
None,Flamurtari,ALB,0,1142.1965332,2014-07-25,2015-07-01
