Rank,Club,Country,Level,Elo,From,To
None,Santa Coloma,AND,0,959.997131348,2001-07-01,2001-08-09
None,Santa Coloma,AND,0,959.585571289,2001-08-10,2001-08-23
None,Santa Coloma,AND,0,958.575073242,2001-08-24,2002-07-01
None,Santa Coloma,AND,0,958.050842285,2003-07-01,2003-08-14
None,Santa Coloma,AND,0,956.527832031,2003-08-15,2003-08-28
None,Santa Coloma,AND,0,956.357666016,2003-08-29,2004-07-15
None,Santa Coloma,AND,0,955.183227539,2004-07-16,2004-07-29
None,Santa Coloma,AND,0,953.169372559,2004-07-30,2005-07-02
None,Santa Coloma,AND,0,900.346191406,2007-07-01,2007-07-18
None,Santa Coloma,AND,0,895.491333008,2007-07-19,2007-07-19
None,Santa Coloma,AND,0,905.572631836,2007-07-20,2007-07-24
None,Santa Coloma,AND,0,901.834716797,2007-07-25,2007-08-02
None,Santa Coloma,AND,0,891.725891113,2007-08-03,2008-07-15
None,Santa Coloma,AND,0,880.25378418,2008-07-16,2008-07-17
None,Santa Coloma,AND,0,878.479125977,2008-07-18,2008-07-22
None,Santa Coloma,AND,0,877.345825195,2008-07-23,2008-07-31
None,Santa Coloma,AND,0,876.506591797,2008-08-01,2009-07-01
None,Santa Coloma,AND,0,879.183166504,2009-07-02,2009-07-07
None,Santa Coloma,AND,0,868.41796875,2009-07-08,2009-07-15
None,Santa Coloma,AND,0,868.293579102,2009-07-16,2009-07-16
None,Santa Coloma,AND,0,868.188720703,2009-07-17,2009-07-21
None,Santa Coloma,AND,0,868.128112793,2009-07-22,2009-07-23
None,Santa Coloma,AND,0,868.092712402,2009-07-24,2010-06-29
None,Santa Coloma,AND,0,840.414428711,2010-06-30,2010-07-01
None,Santa Coloma,AND,0,838.260131836,2010-07-02,2010-07-06
None,Santa Coloma,AND,0,838.11126709,2010-07-07,2010-07-08
None,Santa Coloma,AND,0,837.394897461,2010-07-09,2010-07-15
None,Santa Coloma,AND,0,835.604431152,2010-07-16,2010-07-23
None,Santa Coloma,AND,0,834.503479004,2010-07-24,2011-06-28
None,Santa Coloma,AND,0,816.19934082,2011-06-29,2011-06-30
None,Santa Coloma,AND,0,814.040466309,2011-07-01,2011-07-05
None,Santa Coloma,AND,0,810.445556641,2011-07-06,2011-07-07
None,Santa Coloma,AND,0,809.901428223,2011-07-08,2011-07-14
None,Santa Coloma,AND,0,809.820678711,2011-07-15,2011-07-21
None,Santa Coloma,AND,0,809.796264648,2011-07-22,2012-07-03
None,Santa Coloma,AND,0,800.554748535,2012-07-04,2012-07-05
None,Santa Coloma,AND,0,800.275817871,2012-07-06,2012-07-10
None,Santa Coloma,AND,0,800.133422852,2012-07-11,2012-07-12
None,Santa Coloma,AND,0,799.487976074,2012-07-13,2013-07-02
None,Santa Coloma,AND,0,796.049804688,2013-07-03,2013-07-04
None,Santa Coloma,AND,0,789.362731934,2013-07-05,2013-07-09
None,Santa Coloma,AND,0,778.776306152,2013-07-10,2013-07-11
None,Santa Coloma,AND,0,779.375610352,2013-07-12,2014-07-01
None,Santa Coloma,AND,0,794.503112793,2014-07-02,2014-07-03
None,Santa Coloma,AND,0,792.088989258,2014-07-04,2014-07-08
None,Santa Coloma,AND,0,807.885375977,2014-07-09,2014-07-10
None,Santa Coloma,AND,0,807.372802734,2014-07-11,2014-07-15
None,Santa Coloma,AND,0,807.45123291,2014-07-16,2014-07-22
None,Santa Coloma,AND,0,807.355407715,2014-07-23,2015-06-30
None,Santa Coloma,AND,0,811.544372559,2015-07-01,2015-07-02
None,Santa Coloma,AND,0,811.565673828,2015-07-03,2015-07-07
None,Santa Coloma,AND,0,790.171630859,2015-07-08,2015-07-09
None,Santa Coloma,AND,0,790.02746582,2015-07-10,2016-06-28
None,Santa Coloma,AND,0,792.541259766,2016-06-29,2016-06-30
None,Santa Coloma,AND,0,792.102172852,2016-07-01,2016-07-05
None,Santa Coloma,AND,0,778.560058594,2016-07-06,2016-07-07
None,Santa Coloma,AND,0,778.297302246,2016-07-08,2017-06-27
None,Santa Coloma,AND,0,775.866821289,2017-06-28,2017-06-29
None,Santa Coloma,AND,0,775.680358887,2017-06-30,2017-07-04
None,Santa Coloma,AND,0,771.658203125,2017-07-05,2017-07-06
None,Santa Coloma,AND,0,770.213378906,2017-07-07,2018-06-26
None,Santa Coloma,AND,0,760.212402344,2018-06-27,2018-06-28
None,Santa Coloma,AND,0,762.606262207,2018-06-29,2018-07-05
None,Santa Coloma,AND,0,768.224487305,2018-07-06,2018-07-12
None,Santa Coloma,AND,0,767.989562988,2018-07-13,2018-07-19
None,Santa Coloma,AND,0,767.847839355,2018-07-20,2018-07-26
None,Santa Coloma,AND,0,777.559875488,2018-07-27,2018-08-02
None,Santa Coloma,AND,0,765.853088379,2018-08-03,2019-06-25
None,Santa Coloma,AND,0,780.007263184,2019-06-26,2019-06-27
None,Santa Coloma,AND,0,790.620056152,2019-06-28,2019-06-28
None,Santa Coloma,AND,0,786.818603516,2019-06-29,2019-07-04
None,Santa Coloma,AND,0,777.354248047,2019-07-05,2019-07-11
None,Santa Coloma,AND,0,776.307312012,2019-07-12,2019-07-18
None,Santa Coloma,AND,0,776.172546387,2019-07-19,2019-07-23
None,Santa Coloma,AND,0,777.029663086,2019-07-24,2019-08-01
None,Santa Coloma,AND,0,776.117919922,2019-08-02,2020-08-08
None,Santa Coloma,AND,0,773.761962891,2020-08-09,2020-08-18
None,Santa Coloma,AND,0,769.814147949,2020-08-19,2020-08-20
None,Santa Coloma,AND,0,782.581420898,2020-08-21,2020-09-17
None,Santa Coloma,AND,0,781.184326172,2020-09-18,2021-06-22
None,Santa Coloma,AND,0,795.081970215,2021-06-23,2021-06-25
None,Santa Coloma,AND,0,791.050170898,2021-06-26,2021-07-06
None,Santa Coloma,AND,0,794.576538086,2021-07-07,2021-07-08
None,Santa Coloma,AND,0,794.848571777,2021-07-09,2021-07-15
None,Santa Coloma,AND,0,844.565856934,2021-07-16,2021-07-22
None,Santa Coloma,AND,0,856.715820312,2021-07-23,2021-07-27
None,Santa Coloma,AND,0,843.635864258,2021-07-28,2021-07-29
None,Santa Coloma,AND,0,843.265075684,2021-07-30,2021-09-19
None,Santa Coloma,AND,0,843.265075684,2021-09-20,2021-12-31
