Rank,Club,Country,Level,Elo,From,To
None,St Poelten,AUT,1,1248.64282227,1988-03-12,1988-03-12
None,St Poelten,AUT,1,1248.83154297,1988-03-13,1988-03-18
None,St Poelten,AUT,1,1240.95715332,1988-03-19,1988-03-26
None,St Poelten,AUT,1,1254.85083008,1988-03-27,1988-04-01
None,St Poelten,AUT,1,1249.50402832,1988-04-02,1988-04-09
None,St Poelten,AUT,1,1247.14831543,1988-04-10,1988-04-16
None,St Poelten,AUT,1,1250.70532227,1988-04-17,1988-04-22
None,St Poelten,AUT,1,1246.40148926,1988-04-23,1988-04-30
None,St Poelten,AUT,1,1260.96276855,1988-05-01,1988-05-06
None,St Poelten,AUT,1,1267.21264648,1988-05-07,1988-05-14
None,St Poelten,AUT,1,1272.29919434,1988-05-15,1988-05-20
None,St Poelten,AUT,1,1276.36804199,1988-05-21,1988-05-28
None,St Poelten,AUT,1,1284.87084961,1988-05-29,1988-06-04
None,St Poelten,AUT,1,1291.09387207,1988-06-05,1988-06-07
None,St Poelten,AUT,1,1308.3692627,1988-06-08,1988-07-22
None,St Poelten,AUT,1,1321.60705566,1988-07-23,1988-07-26
None,St Poelten,AUT,1,1319.4942627,1988-07-27,1988-07-29
None,St Poelten,AUT,1,1337.36315918,1988-07-30,1988-08-05
None,St Poelten,AUT,1,1349.01757812,1988-08-06,1988-08-12
None,St Poelten,AUT,1,1354.98046875,1988-08-13,1988-08-19
None,St Poelten,AUT,1,1363.14599609,1988-08-20,1988-08-23
None,St Poelten,AUT,1,1369.66052246,1988-08-24,1988-08-28
None,St Poelten,AUT,1,1385.68774414,1988-08-29,1988-09-03
None,St Poelten,AUT,1,1380.72912598,1988-09-04,1988-09-07
None,St Poelten,AUT,1,1369.28479004,1988-09-08,1988-09-10
None,St Poelten,AUT,1,1358.7310791,1988-09-11,1988-09-13
None,St Poelten,AUT,1,1362.70458984,1988-09-14,1988-09-17
None,St Poelten,AUT,1,1375.0144043,1988-09-18,1988-09-23
None,St Poelten,AUT,1,1381.11315918,1988-09-24,1988-09-30
None,St Poelten,AUT,1,1377.13354492,1988-10-01,1988-10-05
None,St Poelten,AUT,1,1368.24975586,1988-10-06,1988-10-07
None,St Poelten,AUT,1,1380.30639648,1988-10-08,1988-10-08
None,St Poelten,AUT,1,1367.34765625,1988-10-09,1988-10-11
None,St Poelten,AUT,1,1373.47302246,1988-10-12,1988-10-22
None,St Poelten,AUT,1,1363.91625977,1988-10-23,1988-10-26
None,St Poelten,AUT,1,1365.60778809,1988-10-27,1988-11-05
None,St Poelten,AUT,1,1369.8302002,1988-11-06,1988-11-09
None,St Poelten,AUT,1,1352.06555176,1988-11-10,1988-11-12
None,St Poelten,AUT,1,1347.95288086,1988-11-13,1988-11-19
None,St Poelten,AUT,1,1365.39709473,1988-11-20,1988-11-26
None,St Poelten,AUT,1,1353.20410156,1988-11-27,1988-12-03
None,St Poelten,AUT,1,1348.95422363,1988-12-04,1989-03-11
None,St Poelten,AUT,1,1335.78833008,1989-03-12,1989-03-18
None,St Poelten,AUT,1,1332.36303711,1989-03-19,1989-03-27
None,St Poelten,AUT,1,1324.41931152,1989-03-28,1989-03-31
None,St Poelten,AUT,1,1314.96337891,1989-04-01,1989-04-07
None,St Poelten,AUT,1,1313.08483887,1989-04-08,1989-04-14
None,St Poelten,AUT,1,1314.85131836,1989-04-15,1989-04-21
None,St Poelten,AUT,1,1313.35754395,1989-04-22,1989-04-28
None,St Poelten,AUT,1,1317.21032715,1989-04-29,1989-05-07
None,St Poelten,AUT,1,1312.36486816,1989-05-08,1989-05-12
None,St Poelten,AUT,1,1307.81323242,1989-05-13,1989-05-26
None,St Poelten,AUT,1,1308.8182373,1989-05-27,1989-06-04
None,St Poelten,AUT,1,1302.5604248,1989-06-05,1989-06-06
None,St Poelten,AUT,1,1306.60827637,1989-06-07,1989-06-09
None,St Poelten,AUT,1,1302.98693848,1989-06-10,1989-07-21
None,St Poelten,AUT,1,1300.41882324,1989-07-22,1989-07-25
None,St Poelten,AUT,1,1292.34802246,1989-07-26,1989-07-28
None,St Poelten,AUT,1,1287.84313965,1989-07-29,1989-08-01
None,St Poelten,AUT,1,1295.9074707,1989-08-02,1989-08-04
None,St Poelten,AUT,1,1306.40356445,1989-08-05,1989-08-12
None,St Poelten,AUT,1,1300.05810547,1989-08-13,1989-08-15
None,St Poelten,AUT,1,1311.72265625,1989-08-16,1989-08-26
None,St Poelten,AUT,1,1313.45800781,1989-08-27,1989-08-29
None,St Poelten,AUT,1,1309.70581055,1989-08-30,1989-09-09
None,St Poelten,AUT,1,1313.59033203,1989-09-10,1989-09-12
None,St Poelten,AUT,1,1313.87854004,1989-09-13,1989-09-13
None,St Poelten,AUT,1,1315.22155762,1989-09-14,1989-09-14
None,St Poelten,AUT,1,1317.04211426,1989-09-15,1989-09-16
None,St Poelten,AUT,1,1300.63500977,1989-09-17,1989-09-23
None,St Poelten,AUT,1,1297.28540039,1989-09-24,1989-09-26
None,St Poelten,AUT,1,1297.34570312,1989-09-27,1989-09-27
None,St Poelten,AUT,1,1307.08984375,1989-09-28,1989-09-30
None,St Poelten,AUT,1,1319.45031738,1989-10-01,1989-10-07
None,St Poelten,AUT,1,1330.57873535,1989-10-08,1989-10-10
None,St Poelten,AUT,1,1327.5736084,1989-10-11,1989-10-14
None,St Poelten,AUT,1,1323.93103027,1989-10-15,1989-10-17
None,St Poelten,AUT,1,1320.2121582,1989-10-18,1989-10-18
None,St Poelten,AUT,1,1323.32250977,1989-10-19,1989-10-28
None,St Poelten,AUT,1,1337.90283203,1989-10-29,1989-10-31
None,St Poelten,AUT,1,1338.65734863,1989-11-01,1989-11-01
None,St Poelten,AUT,1,1347.18579102,1989-11-02,1989-11-02
None,St Poelten,AUT,1,1347.57519531,1989-11-03,1989-11-05
None,St Poelten,AUT,1,1355.56433105,1989-11-06,1989-11-18
None,St Poelten,AUT,1,1351.73779297,1989-11-19,1989-11-22
None,St Poelten,AUT,1,1353.2220459,1989-11-23,1989-11-25
None,St Poelten,AUT,1,1355.49963379,1989-11-26,1989-11-28
None,St Poelten,AUT,1,1362.85388184,1989-11-29,1989-12-02
None,St Poelten,AUT,1,1371.99707031,1989-12-03,1989-12-06
None,St Poelten,AUT,1,1365.10131836,1989-12-07,1990-02-17
None,St Poelten,AUT,1,1368.38232422,1990-02-18,1990-02-24
None,St Poelten,AUT,1,1375.01953125,1990-02-25,1990-03-03
None,St Poelten,AUT,1,1378.30541992,1990-03-04,1990-03-06
None,St Poelten,AUT,1,1377.8302002,1990-03-07,1990-03-10
None,St Poelten,AUT,1,1382.21057129,1990-03-11,1990-03-17
None,St Poelten,AUT,1,1392.78686523,1990-03-18,1990-03-21
None,St Poelten,AUT,1,1391.97998047,1990-03-22,1990-03-24
None,St Poelten,AUT,1,1394.38842773,1990-03-25,1990-03-30
None,St Poelten,AUT,1,1396.22851562,1990-03-31,1990-04-06
None,St Poelten,AUT,1,1392.6427002,1990-04-07,1990-04-14
None,St Poelten,AUT,1,1390.44628906,1990-04-15,1990-04-20
None,St Poelten,AUT,1,1386.9128418,1990-04-21,1990-04-28
None,St Poelten,AUT,1,1397.31506348,1990-04-29,1990-05-05
None,St Poelten,AUT,1,1393.17382812,1990-05-06,1990-05-08
None,St Poelten,AUT,1,1394.29272461,1990-05-09,1990-05-15
None,St Poelten,AUT,1,1391.50524902,1990-05-16,1990-07-28
