Rank,Club,Country,Level,Elo,From,To
None,Dender,BEL,1,1322.2088623,2007-07-01,2007-07-31
None,Dender,BEL,1,1315.18127441,2007-08-01,2007-08-04
None,Dender,BEL,1,1308.70239258,2007-08-05,2007-08-08
None,Dender,BEL,1,1308.02282715,2007-08-09,2007-08-11
None,Dender,BEL,1,1301.26159668,2007-08-12,2007-08-15
None,Dender,BEL,1,1298.92297363,2007-08-16,2007-08-16
None,Dender,BEL,1,1299.0065918,2007-08-17,2007-08-18
None,Dender,BEL,1,1305.1875,2007-08-19,2007-08-25
None,Dender,BEL,1,1298.0657959,2007-08-26,2007-08-29
None,Dender,BEL,1,1290.79174805,2007-08-30,2007-08-30
None,Dender,BEL,1,1290.79382324,2007-08-31,2007-09-01
None,Dender,BEL,1,1296.9621582,2007-09-02,2007-09-15
None,Dender,BEL,1,1301.82763672,2007-09-16,2007-09-20
None,Dender,BEL,1,1297.1842041,2007-09-21,2007-09-22
None,Dender,BEL,1,1281.58483887,2007-09-23,2007-09-30
None,Dender,BEL,1,1284.48950195,2007-10-01,2007-10-04
None,Dender,BEL,1,1280.85412598,2007-10-05,2007-10-06
None,Dender,BEL,1,1272.0604248,2007-10-07,2007-10-20
None,Dender,BEL,1,1269.41564941,2007-10-21,2007-10-25
None,Dender,BEL,1,1271.33947754,2007-10-26,2007-10-27
None,Dender,BEL,1,1260.54089355,2007-10-28,2007-11-03
None,Dender,BEL,1,1258.45507812,2007-11-04,2007-11-08
None,Dender,BEL,1,1258.72692871,2007-11-09,2007-11-10
None,Dender,BEL,1,1250.91125488,2007-11-11,2007-12-02
None,Dender,BEL,1,1268.16186523,2007-12-03,2007-12-06
None,Dender,BEL,1,1268.94848633,2007-12-07,2007-12-08
None,Dender,BEL,1,1282.12072754,2007-12-09,2007-12-15
None,Dender,BEL,1,1287.16247559,2007-12-16,2007-12-19
None,Dender,BEL,1,1286.02087402,2007-12-20,2007-12-22
None,Dender,BEL,1,1307.06188965,2007-12-23,2008-01-19
None,Dender,BEL,1,1304.76135254,2008-01-20,2008-01-26
