Rank,Club,Country,Level,Elo,From,To
None,Kortrijk,BEL,1,1385.99487305,1976-07-03,1976-09-12
None,Kortrijk,BEL,1,1384.95812988,1976-09-13,1976-09-15
None,Kortrijk,BEL,1,1383.90026855,1976-09-16,1976-09-18
None,Kortrijk,BEL,1,1394.48864746,1976-09-19,1976-09-22
None,Kortrijk,BEL,1,1400.72973633,1976-09-23,1976-09-26
None,Kortrijk,BEL,1,1390.82336426,1976-09-27,1976-09-29
None,Kortrijk,BEL,1,1398.28881836,1976-09-30,1976-10-03
None,Kortrijk,BEL,1,1409.8248291,1976-10-04,1976-10-06
None,Kortrijk,BEL,1,1420.69897461,1976-10-07,1976-10-10
None,Kortrijk,BEL,1,1415.12695312,1976-10-11,1976-10-17
None,Kortrijk,BEL,1,1413.36547852,1976-10-18,1976-10-20
None,Kortrijk,BEL,1,1419.85339355,1976-10-21,1976-10-24
None,Kortrijk,BEL,1,1434.13928223,1976-10-25,1976-11-03
None,Kortrijk,BEL,1,1434.98193359,1976-11-04,1976-11-04
None,Kortrijk,BEL,1,1434.2364502,1976-11-05,1976-11-14
None,Kortrijk,BEL,1,1446.85949707,1976-11-15,1976-11-21
None,Kortrijk,BEL,1,1445.28991699,1976-11-22,1976-11-24
None,Kortrijk,BEL,1,1445.85961914,1976-11-25,1976-11-28
None,Kortrijk,BEL,1,1454.84436035,1976-11-29,1976-12-04
None,Kortrijk,BEL,1,1450.82531738,1976-12-05,1976-12-07
None,Kortrijk,BEL,1,1458.89331055,1976-12-08,1976-12-12
None,Kortrijk,BEL,1,1467.33825684,1976-12-13,1976-12-19
None,Kortrijk,BEL,1,1471.60961914,1976-12-20,1977-01-02
None,Kortrijk,BEL,1,1478.00012207,1977-01-03,1977-01-09
None,Kortrijk,BEL,1,1476.17236328,1977-01-10,1977-01-16
None,Kortrijk,BEL,1,1465.24389648,1977-01-17,1977-01-23
None,Kortrijk,BEL,1,1469.75610352,1977-01-24,1977-01-30
None,Kortrijk,BEL,1,1474.57849121,1977-01-31,1977-02-06
None,Kortrijk,BEL,1,1470.91687012,1977-02-07,1977-02-13
None,Kortrijk,BEL,1,1455.82006836,1977-02-14,1977-02-19
None,Kortrijk,BEL,1,1458.81640625,1977-02-20,1977-03-02
None,Kortrijk,BEL,1,1466.02514648,1977-03-03,1977-03-03
None,Kortrijk,BEL,1,1470.43713379,1977-03-04,1977-03-06
None,Kortrijk,BEL,1,1471.46569824,1977-03-07,1977-03-12
None,Kortrijk,BEL,1,1469.14624023,1977-03-13,1977-03-16
None,Kortrijk,BEL,1,1463.56591797,1977-03-17,1977-03-20
None,Kortrijk,BEL,1,1459.87341309,1977-03-21,1977-04-03
None,Kortrijk,BEL,1,1457.34790039,1977-04-04,1977-04-06
None,Kortrijk,BEL,1,1453.06640625,1977-04-07,1977-04-11
None,Kortrijk,BEL,1,1465.54858398,1977-04-12,1977-04-16
None,Kortrijk,BEL,1,1461.95605469,1977-04-17,1977-04-20
None,Kortrijk,BEL,1,1468.50170898,1977-04-21,1977-04-24
None,Kortrijk,BEL,1,1458.1451416,1977-04-25,1977-05-01
None,Kortrijk,BEL,1,1460.75915527,1977-05-02,1977-05-08
None,Kortrijk,BEL,1,1471.77209473,1977-05-09,1977-05-11
None,Kortrijk,BEL,1,1466.70458984,1977-05-12,1977-05-15
None,Kortrijk,BEL,1,1459.23461914,1977-05-16,1977-05-22
None,Kortrijk,BEL,1,1469.71459961,1977-05-23,1977-08-17
None,Kortrijk,BEL,1,1474.77929688,1977-08-18,1977-08-20
None,Kortrijk,BEL,1,1472.82861328,1977-08-21,1977-08-24
None,Kortrijk,BEL,1,1478.41027832,1977-08-25,1977-09-07
None,Kortrijk,BEL,1,1484.59777832,1977-09-08,1977-09-10
None,Kortrijk,BEL,1,1480.30554199,1977-09-11,1977-09-13
None,Kortrijk,BEL,1,1482.11486816,1977-09-14,1977-09-14
None,Kortrijk,BEL,1,1477.1784668,1977-09-15,1977-09-18
None,Kortrijk,BEL,1,1483.16943359,1977-09-19,1977-09-21
None,Kortrijk,BEL,1,1476.31628418,1977-09-22,1977-09-25
None,Kortrijk,BEL,1,1480.85119629,1977-09-26,1977-09-28
None,Kortrijk,BEL,1,1493.05664062,1977-09-29,1977-10-02
None,Kortrijk,BEL,1,1497.12121582,1977-10-03,1977-10-05
None,Kortrijk,BEL,1,1490.27612305,1977-10-06,1977-10-09
None,Kortrijk,BEL,1,1495.9284668,1977-10-10,1977-10-16
None,Kortrijk,BEL,1,1492.5222168,1977-10-17,1977-10-19
None,Kortrijk,BEL,1,1500.25061035,1977-10-20,1977-11-02
None,Kortrijk,BEL,1,1505.23510742,1977-11-03,1977-11-05
None,Kortrijk,BEL,1,1500.77783203,1977-11-06,1977-11-20
None,Kortrijk,BEL,1,1500.34191895,1977-11-21,1977-11-23
None,Kortrijk,BEL,1,1496.51904297,1977-11-24,1977-11-27
None,Kortrijk,BEL,1,1491.43798828,1977-11-28,1977-12-04
None,Kortrijk,BEL,1,1485.65881348,1977-12-05,1977-12-07
None,Kortrijk,BEL,1,1476.95056152,1977-12-08,1977-12-11
None,Kortrijk,BEL,1,1473.80102539,1977-12-12,1977-12-18
None,Kortrijk,BEL,1,1477.51660156,1977-12-19,1978-01-08
None,Kortrijk,BEL,1,1473.5456543,1978-01-09,1978-01-14
None,Kortrijk,BEL,1,1475.65466309,1978-01-15,1978-01-22
None,Kortrijk,BEL,1,1475.0534668,1978-01-23,1978-01-29
None,Kortrijk,BEL,1,1487.33239746,1978-01-30,1978-02-05
None,Kortrijk,BEL,1,1481.9041748,1978-02-06,1978-02-12
None,Kortrijk,BEL,1,1486.95849609,1978-02-13,1978-02-26
None,Kortrijk,BEL,1,1482.11694336,1978-02-27,1978-03-01
None,Kortrijk,BEL,1,1484.68737793,1978-03-02,1978-03-02
None,Kortrijk,BEL,1,1484.3046875,1978-03-03,1978-03-05
None,Kortrijk,BEL,1,1480.17919922,1978-03-06,1978-03-11
None,Kortrijk,BEL,1,1478.06872559,1978-03-12,1978-03-15
None,Kortrijk,BEL,1,1485.7355957,1978-03-16,1978-03-19
None,Kortrijk,BEL,1,1485.9029541,1978-03-20,1978-03-24
None,Kortrijk,BEL,1,1480.24694824,1978-03-25,1978-03-29
None,Kortrijk,BEL,1,1485.49060059,1978-03-30,1978-04-02
None,Kortrijk,BEL,1,1486.01696777,1978-04-03,1978-04-08
None,Kortrijk,BEL,1,1491.80334473,1978-04-09,1978-04-12
None,Kortrijk,BEL,1,1500.72106934,1978-04-13,1978-04-16
None,Kortrijk,BEL,1,1491.76318359,1978-04-17,1978-04-23
None,Kortrijk,BEL,1,1490.2611084,1978-04-24,1978-04-30
None,Kortrijk,BEL,1,1478.68811035,1978-05-01,1978-05-03
None,Kortrijk,BEL,1,1481.88378906,1978-05-04,1978-05-10
None,Kortrijk,BEL,1,1478.9810791,1978-05-11,1978-08-30
None,Kortrijk,BEL,1,1481.5559082,1978-08-31,1978-09-03
None,Kortrijk,BEL,1,1477.75097656,1978-09-04,1978-09-06
None,Kortrijk,BEL,1,1474.6418457,1978-09-07,1978-09-10
None,Kortrijk,BEL,1,1464.20227051,1978-09-11,1978-09-13
None,Kortrijk,BEL,1,1460.43774414,1978-09-14,1978-09-24
None,Kortrijk,BEL,1,1454.69189453,1978-09-25,1978-09-27
None,Kortrijk,BEL,1,1442.94995117,1978-09-28,1978-10-01
None,Kortrijk,BEL,1,1438.26013184,1978-10-02,1978-10-04
None,Kortrijk,BEL,1,1434.20373535,1978-10-05,1978-10-15
None,Kortrijk,BEL,1,1426.08898926,1978-10-16,1978-10-18
None,Kortrijk,BEL,1,1429.66320801,1978-10-19,1978-10-21
None,Kortrijk,BEL,1,1426.1661377,1978-10-22,1978-10-25
None,Kortrijk,BEL,1,1424.76428223,1978-10-26,1978-11-01
None,Kortrijk,BEL,1,1422.57299805,1978-11-02,1978-11-04
None,Kortrijk,BEL,1,1428.78161621,1978-11-05,1978-11-12
None,Kortrijk,BEL,1,1439.55249023,1978-11-13,1978-11-19
None,Kortrijk,BEL,1,1451.52783203,1978-11-20,1978-11-26
None,Kortrijk,BEL,1,1446.04541016,1978-11-27,1978-12-10
None,Kortrijk,BEL,1,1442.17126465,1978-12-11,1978-12-17
None,Kortrijk,BEL,1,1446.54052734,1978-12-18,1978-12-21
None,Kortrijk,BEL,1,1449.23400879,1978-12-22,1979-02-03
None,Kortrijk,BEL,1,1445.88793945,1979-02-04,1979-02-11
None,Kortrijk,BEL,1,1444.23059082,1979-02-12,1979-02-17
None,Kortrijk,BEL,1,1442.10388184,1979-02-18,1979-03-04
None,Kortrijk,BEL,1,1443.41772461,1979-03-05,1979-03-07
None,Kortrijk,BEL,1,1445.89428711,1979-03-08,1979-03-10
None,Kortrijk,BEL,1,1441.53100586,1979-03-11,1979-03-14
None,Kortrijk,BEL,1,1455.13476562,1979-03-15,1979-03-18
None,Kortrijk,BEL,1,1446.32177734,1979-03-19,1979-03-21
None,Kortrijk,BEL,1,1448.16162109,1979-03-22,1979-03-31
None,Kortrijk,BEL,1,1442.53039551,1979-04-01,1979-04-04
None,Kortrijk,BEL,1,1455.75512695,1979-04-05,1979-04-08
None,Kortrijk,BEL,1,1452.32458496,1979-04-09,1979-04-11
None,Kortrijk,BEL,1,1451.96289062,1979-04-12,1979-04-18
None,Kortrijk,BEL,1,1450.56945801,1979-04-19,1979-04-22
None,Kortrijk,BEL,1,1432.13012695,1979-04-23,1979-04-25
