Rank,Club,Country,Level,Elo,From,To
None,FK Sarajevo,YUG,1,1461.70458984,1952-07-06,1952-07-23
None,FK Sarajevo,YUG,1,1481.70458984,1952-07-24,1952-08-31
None,FK Sarajevo,YUG,1,1474.44360352,1952-09-01,1952-09-14
None,FK Sarajevo,YUG,1,1481.62609863,1952-09-15,1952-09-22
None,FK Sarajevo,YUG,1,1476.62609863,1952-09-23,1952-09-27
None,FK Sarajevo,YUG,1,1471.57531738,1952-09-28,1952-10-12
None,FK Sarajevo,YUG,1,1464.61169434,1952-10-13,1952-10-19
None,FK Sarajevo,YUG,1,1462.27282715,1952-10-20,1952-10-26
None,FK Sarajevo,YUG,1,1452.43652344,1952-10-27,1952-11-09
None,FK Sarajevo,YUG,1,1464.36132812,1952-11-10,1952-11-16
None,FK Sarajevo,YUG,1,1473.50622559,1952-11-17,1952-11-23
None,FK Sarajevo,YUG,1,1488.0859375,1952-11-24,1952-12-07
None,FK Sarajevo,YUG,1,1492.23083496,1952-12-08,1952-12-14
None,FK Sarajevo,YUG,1,1486.81420898,1952-12-15,1952-12-25
None,FK Sarajevo,YUG,1,1481.81420898,1952-12-26,1953-03-08
None,FK Sarajevo,YUG,1,1486.75964355,1953-03-09,1953-03-15
None,FK Sarajevo,YUG,1,1495.35424805,1953-03-16,1953-03-22
None,FK Sarajevo,YUG,1,1485.06311035,1953-03-23,1953-03-29
None,FK Sarajevo,YUG,1,1492.94677734,1953-03-30,1953-04-16
None,FK Sarajevo,YUG,1,1496.32751465,1953-04-17,1953-04-19
None,FK Sarajevo,YUG,1,1485.36657715,1953-04-20,1953-04-26
None,FK Sarajevo,YUG,1,1479.96557617,1953-04-27,1953-05-24
None,FK Sarajevo,YUG,1,1482.28210449,1953-05-25,1953-05-31
None,FK Sarajevo,YUG,1,1486.16003418,1953-06-01,1953-06-14
None,FK Sarajevo,YUG,1,1491.77929688,1953-06-15,1953-06-20
None,FK Sarajevo,YUG,1,1486.01525879,1953-06-21,1953-08-30
None,FK Sarajevo,YUG,1,1470.88476562,1953-08-31,1953-09-06
None,FK Sarajevo,YUG,1,1463.5838623,1953-09-07,1953-09-09
None,FK Sarajevo,YUG,1,1466.38476562,1953-09-10,1953-09-13
None,FK Sarajevo,YUG,1,1454.12548828,1953-09-14,1953-09-20
None,FK Sarajevo,YUG,1,1443.72424316,1953-09-21,1953-09-27
None,FK Sarajevo,YUG,1,1424.31994629,1953-09-28,1953-10-07
None,FK Sarajevo,YUG,1,1417.29101562,1953-10-08,1953-10-11
None,FK Sarajevo,YUG,1,1424.76171875,1953-10-12,1953-10-22
None,FK Sarajevo,YUG,1,1447.76171875,1953-10-23,1953-10-25
None,FK Sarajevo,YUG,1,1455.66687012,1953-10-26,1953-11-01
None,FK Sarajevo,YUG,1,1462.55725098,1953-11-02,1953-11-15
None,FK Sarajevo,YUG,1,1454.98071289,1953-11-16,1953-12-01
None,FK Sarajevo,YUG,1,1457.45898438,1953-12-02,1953-12-06
None,FK Sarajevo,YUG,1,1454.36523438,1953-12-07,1953-12-13
None,FK Sarajevo,YUG,1,1447.04760742,1953-12-14,1953-12-20
None,FK Sarajevo,YUG,1,1455.9017334,1953-12-21,1954-02-13
None,FK Sarajevo,YUG,1,1447.68273926,1954-02-14,1954-02-21
None,FK Sarajevo,YUG,1,1454.69226074,1954-02-22,1954-02-28
None,FK Sarajevo,YUG,1,1443.36206055,1954-03-01,1954-03-07
None,FK Sarajevo,YUG,1,1456.2512207,1954-03-08,1954-03-14
None,FK Sarajevo,YUG,1,1479.50927734,1954-03-15,1954-04-04
None,FK Sarajevo,YUG,1,1483.25769043,1954-04-05,1954-04-07
None,FK Sarajevo,YUG,1,1485.328125,1954-04-08,1954-04-11
None,FK Sarajevo,YUG,1,1487.43505859,1954-04-12,1954-04-18
None,FK Sarajevo,YUG,1,1483.30212402,1954-04-19,1954-04-25
None,FK Sarajevo,YUG,1,1479.62158203,1954-04-26,1954-05-02
None,FK Sarajevo,YUG,1,1473.80432129,1954-05-03,1954-05-17
None,FK Sarajevo,YUG,1,1470.80432129,1954-05-18,1954-06-19
None,FK Sarajevo,YUG,1,1487.80432129,1954-06-20,1954-06-29
None,FK Sarajevo,YUG,1,1450.80432129,1954-06-30,1954-08-29
None,FK Sarajevo,YUG,1,1452.13183594,1954-08-30,1954-09-12
None,FK Sarajevo,YUG,1,1440.3795166,1954-09-13,1954-09-19
None,FK Sarajevo,YUG,1,1433.66259766,1954-09-20,1954-09-27
None,FK Sarajevo,YUG,1,1452.66259766,1954-09-28,1954-10-03
None,FK Sarajevo,YUG,1,1450.09082031,1954-10-04,1954-10-06
None,FK Sarajevo,YUG,1,1453.09082031,1954-10-07,1954-10-10
None,FK Sarajevo,YUG,1,1473.36682129,1954-10-11,1954-10-24
