Rank,Club,Country,Level,Elo,From,To
None,Isloch,BLR,1,1158.38464355,2016-01-01,2016-04-01
None,Isloch,BLR,1,1171.90039062,2016-04-02,2016-04-09
None,Isloch,BLR,1,1183.24987793,2016-04-10,2016-04-17
None,Isloch,BLR,1,1181.95568848,2016-04-18,2016-04-23
None,Isloch,BLR,1,1190.66125488,2016-04-24,2016-04-30
None,Isloch,BLR,1,1176.09008789,2016-05-01,2016-05-08
None,Isloch,BLR,1,1188.68640137,2016-05-09,2016-05-12
None,Isloch,BLR,1,1182.93347168,2016-05-13,2016-05-17
None,Isloch,BLR,1,1177.10693359,2016-05-18,2016-06-05
None,Isloch,BLR,1,1168.36499023,2016-06-06,2016-06-10
None,Isloch,BLR,1,1173.46533203,2016-06-11,2016-06-16
None,Isloch,BLR,1,1184.04077148,2016-06-17,2016-06-20
None,Isloch,BLR,1,1179.08288574,2016-06-21,2016-06-25
None,Isloch,BLR,1,1198.30053711,2016-06-26,2016-06-30
None,Isloch,BLR,1,1198.3260498,2016-07-01,2016-07-02
None,Isloch,BLR,1,1200.02453613,2016-07-03,2016-07-07
None,Isloch,BLR,1,1199.61828613,2016-07-08,2016-07-12
None,Isloch,BLR,1,1200.18273926,2016-07-13,2016-07-14
None,Isloch,BLR,1,1200.93444824,2016-07-15,2016-07-19
None,Isloch,BLR,1,1201.00354004,2016-07-20,2016-07-21
None,Isloch,BLR,1,1201.1138916,2016-07-22,2016-07-26
None,Isloch,BLR,1,1201.18969727,2016-07-27,2016-07-28
None,Isloch,BLR,1,1203.33666992,2016-07-29,2016-07-30
None,Isloch,BLR,1,1217.26379395,2016-07-31,2016-08-02
None,Isloch,BLR,1,1197.99584961,2016-08-03,2016-08-04
None,Isloch,BLR,1,1185.75036621,2016-08-05,2016-08-06
None,Isloch,BLR,1,1193.70532227,2016-08-07,2016-08-12
None,Isloch,BLR,1,1202.96960449,2016-08-13,2016-08-18
None,Isloch,BLR,1,1196.14233398,2016-08-19,2016-08-21
None,Isloch,BLR,1,1194.29467773,2016-08-22,2016-08-25
None,Isloch,BLR,1,1190.61303711,2016-08-26,2016-08-26
None,Isloch,BLR,1,1190.78540039,2016-08-27,2016-09-10
None,Isloch,BLR,1,1175.97021484,2016-09-11,2016-09-17
None,Isloch,BLR,1,1177.92150879,2016-09-18,2016-09-25
None,Isloch,BLR,1,1177.06506348,2016-09-26,2016-10-02
None,Isloch,BLR,1,1174.29052734,2016-10-03,2016-10-15
None,Isloch,BLR,1,1165.93444824,2016-10-16,2016-10-22
None,Isloch,BLR,1,1176.62316895,2016-10-23,2016-10-30
None,Isloch,BLR,1,1177.89306641,2016-10-31,2016-11-06
None,Isloch,BLR,1,1171.50939941,2016-11-07,2016-11-19
None,Isloch,BLR,1,1168.74755859,2016-11-20,2016-11-27
None,Isloch,BLR,1,1179.74072266,2016-11-28,2017-04-01
None,Isloch,BLR,1,1175.57983398,2017-04-02,2017-04-08
None,Isloch,BLR,1,1166.55126953,2017-04-09,2017-04-15
None,Isloch,BLR,1,1156.7376709,2017-04-16,2017-04-23
None,Isloch,BLR,1,1147.64367676,2017-04-24,2017-04-29
None,Isloch,BLR,1,1142.56774902,2017-04-30,2017-05-05
None,Isloch,BLR,1,1154.7434082,2017-05-06,2017-05-10
None,Isloch,BLR,1,1152.60827637,2017-05-11,2017-05-15
None,Isloch,BLR,1,1148.89868164,2017-05-16,2017-05-21
None,Isloch,BLR,1,1157.58728027,2017-05-22,2017-05-26
None,Isloch,BLR,1,1146.83239746,2017-05-27,2017-06-03
None,Isloch,BLR,1,1139.38793945,2017-06-04,2017-06-16
None,Isloch,BLR,1,1137.11157227,2017-06-17,2017-06-21
None,Isloch,BLR,1,1129.69384766,2017-06-22,2017-06-29
None,Isloch,BLR,1,1127.88195801,2017-06-30,2017-07-01
None,Isloch,BLR,1,1125.42126465,2017-07-02,2017-07-06
None,Isloch,BLR,1,1113.14416504,2017-07-07,2017-07-12
None,Isloch,BLR,1,1111.4777832,2017-07-13,2017-07-13
None,Isloch,BLR,1,1114.8770752,2017-07-14,2017-07-18
None,Isloch,BLR,1,1116.91345215,2017-07-19,2017-07-20
None,Isloch,BLR,1,1117.60009766,2017-07-21,2017-07-25
None,Isloch,BLR,1,1116.15002441,2017-07-26,2017-07-27
None,Isloch,BLR,1,1111.15759277,2017-07-28,2017-07-29
None,Isloch,BLR,1,1122.7623291,2017-07-30,2017-08-02
None,Isloch,BLR,1,1122.0267334,2017-08-03,2017-08-03
None,Isloch,BLR,1,1120.4909668,2017-08-04,2017-08-06
None,Isloch,BLR,1,1124.38171387,2017-08-07,2017-08-11
None,Isloch,BLR,1,1107.84533691,2017-08-12,2017-08-17
None,Isloch,BLR,1,1105.78869629,2017-08-18,2017-08-18
None,Isloch,BLR,1,1116.5760498,2017-08-19,2017-08-24
None,Isloch,BLR,1,1124.90930176,2017-08-25,2017-08-26
None,Isloch,BLR,1,1126.33740234,2017-08-27,2017-09-10
None,Isloch,BLR,1,1117.80834961,2017-09-11,2017-09-14
None,Isloch,BLR,1,1118.54333496,2017-09-15,2017-09-18
None,Isloch,BLR,1,1115.48278809,2017-09-19,2017-09-23
