Rank,Club,Country,Level,Elo,From,To
None,Maladzyechna,BLR,1,1027.56445312,1992-01-01,1992-04-18
None,Maladzyechna,BLR,1,1036.89562988,1992-04-19,1992-04-25
None,Maladzyechna,BLR,1,1033.95263672,1992-04-26,1992-04-29
None,Maladzyechna,BLR,1,1052.4453125,1992-04-30,1992-05-02
None,Maladzyechna,BLR,1,1041.35742188,1992-05-03,1992-05-06
None,Maladzyechna,BLR,1,1031.78527832,1992-05-07,1992-05-09
None,Maladzyechna,BLR,1,1037.84228516,1992-05-10,1992-05-16
None,Maladzyechna,BLR,1,1032.21313477,1992-05-17,1992-05-23
None,Maladzyechna,BLR,1,1034.73962402,1992-05-24,1992-05-30
None,Maladzyechna,BLR,1,1031.82543945,1992-05-31,1992-06-06
None,Maladzyechna,BLR,1,1041.73266602,1992-06-07,1992-06-10
None,Maladzyechna,BLR,1,1047.81445312,1992-06-11,1992-06-13
None,Maladzyechna,BLR,1,1042.5111084,1992-06-14,1992-06-17
None,Maladzyechna,BLR,1,1046.89648438,1992-06-18,1992-06-20
None,Maladzyechna,BLR,1,1038.39355469,1992-06-21,1992-06-23
None,Maladzyechna,BLR,1,1034.31750488,1992-06-24,1992-08-01
None,Maladzyechna,BLR,1,1031.83984375,1992-08-02,1992-08-06
None,Maladzyechna,BLR,1,1047.92980957,1992-08-07,1992-08-11
None,Maladzyechna,BLR,1,1045.46374512,1992-08-12,1992-08-16
None,Maladzyechna,BLR,1,1039.78442383,1992-08-17,1992-08-21
None,Maladzyechna,BLR,1,1038.16345215,1992-08-22,1992-08-27
None,Maladzyechna,BLR,1,1026.23583984,1992-08-28,1992-09-01
None,Maladzyechna,BLR,1,1033.19091797,1992-09-02,1992-09-06
None,Maladzyechna,BLR,1,1024.78601074,1992-09-07,1992-09-11
None,Maladzyechna,BLR,1,1033.88842773,1992-09-12,1992-09-17
None,Maladzyechna,BLR,1,1029.53125,1992-09-18,1992-09-22
None,Maladzyechna,BLR,1,1010.33764648,1992-09-23,1992-09-26
None,Maladzyechna,BLR,1,1016.14630127,1992-09-27,1992-10-03
None,Maladzyechna,BLR,1,1010.57470703,1992-10-04,1992-10-10
None,Maladzyechna,BLR,1,1015.20977783,1992-10-11,1992-10-17
None,Maladzyechna,BLR,1,1009.12060547,1992-10-18,1992-10-24
None,Maladzyechna,BLR,1,996.480102539,1992-10-25,1993-04-03
None,Maladzyechna,BLR,1,1005.81231689,1993-04-04,1993-04-08
None,Maladzyechna,BLR,1,1009.17950439,1993-04-09,1993-04-12
None,Maladzyechna,BLR,1,1034.8326416,1993-04-13,1993-04-16
None,Maladzyechna,BLR,1,1044.97473145,1993-04-17,1993-04-20
None,Maladzyechna,BLR,1,1048.88891602,1993-04-21,1993-04-28
None,Maladzyechna,BLR,1,1044.06359863,1993-04-29,1993-05-05
None,Maladzyechna,BLR,1,1045.35705566,1993-05-06,1993-05-09
None,Maladzyechna,BLR,1,1036.11621094,1993-05-10,1993-05-16
None,Maladzyechna,BLR,1,1031.50720215,1993-05-17,1993-05-20
None,Maladzyechna,BLR,1,1023.559021,1993-05-21,1993-05-24
None,Maladzyechna,BLR,1,1026.44824219,1993-05-25,1993-05-28
None,Maladzyechna,BLR,1,1015.81939697,1993-05-29,1993-06-01
None,Maladzyechna,BLR,1,1004.40179443,1993-06-02,1993-06-05
None,Maladzyechna,BLR,1,1005.3369751,1993-06-06,1993-06-09
None,Maladzyechna,BLR,1,992.758544922,1993-06-10,1993-06-13
None,Maladzyechna,BLR,1,994.29119873,1993-06-14,1993-07-17
None,Maladzyechna,BLR,1,988.029174805,1993-07-18,1993-07-24
None,Maladzyechna,BLR,1,993.840332031,1993-07-25,1993-07-29
None,Maladzyechna,BLR,1,1007.11291504,1993-07-30,1993-08-06
None,Maladzyechna,BLR,1,1014.89093018,1993-08-07,1993-08-17
None,Maladzyechna,BLR,1,1022.95373535,1993-08-18,1993-08-18
None,Maladzyechna,BLR,1,1019.00488281,1993-08-19,1993-08-22
None,Maladzyechna,BLR,1,1020.46502686,1993-08-23,1993-08-27
None,Maladzyechna,BLR,1,1013.15930176,1993-08-28,1993-09-01
None,Maladzyechna,BLR,1,1013.32489014,1993-09-02,1993-09-05
None,Maladzyechna,BLR,1,1031.32067871,1993-09-06,1993-09-11
None,Maladzyechna,BLR,1,1028.42822266,1993-09-12,1993-09-16
None,Maladzyechna,BLR,1,1025.31799316,1993-09-17,1993-09-18
None,Maladzyechna,BLR,1,1026.34448242,1993-09-19,1993-09-25
None,Maladzyechna,BLR,1,1023.56756592,1993-09-26,1993-09-29
None,Maladzyechna,BLR,1,1023.19592285,1993-09-30,1993-10-02
None,Maladzyechna,BLR,1,1032.47583008,1993-10-03,1993-10-10
None,Maladzyechna,BLR,1,1030.63037109,1993-10-11,1993-10-16
None,Maladzyechna,BLR,1,1044.94262695,1993-10-17,1993-10-23
None,Maladzyechna,BLR,1,1030.22790527,1993-10-24,1994-04-04
None,Maladzyechna,BLR,1,1035.87744141,1994-04-05,1994-04-09
None,Maladzyechna,BLR,1,1045.06872559,1994-04-10,1994-04-14
None,Maladzyechna,BLR,1,1054.55407715,1994-04-15,1994-04-20
None,Maladzyechna,BLR,1,1052.36437988,1994-04-21,1994-04-25
None,Maladzyechna,BLR,1,1033.86962891,1994-04-26,1994-04-30
None,Maladzyechna,BLR,1,1030.3972168,1994-05-01,1994-05-05
None,Maladzyechna,BLR,1,1025.86193848,1994-05-06,1994-05-15
None,Maladzyechna,BLR,1,1028.63220215,1994-05-16,1994-05-20
None,Maladzyechna,BLR,1,1034.51501465,1994-05-21,1994-05-25
None,Maladzyechna,BLR,1,1032.32519531,1994-05-26,1994-05-29
None,Maladzyechna,BLR,1,1033.74304199,1994-05-30,1994-06-03
None,Maladzyechna,BLR,1,1021.00543213,1994-06-04,1994-06-09
None,Maladzyechna,BLR,1,1019.93933105,1994-06-10,1994-06-14
None,Maladzyechna,BLR,1,1016.19866943,1994-06-15,1994-06-18
None,Maladzyechna,BLR,1,1020.12609863,1994-06-19,1994-07-13
None,Maladzyechna,BLR,1,1021.84777832,1994-07-14,1994-07-17
None,Maladzyechna,BLR,1,1032.17663574,1994-07-18,1994-07-24
None,Maladzyechna,BLR,1,1045.14733887,1994-07-25,1994-08-01
None,Maladzyechna,BLR,1,1044.82006836,1994-08-02,1994-08-06
None,Maladzyechna,BLR,1,1036.57849121,1994-08-07,1994-08-09
None,Maladzyechna,BLR,1,1037.07275391,1994-08-10,1994-08-11
