Rank,Club,Country,Level,Elo,From,To
None,Lok Minsk,BLR,1,893.325500488,2003-01-01,2003-04-18
None,Lok Minsk,BLR,1,900.026733398,2003-04-19,2003-04-26
None,Lok Minsk,BLR,1,919.826171875,2003-04-27,2003-05-03
None,Lok Minsk,BLR,1,916.039733887,2003-05-04,2003-05-12
None,Lok Minsk,BLR,1,922.080444336,2003-05-13,2003-05-20
None,Lok Minsk,BLR,1,913.077209473,2003-05-21,2003-05-28
None,Lok Minsk,BLR,1,903.353881836,2003-05-29,2003-06-01
None,Lok Minsk,BLR,1,910.088745117,2003-06-02,2003-06-14
None,Lok Minsk,BLR,1,911.810119629,2003-06-15,2003-06-18
None,Lok Minsk,BLR,1,924.120544434,2003-06-19,2003-06-22
None,Lok Minsk,BLR,1,919.900634766,2003-06-23,2003-06-26
None,Lok Minsk,BLR,1,917.28692627,2003-06-27,2003-07-01
None,Lok Minsk,BLR,1,923.528076172,2003-07-02,2003-07-09
None,Lok Minsk,BLR,1,919.410888672,2003-07-10,2003-07-16
None,Lok Minsk,BLR,1,920.877685547,2003-07-17,2003-07-19
None,Lok Minsk,BLR,1,914.771484375,2003-07-20,2003-07-23
None,Lok Minsk,BLR,1,891.211242676,2003-07-24,2003-08-04
None,Lok Minsk,BLR,1,890.005554199,2003-08-05,2003-08-13
None,Lok Minsk,BLR,1,887.555541992,2003-08-14,2003-08-14
None,Lok Minsk,BLR,1,885.497558594,2003-08-15,2003-08-17
None,Lok Minsk,BLR,1,882.873474121,2003-08-18,2003-08-23
None,Lok Minsk,BLR,1,876.64440918,2003-08-24,2003-08-28
None,Lok Minsk,BLR,1,874.697631836,2003-08-29,2003-08-31
None,Lok Minsk,BLR,1,872.452636719,2003-09-01,2003-09-14
None,Lok Minsk,BLR,1,875.729858398,2003-09-15,2003-09-28
None,Lok Minsk,BLR,1,886.921875,2003-09-29,2003-10-04
None,Lok Minsk,BLR,1,884.68939209,2003-10-05,2003-10-11
None,Lok Minsk,BLR,1,882.38104248,2003-10-12,2003-10-15
None,Lok Minsk,BLR,1,886.977539062,2003-10-16,2003-10-18
None,Lok Minsk,BLR,1,881.690368652,2003-10-19,2003-10-22
None,Lok Minsk,BLR,1,878.600585938,2003-10-23,2003-10-26
None,Lok Minsk,BLR,1,880.440551758,2003-10-27,2003-10-31
None,Lok Minsk,BLR,1,884.295593262,2003-11-01,2003-11-05
None,Lok Minsk,BLR,1,882.277954102,2003-11-06,2003-11-09
None,Lok Minsk,BLR,1,890.00012207,2003-11-10,2004-01-02
None,Lok Minsk,BLR,1,830.260131836,2005-01-01,2005-04-17
None,Lok Minsk,BLR,1,829.011291504,2005-04-18,2005-04-23
None,Lok Minsk,BLR,1,826.726135254,2005-04-24,2005-05-01
None,Lok Minsk,BLR,1,842.484191895,2005-05-02,2005-05-09
None,Lok Minsk,BLR,1,857.261779785,2005-05-10,2005-05-15
None,Lok Minsk,BLR,1,854.018676758,2005-05-16,2005-05-21
None,Lok Minsk,BLR,1,847.818481445,2005-05-22,2005-05-28
None,Lok Minsk,BLR,1,839.367553711,2005-05-29,2005-06-11
None,Lok Minsk,BLR,1,854.963684082,2005-06-12,2005-06-17
None,Lok Minsk,BLR,1,861.921691895,2005-06-18,2005-06-23
None,Lok Minsk,BLR,1,879.954650879,2005-06-24,2005-06-29
None,Lok Minsk,BLR,1,891.996337891,2005-06-30,2005-07-07
None,Lok Minsk,BLR,1,891.551757812,2005-07-08,2005-07-12
None,Lok Minsk,BLR,1,889.569213867,2005-07-13,2005-07-14
None,Lok Minsk,BLR,1,911.30090332,2005-07-15,2005-07-16
None,Lok Minsk,BLR,1,901.905029297,2005-07-17,2005-07-20
None,Lok Minsk,BLR,1,898.615783691,2005-07-21,2005-07-28
None,Lok Minsk,BLR,1,929.87902832,2005-07-29,2005-07-30
None,Lok Minsk,BLR,1,929.221740723,2005-07-31,2005-08-07
None,Lok Minsk,BLR,1,925.264526367,2005-08-08,2005-08-11
None,Lok Minsk,BLR,1,923.280944824,2005-08-12,2005-08-14
None,Lok Minsk,BLR,1,920.645996094,2005-08-15,2005-08-21
None,Lok Minsk,BLR,1,915.328857422,2005-08-22,2005-08-25
None,Lok Minsk,BLR,1,912.790710449,2005-08-26,2005-08-27
None,Lok Minsk,BLR,1,911.873901367,2005-08-28,2005-09-10
None,Lok Minsk,BLR,1,906.371032715,2005-09-11,2005-09-17
None,Lok Minsk,BLR,1,902.917724609,2005-09-18,2005-09-25
None,Lok Minsk,BLR,1,916.693054199,2005-09-26,2005-10-01
