Rank,Club,Country,Level,Elo,From,To
None,Savit,BLR,1,921.015441895,2008-01-01,2008-04-06
None,Savit,BLR,1,915.847839355,2008-04-07,2008-04-12
None,Savit,BLR,1,927.988525391,2008-04-13,2008-04-20
None,Savit,BLR,1,922.288269043,2008-04-21,2008-04-26
None,Savit,BLR,1,926.628356934,2008-04-27,2008-05-04
None,Savit,BLR,1,917.467773438,2008-05-05,2008-05-10
None,Savit,BLR,1,911.53314209,2008-05-11,2008-05-17
None,Savit,BLR,1,924.135131836,2008-05-18,2008-06-06
None,Savit,BLR,1,919.917724609,2008-06-07,2008-06-10
None,Savit,BLR,1,914.060668945,2008-06-11,2008-06-15
None,Savit,BLR,1,912.372558594,2008-06-16,2008-06-21
None,Savit,BLR,1,929.915100098,2008-06-22,2008-06-28
None,Savit,BLR,1,937.175842285,2008-06-29,2008-07-05
None,Savit,BLR,1,933.333862305,2008-07-06,2008-07-12
None,Savit,BLR,1,921.973693848,2008-07-13,2008-07-15
None,Savit,BLR,1,925.937744141,2008-07-16,2008-07-16
None,Savit,BLR,1,924.157287598,2008-07-17,2008-07-17
None,Savit,BLR,1,925.264831543,2008-07-18,2008-07-23
None,Savit,BLR,1,926.391601562,2008-07-24,2008-07-26
None,Savit,BLR,1,922.106140137,2008-07-27,2008-07-30
None,Savit,BLR,1,932.482910156,2008-07-31,2008-07-31
None,Savit,BLR,1,926.794677734,2008-08-01,2008-08-02
None,Savit,BLR,1,927.018859863,2008-08-03,2008-08-06
None,Savit,BLR,1,934.863037109,2008-08-07,2008-08-10
None,Savit,BLR,1,931.759765625,2008-08-11,2008-08-13
None,Savit,BLR,1,941.32220459,2008-08-14,2008-08-16
None,Savit,BLR,1,944.879089355,2008-08-17,2008-08-24
None,Savit,BLR,1,949.325927734,2008-08-25,2008-08-27
None,Savit,BLR,1,953.864624023,2008-08-28,2008-08-30
None,Savit,BLR,1,954.957458496,2008-08-31,2008-09-13
None,Savit,BLR,1,957.710021973,2008-09-14,2008-09-17
None,Savit,BLR,1,957.451721191,2008-09-18,2008-09-20
None,Savit,BLR,1,949.181213379,2008-09-21,2008-09-25
None,Savit,BLR,1,964.426635742,2008-09-26,2008-09-30
None,Savit,BLR,1,970.271911621,2008-10-01,2008-10-05
None,Savit,BLR,1,966.436950684,2008-10-06,2008-10-19
None,Savit,BLR,1,956.267944336,2008-10-20,2008-10-21
None,Savit,BLR,1,962.486022949,2008-10-22,2008-10-25
None,Savit,BLR,1,959.764953613,2008-10-26,2008-11-05
None,Savit,BLR,1,955.366577148,2008-11-06,2008-11-09
None,Savit,BLR,1,950.061767578,2008-11-10,2008-11-12
None,Savit,BLR,1,948.98638916,2008-11-13,2008-11-16
None,Savit,BLR,1,944.882751465,2008-11-17,2008-11-25
None,Savit,BLR,1,944.085266113,2008-11-26,2008-12-10
None,Savit,BLR,1,950.996459961,2008-12-11,2009-01-02
