Rank,Club,Country,Level,Elo,From,To
None,Vedrych,BLR,1,1027.56445312,1992-01-01,1992-04-18
None,Vedrych,BLR,1,1024.76318359,1992-04-19,1992-04-25
None,Vedrych,BLR,1,1027.68164062,1992-04-26,1992-04-29
None,Vedrych,BLR,1,1036.3067627,1992-04-30,1992-05-02
None,Vedrych,BLR,1,1027.69580078,1992-05-03,1992-05-06
None,Vedrych,BLR,1,1032.74987793,1992-05-07,1992-05-09
None,Vedrych,BLR,1,1027.33325195,1992-05-10,1992-05-16
None,Vedrych,BLR,1,1031.71838379,1992-05-17,1992-05-23
None,Vedrych,BLR,1,1028.17321777,1992-05-24,1992-05-30
None,Vedrych,BLR,1,1023.86663818,1992-05-31,1992-06-06
None,Vedrych,BLR,1,1029.94311523,1992-06-07,1992-06-10
None,Vedrych,BLR,1,1024.01159668,1992-06-11,1992-06-13
None,Vedrych,BLR,1,1032.33764648,1992-06-14,1992-06-17
None,Vedrych,BLR,1,1027.47827148,1992-06-18,1992-06-20
None,Vedrych,BLR,1,1035.98132324,1992-06-21,1992-06-27
None,Vedrych,BLR,1,1034.7286377,1992-06-28,1992-08-01
None,Vedrych,BLR,1,1041.81201172,1992-08-02,1992-08-16
None,Vedrych,BLR,1,1047.49133301,1992-08-17,1992-08-21
None,Vedrych,BLR,1,1044.8840332,1992-08-22,1992-08-27
None,Vedrych,BLR,1,1036.48083496,1992-08-28,1992-09-01
None,Vedrych,BLR,1,1020.20263672,1992-09-02,1992-09-06
None,Vedrych,BLR,1,1015.56182861,1992-09-07,1992-09-11
None,Vedrych,BLR,1,1014.53363037,1992-09-12,1992-09-17
None,Vedrych,BLR,1,1008.52661133,1992-09-18,1992-09-22
None,Vedrych,BLR,1,997.622192383,1992-09-23,1992-09-26
None,Vedrych,BLR,1,990.29699707,1992-09-27,1992-10-03
None,Vedrych,BLR,1,992.627563477,1992-10-04,1992-10-10
None,Vedrych,BLR,1,998.227050781,1992-10-11,1992-10-17
None,Vedrych,BLR,1,1001.73266602,1992-10-18,1992-10-24
None,Vedrych,BLR,1,998.937194824,1992-10-25,1992-10-31
None,Vedrych,BLR,1,998.044921875,1992-11-01,1992-11-09
None,Vedrych,BLR,1,984.122436523,1992-11-10,1993-04-04
None,Vedrych,BLR,1,979.37298584,1993-04-05,1993-04-08
None,Vedrych,BLR,1,985.450012207,1993-04-09,1993-04-16
None,Vedrych,BLR,1,975.307922363,1993-04-17,1993-04-20
None,Vedrych,BLR,1,970.524230957,1993-04-21,1993-04-28
None,Vedrych,BLR,1,959.150695801,1993-04-29,1993-05-05
None,Vedrych,BLR,1,953.809997559,1993-05-06,1993-05-09
None,Vedrych,BLR,1,946.606628418,1993-05-10,1993-05-16
None,Vedrych,BLR,1,942.405578613,1993-05-17,1993-05-20
None,Vedrych,BLR,1,942.540771484,1993-05-21,1993-05-24
None,Vedrych,BLR,1,937.464416504,1993-05-25,1993-05-28
None,Vedrych,BLR,1,956.608642578,1993-05-29,1993-06-01
None,Vedrych,BLR,1,964.352294922,1993-06-02,1993-06-05
None,Vedrych,BLR,1,964.238830566,1993-06-06,1993-06-09
None,Vedrych,BLR,1,974.637329102,1993-06-10,1993-06-13
None,Vedrych,BLR,1,971.17376709,1993-06-14,1993-06-17
None,Vedrych,BLR,1,969.144775391,1993-06-18,1993-07-17
None,Vedrych,BLR,1,960.291320801,1993-07-18,1993-07-24
None,Vedrych,BLR,1,970.467041016,1993-07-25,1993-07-29
None,Vedrych,BLR,1,976.507385254,1993-07-30,1993-08-06
None,Vedrych,BLR,1,991.536682129,1993-08-07,1993-08-17
None,Vedrych,BLR,1,988.576171875,1993-08-18,1993-08-18
None,Vedrych,BLR,1,984.627319336,1993-08-19,1993-08-22
None,Vedrych,BLR,1,986.323303223,1993-08-23,1993-08-27
None,Vedrych,BLR,1,981.364379883,1993-08-28,1993-09-01
None,Vedrych,BLR,1,981.529968262,1993-09-02,1993-09-05
None,Vedrych,BLR,1,978.324707031,1993-09-06,1993-09-11
None,Vedrych,BLR,1,977.289794922,1993-09-12,1993-09-16
None,Vedrych,BLR,1,974.17956543,1993-09-17,1993-09-20
None,Vedrych,BLR,1,971.85369873,1993-09-21,1993-09-25
None,Vedrych,BLR,1,980.489685059,1993-09-26,1993-09-29
None,Vedrych,BLR,1,980.118103027,1993-09-30,1993-10-02
None,Vedrych,BLR,1,970.838256836,1993-10-03,1993-10-10
None,Vedrych,BLR,1,963.725646973,1993-10-11,1993-10-16
None,Vedrych,BLR,1,957.205383301,1993-10-17,1993-10-23
None,Vedrych,BLR,1,949.864562988,1993-10-24,1994-04-04
None,Vedrych,BLR,1,955.608337402,1994-04-05,1994-04-09
None,Vedrych,BLR,1,960.296691895,1994-04-10,1994-04-15
None,Vedrych,BLR,1,948.042175293,1994-04-16,1994-04-20
None,Vedrych,BLR,1,937.615112305,1994-04-21,1994-04-25
None,Vedrych,BLR,1,940.99432373,1994-04-26,1994-04-30
None,Vedrych,BLR,1,939.252380371,1994-05-01,1994-05-05
None,Vedrych,BLR,1,929.974365234,1994-05-06,1994-05-10
None,Vedrych,BLR,1,934.41394043,1994-05-11,1994-05-16
None,Vedrych,BLR,1,930.689025879,1994-05-17,1994-05-21
None,Vedrych,BLR,1,929.835144043,1994-05-22,1994-05-29
None,Vedrych,BLR,1,937.149963379,1994-05-30,1994-06-03
None,Vedrych,BLR,1,949.887634277,1994-06-04,1994-06-08
None,Vedrych,BLR,1,954.263244629,1994-06-09,1994-06-14
None,Vedrych,BLR,1,947.653076172,1994-06-15,1994-06-18
None,Vedrych,BLR,1,943.013366699,1994-06-19,1994-07-13
None,Vedrych,BLR,1,937.386962891,1994-07-14,1994-07-17
None,Vedrych,BLR,1,927.058105469,1994-07-18,1994-08-01
None,Vedrych,BLR,1,923.136352539,1994-08-02,1994-08-07
None,Vedrych,BLR,1,916.969604492,1994-08-08,1994-08-09
None,Vedrych,BLR,1,917.463745117,1994-08-10,1994-08-11
None,Vedrych,BLR,1,945.862915039,1994-08-12,1994-08-20
None,Vedrych,BLR,1,940.703125,1994-08-21,1994-08-23
None,Vedrych,BLR,1,940.955383301,1994-08-24,1994-08-25
None,Vedrych,BLR,1,905.679321289,1994-08-26,1994-08-28
None,Vedrych,BLR,1,904.356689453,1994-08-29,1994-09-10
None,Vedrych,BLR,1,901.990600586,1994-09-11,1994-09-13
None,Vedrych,BLR,1,902.898864746,1994-09-14,1994-09-18
None,Vedrych,BLR,1,912.811401367,1994-09-19,1994-09-25
None,Vedrych,BLR,1,920.161560059,1994-09-26,1994-09-27
None,Vedrych,BLR,1,918.612243652,1994-09-28,1994-10-02
None,Vedrych,BLR,1,914.41217041,1994-10-03,1994-10-16
None,Vedrych,BLR,1,911.351257324,1994-10-17,1994-10-23
None,Vedrych,BLR,1,918.146850586,1994-10-24,1994-10-30
None,Vedrych,BLR,1,929.228942871,1994-10-31,1994-11-05
None,Vedrych,BLR,1,924.104553223,1994-11-06,1994-11-10
None,Vedrych,BLR,1,922.103149414,1994-11-11,1995-04-05
None,Vedrych,BLR,1,923.962219238,1995-04-06,1995-04-10
None,Vedrych,BLR,1,932.725158691,1995-04-11,1995-04-15
None,Vedrych,BLR,1,932.139343262,1995-04-16,1995-04-21
None,Vedrych,BLR,1,936.370239258,1995-04-22,1995-04-30
None,Vedrych,BLR,1,943.986694336,1995-05-01,1995-05-05
None,Vedrych,BLR,1,942.526733398,1995-05-06,1995-05-10
None,Vedrych,BLR,1,943.459777832,1995-05-11,1995-05-15
None,Vedrych,BLR,1,956.849853516,1995-05-16,1995-05-20
None,Vedrych,BLR,1,961.529907227,1995-05-21,1995-05-28
None,Vedrych,BLR,1,970.856994629,1995-05-29,1995-06-02
None,Vedrych,BLR,1,969.379821777,1995-06-03,1995-06-11
None,Vedrych,BLR,1,980.824157715,1995-06-12,1995-06-15
None,Vedrych,BLR,1,991.622924805,1995-06-16,1995-06-19
None,Vedrych,BLR,1,988.346435547,1995-06-20,1995-06-23
None,Vedrych,BLR,1,996.212463379,1995-06-24,1995-07-11
None,Vedrych,BLR,1,997.627319336,1995-07-12,1995-07-16
None,Vedrych,BLR,1,1016.31878662,1995-07-17,1995-07-21
None,Vedrych,BLR,1,1011.60900879,1995-07-22,1995-07-26
None,Vedrych,BLR,1,1001.44177246,1995-07-27,1995-08-01
None,Vedrych,BLR,1,1011.61480713,1995-08-02,1995-08-08
None,Vedrych,BLR,1,1020.51104736,1995-08-09,1995-08-10
None,Vedrych,BLR,1,1015.93463135,1995-08-11,1995-08-13
None,Vedrych,BLR,1,1013.19268799,1995-08-14,1995-08-19
None,Vedrych,BLR,1,1006.82122803,1995-08-20,1995-08-22
None,Vedrych,BLR,1,1003.4911499,1995-08-23,1995-08-24
None,Vedrych,BLR,1,1000.36138916,1995-08-25,1995-08-26
None,Vedrych,BLR,1,995.89050293,1995-08-27,1995-09-09
None,Vedrych,BLR,1,986.184265137,1995-09-10,1995-09-12
None,Vedrych,BLR,1,1006.7243042,1995-09-13,1995-09-17
None,Vedrych,BLR,1,1009.82006836,1995-09-18,1995-09-23
None,Vedrych,BLR,1,1014.84417725,1995-09-24,1995-09-26
None,Vedrych,BLR,1,1026.89685059,1995-09-27,1995-10-02
None,Vedrych,BLR,1,1020.9786377,1995-10-03,1995-10-14
None,Vedrych,BLR,1,1041.59387207,1995-10-15,1995-10-17
None,Vedrych,BLR,1,1038.52770996,1995-10-18,1995-10-26
None,Vedrych,BLR,1,1036.81835938,1995-10-27,1995-10-31
None,Vedrych,BLR,1,1036.93798828,1995-11-01,1995-11-06
None,Vedrych,BLR,1,1029.64904785,1995-11-07,1996-04-16
None,Vedrych,BLR,1,1018.67633057,1996-04-17,1996-04-22
None,Vedrych,BLR,1,1009.08911133,1996-04-23,1996-04-26
None,Vedrych,BLR,1,1008.46258545,1996-04-27,1996-05-05
None,Vedrych,BLR,1,1006.25354004,1996-05-06,1996-05-13
None,Vedrych,BLR,1,998.656616211,1996-05-14,1996-05-22
None,Vedrych,BLR,1,997.596313477,1996-05-23,1996-06-04
None,Vedrych,BLR,1,1000.20159912,1996-06-05,1996-06-10
None,Vedrych,BLR,1,995.068908691,1996-06-11,1996-06-15
None,Vedrych,BLR,1,987.635742188,1996-06-16,1996-06-19
None,Vedrych,BLR,1,983.78704834,1996-06-20,1996-06-26
None,Vedrych,BLR,1,998.917663574,1996-06-27,1996-07-03
None,Vedrych,BLR,1,991.714416504,1996-07-04,1996-07-10
None,Vedrych,BLR,1,985.747131348,1996-07-11,1996-07-17
None,Vedrych,BLR,1,981.97668457,1996-07-18,1996-07-24
None,Vedrych,BLR,1,988.475280762,1996-07-25,1996-07-27
