Rank,Club,Country,Level,Elo,From,To
None,CSKA 1948 Sofia,BUL,1,1121.05126953,2020-07-17,2020-08-07
None,CSKA 1948 Sofia,BUL,1,1128.01379395,2020-08-08,2020-08-17
None,CSKA 1948 Sofia,BUL,1,1134.95068359,2020-08-18,2020-08-19
None,CSKA 1948 Sofia,BUL,1,1136.41992188,2020-08-20,2020-08-24
None,CSKA 1948 Sofia,BUL,1,1124.81506348,2020-08-25,2020-08-26
None,CSKA 1948 Sofia,BUL,1,1119.45336914,2020-08-27,2020-08-27
None,CSKA 1948 Sofia,BUL,1,1117.20275879,2020-08-28,2020-08-28
None,CSKA 1948 Sofia,BUL,1,1120.16479492,2020-08-29,2020-09-13
None,CSKA 1948 Sofia,BUL,1,1130.07397461,2020-09-14,2020-09-17
None,CSKA 1948 Sofia,BUL,1,1133.6607666,2020-09-18,2020-09-19
None,CSKA 1948 Sofia,BUL,1,1129.69067383,2020-09-20,2020-09-24
None,CSKA 1948 Sofia,BUL,1,1129.99572754,2020-09-25,2020-09-25
None,CSKA 1948 Sofia,BUL,1,1145.8939209,2020-09-26,2020-10-01
None,CSKA 1948 Sofia,BUL,1,1160.87976074,2020-10-02,2020-10-02
None,CSKA 1948 Sofia,BUL,1,1182.89208984,2020-10-03,2020-10-18
None,CSKA 1948 Sofia,BUL,1,1186.03942871,2020-10-19,2020-10-22
None,CSKA 1948 Sofia,BUL,1,1175.03674316,2020-10-23,2020-10-25
None,CSKA 1948 Sofia,BUL,1,1194.30102539,2020-10-26,2020-10-29
None,CSKA 1948 Sofia,BUL,1,1196.38745117,2020-10-30,2020-10-30
None,CSKA 1948 Sofia,BUL,1,1209.09143066,2020-10-31,2020-11-05
None,CSKA 1948 Sofia,BUL,1,1203.83105469,2020-11-06,2020-11-08
None,CSKA 1948 Sofia,BUL,1,1199.37866211,2020-11-09,2020-11-22
None,CSKA 1948 Sofia,BUL,1,1204.87207031,2020-11-23,2020-11-26
None,CSKA 1948 Sofia,BUL,1,1200.66247559,2020-11-27,2020-11-29
None,CSKA 1948 Sofia,BUL,1,1197.9432373,2020-11-30,2020-12-03
None,CSKA 1948 Sofia,BUL,1,1195.98828125,2020-12-04,2020-12-05
None,CSKA 1948 Sofia,BUL,1,1206.60168457,2020-12-06,2020-12-10
None,CSKA 1948 Sofia,BUL,1,1212.82800293,2020-12-11,2020-12-11
None,CSKA 1948 Sofia,BUL,1,1215.77758789,2020-12-12,2021-02-14
None,CSKA 1948 Sofia,BUL,1,1221.14160156,2021-02-15,2021-02-19
None,CSKA 1948 Sofia,BUL,1,1212.30871582,2021-02-20,2021-02-28
None,CSKA 1948 Sofia,BUL,1,1213.52172852,2021-03-01,2021-03-07
None,CSKA 1948 Sofia,BUL,1,1203.18383789,2021-03-08,2021-03-13
None,CSKA 1948 Sofia,BUL,1,1197.12585449,2021-03-14,2021-03-21
None,CSKA 1948 Sofia,BUL,1,1202.94763184,2021-03-22,2021-04-09
None,CSKA 1948 Sofia,BUL,1,1218.48718262,2021-04-10,2021-04-16
None,CSKA 1948 Sofia,BUL,1,1219.11291504,2021-04-17,2021-04-22
None,CSKA 1948 Sofia,BUL,1,1216.22424316,2021-04-23,2021-04-26
None,CSKA 1948 Sofia,BUL,1,1227.48388672,2021-04-27,2021-05-12
None,CSKA 1948 Sofia,BUL,1,1230.6295166,2021-05-13,2021-05-16
None,CSKA 1948 Sofia,BUL,1,1234.40100098,2021-05-17,2021-05-22
None,CSKA 1948 Sofia,BUL,1,1247.33068848,2021-05-23,2021-05-26
None,CSKA 1948 Sofia,BUL,1,1265.89660645,2021-05-27,2021-07-07
None,CSKA 1948 Sofia,BUL,1,1267.91418457,2021-07-08,2021-07-13
None,CSKA 1948 Sofia,BUL,1,1272.30737305,2021-07-14,2021-07-21
None,CSKA 1948 Sofia,BUL,1,1272.37963867,2021-07-22,2021-07-22
None,CSKA 1948 Sofia,BUL,1,1269.26855469,2021-07-23,2021-07-25
None,CSKA 1948 Sofia,BUL,1,1262.63366699,2021-07-26,2021-07-28
None,CSKA 1948 Sofia,BUL,1,1265.47253418,2021-07-29,2021-07-29
None,CSKA 1948 Sofia,BUL,1,1259.30957031,2021-07-30,2021-07-31
None,CSKA 1948 Sofia,BUL,1,1256.13269043,2021-08-01,2021-08-03
None,CSKA 1948 Sofia,BUL,1,1257.65014648,2021-08-04,2021-08-05
None,CSKA 1948 Sofia,BUL,1,1263.90795898,2021-08-06,2021-08-06
None,CSKA 1948 Sofia,BUL,1,1258.1842041,2021-08-07,2021-08-10
None,CSKA 1948 Sofia,BUL,1,1256.6940918,2021-08-11,2021-08-12
None,CSKA 1948 Sofia,BUL,1,1257.4979248,2021-08-13,2021-08-13
None,CSKA 1948 Sofia,BUL,1,1238.06665039,2021-08-14,2021-08-18
None,CSKA 1948 Sofia,BUL,1,1234.33105469,2021-08-19,2021-08-19
None,CSKA 1948 Sofia,BUL,1,1229.88366699,2021-08-20,2021-08-21
None,CSKA 1948 Sofia,BUL,1,1222.32458496,2021-08-22,2021-08-24
None,CSKA 1948 Sofia,BUL,1,1221.93200684,2021-08-25,2021-08-26
None,CSKA 1948 Sofia,BUL,1,1232.27062988,2021-08-27,2021-08-27
None,CSKA 1948 Sofia,BUL,1,1226.6986084,2021-08-28,2021-09-19
None,CSKA 1948 Sofia,BUL,1,1226.6986084,2021-09-20,2021-12-31
