Rank,Club,Country,Level,Elo,From,To
None,Etar,BUL,1,1428.89038086,1969-07-01,1969-08-10
None,Etar,BUL,1,1424.1706543,1969-08-11,1969-08-17
None,Etar,BUL,1,1435.92932129,1969-08-18,1969-08-20
None,Etar,BUL,1,1425.45812988,1969-08-21,1969-08-24
None,Etar,BUL,1,1429.70861816,1969-08-25,1969-08-30
None,Etar,BUL,1,1429.95495605,1969-08-31,1969-09-03
None,Etar,BUL,1,1425.02404785,1969-09-04,1969-09-07
None,Etar,BUL,1,1423.2479248,1969-09-08,1969-09-14
None,Etar,BUL,1,1435.16931152,1969-09-15,1969-09-17
None,Etar,BUL,1,1436.45361328,1969-09-18,1969-09-27
None,Etar,BUL,1,1445.33984375,1969-09-28,1969-10-01
None,Etar,BUL,1,1437.67895508,1969-10-02,1969-10-05
None,Etar,BUL,1,1432.7208252,1969-10-06,1969-10-12
None,Etar,BUL,1,1436.79162598,1969-10-13,1969-10-26
None,Etar,BUL,1,1442.54040527,1969-10-27,1969-10-30
None,Etar,BUL,1,1440.53015137,1969-10-31,1969-11-12
None,Etar,BUL,1,1441.7487793,1969-11-13,1969-11-16
None,Etar,BUL,1,1436.47338867,1969-11-17,1969-11-23
None,Etar,BUL,1,1439.88525391,1969-11-24,1969-11-25
None,Etar,BUL,1,1439.92773438,1969-11-26,1969-11-26
None,Etar,BUL,1,1435.07617188,1969-11-27,1970-03-04
None,Etar,BUL,1,1434.75,1970-03-05,1970-03-08
None,Etar,BUL,1,1438.22888184,1970-03-09,1970-03-15
None,Etar,BUL,1,1433.71618652,1970-03-16,1970-03-17
None,Etar,BUL,1,1427.91455078,1970-03-18,1970-03-22
None,Etar,BUL,1,1430.73388672,1970-03-23,1970-03-28
None,Etar,BUL,1,1438.47216797,1970-03-29,1970-04-03
None,Etar,BUL,1,1433.0546875,1970-04-04,1970-04-12
None,Etar,BUL,1,1428.58850098,1970-04-13,1970-04-18
None,Etar,BUL,1,1432.68786621,1970-04-19,1970-04-22
None,Etar,BUL,1,1431.34350586,1970-04-23,1970-04-26
None,Etar,BUL,1,1434.86120605,1970-04-27,1970-07-04
None,Etar,BUL,1,1429.75183105,1970-07-05,1970-07-07
None,Etar,BUL,1,1435.48083496,1970-07-08,1970-07-11
None,Etar,BUL,1,1449.57885742,1970-07-12,1970-07-17
None,Etar,BUL,1,1456.51977539,1970-07-18,1970-07-21
None,Etar,BUL,1,1450.56835938,1970-07-22,1970-08-18
None,Etar,BUL,1,1453.4987793,1970-08-19,1970-08-30
None,Etar,BUL,1,1457.56164551,1970-08-31,1970-09-02
None,Etar,BUL,1,1436.6204834,1970-09-03,1970-09-06
None,Etar,BUL,1,1426.96777344,1970-09-07,1970-09-13
None,Etar,BUL,1,1422.1862793,1970-09-14,1970-09-16
None,Etar,BUL,1,1422.3527832,1970-09-17,1970-09-20
None,Etar,BUL,1,1425.87280273,1970-09-21,1970-09-26
