Rank,Club,Country,Level,Elo,From,To
None,Shumen,BUL,1,1305.72851562,1972-08-19,1972-08-19
None,Shumen,BUL,1,1294.33605957,1972-08-20,1972-08-27
None,Shumen,BUL,1,1290.94128418,1972-08-28,1972-09-02
None,Shumen,BUL,1,1299.95349121,1972-09-03,1972-09-09
None,Shumen,BUL,1,1280.19885254,1972-09-10,1972-09-13
None,Shumen,BUL,1,1291.43969727,1972-09-14,1972-09-16
None,Shumen,BUL,1,1287.78808594,1972-09-17,1972-09-23
None,Shumen,BUL,1,1294.81188965,1972-09-24,1972-09-27
None,Shumen,BUL,1,1298.84204102,1972-09-28,1972-09-29
None,Shumen,BUL,1,1294.71704102,1972-09-30,1972-10-04
None,Shumen,BUL,1,1314.8984375,1972-10-05,1972-10-07
None,Shumen,BUL,1,1311.74816895,1972-10-08,1972-10-21
None,Shumen,BUL,1,1308.59277344,1972-10-22,1972-10-25
None,Shumen,BUL,1,1309.41650391,1972-10-26,1972-10-27
None,Shumen,BUL,1,1317.63110352,1972-10-28,1972-10-28
None,Shumen,BUL,1,1314.02001953,1972-10-29,1972-11-03
None,Shumen,BUL,1,1314.59289551,1972-11-04,1972-11-07
None,Shumen,BUL,1,1324.93652344,1972-11-08,1972-11-08
None,Shumen,BUL,1,1320.41149902,1972-11-09,1972-11-19
None,Shumen,BUL,1,1326.39477539,1972-11-20,1972-11-22
None,Shumen,BUL,1,1323.14135742,1972-11-23,1972-11-26
None,Shumen,BUL,1,1320.70825195,1972-11-27,1972-11-29
None,Shumen,BUL,1,1327.01940918,1972-11-30,1972-12-03
None,Shumen,BUL,1,1325.4621582,1972-12-04,1972-12-10
None,Shumen,BUL,1,1332.63916016,1972-12-11,1972-12-13
None,Shumen,BUL,1,1322.43066406,1972-12-14,1972-12-17
None,Shumen,BUL,1,1321.36108398,1972-12-18,1973-02-25
None,Shumen,BUL,1,1327.26464844,1973-02-26,1973-03-04
None,Shumen,BUL,1,1325.0904541,1973-03-05,1973-03-11
None,Shumen,BUL,1,1319.41882324,1973-03-12,1973-03-18
None,Shumen,BUL,1,1316.33325195,1973-03-19,1973-03-25
