Rank,Club,Country,Level,Elo,From,To
None,Istra,CRO,1,1353.28881836,1992-02-29,1992-02-29
None,Istra,CRO,1,1350.17565918,1992-03-01,1992-03-04
None,Istra,CRO,1,1356.96166992,1992-03-05,1992-03-07
None,Istra,CRO,1,1358.44128418,1992-03-08,1992-03-11
None,Istra,CRO,1,1371.32763672,1992-03-12,1992-03-14
None,Istra,CRO,1,1378.66186523,1992-03-15,1992-03-17
None,Istra,CRO,1,1381.31628418,1992-03-18,1992-03-18
None,Istra,CRO,1,1382.17260742,1992-03-19,1992-03-21
None,Istra,CRO,1,1367.68908691,1992-03-22,1992-03-28
None,Istra,CRO,1,1369.23168945,1992-03-29,1992-03-31
None,Istra,CRO,1,1379.19873047,1992-04-01,1992-04-01
None,Istra,CRO,1,1369.27661133,1992-04-02,1992-04-04
None,Istra,CRO,1,1376.46508789,1992-04-05,1992-04-11
None,Istra,CRO,1,1368.77185059,1992-04-12,1992-04-14
None,Istra,CRO,1,1372.29931641,1992-04-15,1992-04-15
None,Istra,CRO,1,1369.43823242,1992-04-16,1992-04-25
None,Istra,CRO,1,1364.04614258,1992-04-26,1992-05-02
None,Istra,CRO,1,1358.59545898,1992-05-03,1992-05-05
None,Istra,CRO,1,1350.28125,1992-05-06,1992-05-09
None,Istra,CRO,1,1342.29248047,1992-05-10,1992-05-12
None,Istra,CRO,1,1348.32434082,1992-05-13,1992-05-16
None,Istra,CRO,1,1344.46728516,1992-05-17,1992-05-23
None,Istra,CRO,1,1348.81835938,1992-05-24,1992-05-26
None,Istra,CRO,1,1352.94177246,1992-05-27,1992-05-31
None,Istra,CRO,1,1355.38171387,1992-06-01,1992-06-06
None,Istra,CRO,1,1361.38098145,1992-06-07,1992-06-13
None,Istra,CRO,1,1358.12695312,1992-06-14,1992-08-23
None,Istra,CRO,1,1364.5144043,1992-08-24,1992-08-30
None,Istra,CRO,1,1361.34973145,1992-08-31,1992-09-06
None,Istra,CRO,1,1366.17553711,1992-09-07,1992-09-13
None,Istra,CRO,1,1361.12182617,1992-09-14,1992-09-20
None,Istra,CRO,1,1373.95617676,1992-09-21,1992-09-27
None,Istra,CRO,1,1389.48583984,1992-09-28,1992-10-04
None,Istra,CRO,1,1393.06811523,1992-10-05,1992-10-11
None,Istra,CRO,1,1400.94934082,1992-10-12,1992-10-18
None,Istra,CRO,1,1395.20812988,1992-10-19,1992-10-25
None,Istra,CRO,1,1388.5390625,1992-10-26,1992-11-01
None,Istra,CRO,1,1380.171875,1992-11-02,1992-11-08
None,Istra,CRO,1,1377.95263672,1992-11-09,1992-11-15
None,Istra,CRO,1,1371.5802002,1992-11-16,1992-11-22
None,Istra,CRO,1,1375.99414062,1992-11-23,1992-11-29
None,Istra,CRO,1,1365.54003906,1992-11-30,1993-03-07
None,Istra,CRO,1,1357.56921387,1993-03-08,1993-03-14
None,Istra,CRO,1,1345.80627441,1993-03-15,1993-03-21
None,Istra,CRO,1,1336.40405273,1993-03-22,1993-03-28
None,Istra,CRO,1,1329.51818848,1993-03-29,1993-04-04
None,Istra,CRO,1,1336.67443848,1993-04-05,1993-04-10
None,Istra,CRO,1,1334.01757812,1993-04-11,1993-04-18
None,Istra,CRO,1,1321.25512695,1993-04-19,1993-04-25
None,Istra,CRO,1,1327.35180664,1993-04-26,1993-05-02
None,Istra,CRO,1,1325.28320312,1993-05-03,1993-05-09
None,Istra,CRO,1,1323.64892578,1993-05-10,1993-05-16
None,Istra,CRO,1,1328.39111328,1993-05-17,1993-05-23
None,Istra,CRO,1,1322.73876953,1993-05-24,1993-05-30
None,Istra,CRO,1,1331.69836426,1993-05-31,1993-06-06
None,Istra,CRO,1,1341.24475098,1993-06-07,1993-06-12
None,Istra,CRO,1,1348.29675293,1993-06-13,1993-08-19
None,Istra,CRO,1,1348.39379883,1993-08-20,1993-08-20
None,Istra,CRO,1,1356.57800293,1993-08-21,1993-08-28
None,Istra,CRO,1,1357.12658691,1993-08-29,1993-09-02
None,Istra,CRO,1,1357.17114258,1993-09-03,1993-09-04
None,Istra,CRO,1,1342.9855957,1993-09-05,1993-09-11
None,Istra,CRO,1,1354.19970703,1993-09-12,1993-09-15
None,Istra,CRO,1,1375.00720215,1993-09-16,1993-09-17
None,Istra,CRO,1,1380.70544434,1993-09-18,1993-09-18
None,Istra,CRO,1,1384.69543457,1993-09-19,1993-09-25
None,Istra,CRO,1,1380.04833984,1993-09-26,1993-09-28
None,Istra,CRO,1,1352.78881836,1993-09-29,1993-09-29
None,Istra,CRO,1,1335.41394043,1993-09-30,1993-10-02
None,Istra,CRO,1,1337.86230469,1993-10-03,1993-10-09
None,Istra,CRO,1,1331.38708496,1993-10-10,1993-10-16
None,Istra,CRO,1,1326.91564941,1993-10-17,1993-10-23
None,Istra,CRO,1,1321.23876953,1993-10-24,1993-10-30
None,Istra,CRO,1,1315.30871582,1993-10-31,1993-11-06
None,Istra,CRO,1,1317.55419922,1993-11-07,1993-11-13
None,Istra,CRO,1,1320.63598633,1993-11-14,1993-11-20
