Rank,Club,Country,Level,Elo,From,To
None,Pomorac,CRO,1,1236.03881836,2001-07-01,2001-07-25
None,Pomorac,CRO,1,1236.94506836,2001-07-26,2001-07-29
None,Pomorac,CRO,1,1240.40808105,2001-07-30,2001-08-01
None,Pomorac,CRO,1,1235.24987793,2001-08-02,2001-08-05
None,Pomorac,CRO,1,1245.83203125,2001-08-06,2001-08-08
None,Pomorac,CRO,1,1249.01672363,2001-08-09,2001-08-09
None,Pomorac,CRO,1,1247.15893555,2001-08-10,2001-08-12
None,Pomorac,CRO,1,1260.08532715,2001-08-13,2001-08-19
None,Pomorac,CRO,1,1258.30493164,2001-08-20,2001-08-21
None,Pomorac,CRO,1,1254.50976562,2001-08-22,2001-08-23
None,Pomorac,CRO,1,1258.12744141,2001-08-24,2001-08-26
None,Pomorac,CRO,1,1255.13342285,2001-08-27,2001-09-09
None,Pomorac,CRO,1,1259.42016602,2001-09-10,2001-09-11
None,Pomorac,CRO,1,1262.69128418,2001-09-12,2001-09-16
None,Pomorac,CRO,1,1250.62072754,2001-09-17,2001-09-20
None,Pomorac,CRO,1,1252.1965332,2001-09-21,2001-09-23
None,Pomorac,CRO,1,1243.4465332,2001-09-24,2001-09-25
None,Pomorac,CRO,1,1241.05627441,2001-09-26,2001-09-27
None,Pomorac,CRO,1,1240.06933594,2001-09-28,2001-09-30
None,Pomorac,CRO,1,1249.10339355,2001-10-01,2001-10-10
None,Pomorac,CRO,1,1247.16516113,2001-10-11,2001-10-14
None,Pomorac,CRO,1,1239.02001953,2001-10-15,2001-10-18
None,Pomorac,CRO,1,1243.22131348,2001-10-19,2001-10-21
None,Pomorac,CRO,1,1241.17199707,2001-10-22,2001-10-28
None,Pomorac,CRO,1,1251.92102051,2001-10-29,2001-10-30
None,Pomorac,CRO,1,1251.70263672,2001-10-31,2001-11-01
None,Pomorac,CRO,1,1239.9597168,2001-11-02,2001-11-04
None,Pomorac,CRO,1,1235.42456055,2001-11-05,2001-11-18
None,Pomorac,CRO,1,1245.16162109,2001-11-19,2001-11-25
None,Pomorac,CRO,1,1251.9753418,2001-11-26,2001-11-28
None,Pomorac,CRO,1,1247.40917969,2001-11-29,2001-12-02
None,Pomorac,CRO,1,1244.93737793,2001-12-03,2002-02-23
None,Pomorac,CRO,1,1253.14160156,2002-02-24,2002-03-02
None,Pomorac,CRO,1,1251.11804199,2002-03-03,2002-03-06
None,Pomorac,CRO,1,1257.17370605,2002-03-07,2002-03-09
None,Pomorac,CRO,1,1251.42456055,2002-03-10,2002-03-16
None,Pomorac,CRO,1,1259.53881836,2002-03-17,2002-03-23
None,Pomorac,CRO,1,1254.28955078,2002-03-24,2002-03-30
None,Pomorac,CRO,1,1249.76928711,2002-03-31,2002-04-06
None,Pomorac,CRO,1,1255.98815918,2002-04-07,2002-04-13
None,Pomorac,CRO,1,1266.18164062,2002-04-14,2002-04-20
None,Pomorac,CRO,1,1280.63000488,2002-04-21,2002-04-27
None,Pomorac,CRO,1,1268.71728516,2002-04-28,2002-05-04
None,Pomorac,CRO,1,1279.11914062,2002-05-05,2002-07-27
None,Pomorac,CRO,1,1273.49633789,2002-07-28,2002-07-31
None,Pomorac,CRO,1,1271.03271484,2002-08-01,2002-08-03
None,Pomorac,CRO,1,1267.33325195,2002-08-04,2002-08-07
None,Pomorac,CRO,1,1264.10961914,2002-08-08,2002-08-10
None,Pomorac,CRO,1,1269.24523926,2002-08-11,2002-08-15
None,Pomorac,CRO,1,1271.50195312,2002-08-16,2002-08-17
None,Pomorac,CRO,1,1267.36401367,2002-08-18,2002-08-24
None,Pomorac,CRO,1,1264.03637695,2002-08-25,2002-08-29
None,Pomorac,CRO,1,1264.54333496,2002-08-30,2002-08-31
None,Pomorac,CRO,1,1270.04760742,2002-09-01,2002-09-14
None,Pomorac,CRO,1,1258.31481934,2002-09-15,2002-09-19
None,Pomorac,CRO,1,1260.73925781,2002-09-20,2002-09-21
None,Pomorac,CRO,1,1258.00439453,2002-09-22,2002-09-28
None,Pomorac,CRO,1,1251.69567871,2002-09-29,2002-10-03
None,Pomorac,CRO,1,1248.50793457,2002-10-04,2002-10-05
None,Pomorac,CRO,1,1245.54833984,2002-10-06,2002-10-19
None,Pomorac,CRO,1,1253.30419922,2002-10-20,2002-10-26
None,Pomorac,CRO,1,1250.61328125,2002-10-27,2002-10-31
None,Pomorac,CRO,1,1242.10461426,2002-11-01,2002-11-02
None,Pomorac,CRO,1,1238.31408691,2002-11-03,2002-11-09
None,Pomorac,CRO,1,1238.34667969,2002-11-10,2002-11-14
None,Pomorac,CRO,1,1237.75048828,2002-11-15,2002-11-16
None,Pomorac,CRO,1,1236.86889648,2002-11-17,2002-11-23
None,Pomorac,CRO,1,1237.0637207,2002-11-24,2002-11-30
None,Pomorac,CRO,1,1235.60498047,2002-12-01,2003-02-22
None,Pomorac,CRO,1,1247.2857666,2003-02-23,2003-03-01
None,Pomorac,CRO,1,1240.56274414,2003-03-02,2003-03-08
None,Pomorac,CRO,1,1238.26660156,2003-03-09,2003-03-15
None,Pomorac,CRO,1,1248.97363281,2003-03-16,2003-03-22
None,Pomorac,CRO,1,1253.76037598,2003-03-23,2003-04-05
None,Pomorac,CRO,1,1258.68688965,2003-04-06,2003-04-12
None,Pomorac,CRO,1,1267.4486084,2003-04-13,2003-04-19
None,Pomorac,CRO,1,1261.21264648,2003-04-20,2003-04-26
None,Pomorac,CRO,1,1254.14794922,2003-04-27,2003-05-03
None,Pomorac,CRO,1,1261.30480957,2003-05-04,2003-05-10
None,Pomorac,CRO,1,1275.6895752,2003-05-11,2003-05-14
None,Pomorac,CRO,1,1269.98034668,2003-05-15,2003-05-17
None,Pomorac,CRO,1,1267.44189453,2003-05-18,2003-05-24
None,Pomorac,CRO,1,1263.8079834,2003-05-25,2003-05-31
None,Pomorac,CRO,1,1276.67346191,2003-06-01,2003-07-01
