Rank,Club,Country,Level,Elo,From,To
None,FK SIAD Most,CZE,1,1365.72631836,2005-07-02,2005-08-07
None,FK SIAD Most,CZE,1,1375.39294434,2005-08-08,2005-08-10
None,FK SIAD Most,CZE,1,1375.05908203,2005-08-11,2005-08-11
None,FK SIAD Most,CZE,1,1374.84008789,2005-08-12,2005-08-13
None,FK SIAD Most,CZE,1,1373.31469727,2005-08-14,2005-08-22
None,FK SIAD Most,CZE,1,1389.59057617,2005-08-23,2005-08-24
None,FK SIAD Most,CZE,1,1383.60949707,2005-08-25,2005-08-25
None,FK SIAD Most,CZE,1,1383.97143555,2005-08-26,2005-08-27
None,FK SIAD Most,CZE,1,1380.8302002,2005-08-28,2005-09-11
None,FK SIAD Most,CZE,1,1387.4407959,2005-09-12,2005-09-14
None,FK SIAD Most,CZE,1,1387.87927246,2005-09-15,2005-09-15
None,FK SIAD Most,CZE,1,1394.05310059,2005-09-16,2005-09-18
None,FK SIAD Most,CZE,1,1388.22143555,2005-09-19,2005-09-26
None,FK SIAD Most,CZE,1,1377.75854492,2005-09-27,2005-09-27
None,FK SIAD Most,CZE,1,1374.77441406,2005-09-28,2005-09-29
None,FK SIAD Most,CZE,1,1361.43444824,2005-09-30,2005-10-02
None,FK SIAD Most,CZE,1,1356.33105469,2005-10-03,2005-10-15
None,FK SIAD Most,CZE,1,1345.85388184,2005-10-16,2005-10-18
None,FK SIAD Most,CZE,1,1343.58972168,2005-10-19,2005-10-30
None,FK SIAD Most,CZE,1,1342.05358887,2005-10-31,2005-11-02
None,FK SIAD Most,CZE,1,1341.36657715,2005-11-03,2005-11-03
None,FK SIAD Most,CZE,1,1346.81945801,2005-11-04,2005-11-06
None,FK SIAD Most,CZE,1,1342.61657715,2005-11-07,2005-11-20
None,FK SIAD Most,CZE,1,1350.7064209,2005-11-21,2005-11-22
None,FK SIAD Most,CZE,1,1349.59228516,2005-11-23,2005-11-23
None,FK SIAD Most,CZE,1,1344.56555176,2005-11-24,2005-11-24
None,FK SIAD Most,CZE,1,1345.0760498,2005-11-25,2005-11-26
None,FK SIAD Most,CZE,1,1340.20214844,2005-11-27,2005-11-30
None,FK SIAD Most,CZE,1,1336.09912109,2005-12-01,2005-12-04
None,FK SIAD Most,CZE,1,1331.6895752,2005-12-05,2005-12-07
None,FK SIAD Most,CZE,1,1329.97094727,2005-12-08,2005-12-12
None,FK SIAD Most,CZE,1,1318.74353027,2005-12-13,2005-12-15
None,FK SIAD Most,CZE,1,1317.16906738,2005-12-16,2006-02-16
None,FK SIAD Most,CZE,1,1319.18664551,2006-02-17,2006-02-23
None,FK SIAD Most,CZE,1,1314.79711914,2006-02-24,2006-02-26
