Rank,Club,Country,Level,Elo,From,To
None,FC Kobenhavn,DEN,1,1428.08935547,1945-07-01,1945-07-08
None,FC Kobenhavn,DEN,1,1417.08935547,1945-07-09,1945-08-17
None,FC Kobenhavn,DEN,1,1402.23925781,1945-08-18,1945-08-28
None,FC Kobenhavn,DEN,1,1413.23925781,1945-08-29,1945-09-15
None,FC Kobenhavn,DEN,1,1436.23925781,1945-09-16,1945-09-16
None,FC Kobenhavn,DEN,1,1446.7545166,1945-09-17,1945-09-30
None,FC Kobenhavn,DEN,1,1444.49475098,1945-10-01,1945-10-07
None,FC Kobenhavn,DEN,1,1444.04711914,1945-10-08,1945-10-21
None,FC Kobenhavn,DEN,1,1439.49450684,1945-10-22,1945-11-11
None,FC Kobenhavn,DEN,1,1434.91552734,1945-11-12,1945-11-25
None,FC Kobenhavn,DEN,1,1442.59411621,1945-11-26,1945-12-09
None,FC Kobenhavn,DEN,1,1454.15454102,1945-12-10,1946-03-24
None,FC Kobenhavn,DEN,1,1446.65441895,1946-03-25,1946-03-30
None,FC Kobenhavn,DEN,1,1443.69445801,1946-03-31,1946-04-07
None,FC Kobenhavn,DEN,1,1439.85498047,1946-04-08,1946-04-13
None,FC Kobenhavn,DEN,1,1451.19018555,1946-04-14,1946-04-19
None,FC Kobenhavn,DEN,1,1464.33166504,1946-04-20,1946-04-22
None,FC Kobenhavn,DEN,1,1447.49157715,1946-04-23,1946-04-26
None,FC Kobenhavn,DEN,1,1437.00158691,1946-04-27,1946-05-05
None,FC Kobenhavn,DEN,1,1423.22851562,1946-05-06,1946-05-09
None,FC Kobenhavn,DEN,1,1425.85522461,1946-05-10,1946-06-01
None,FC Kobenhavn,DEN,1,1419.22338867,1946-06-02,1946-06-23
None,FC Kobenhavn,DEN,1,1410.22338867,1946-06-24,1946-06-29
None,FC Kobenhavn,DEN,1,1425.22338867,1946-06-30,1946-07-26
None,FC Kobenhavn,DEN,1,1434.22338867,1946-07-27,1946-08-19
None,FC Kobenhavn,DEN,1,1423.33203125,1946-08-20,1946-08-25
None,FC Kobenhavn,DEN,1,1411.4934082,1946-08-26,1946-08-29
None,FC Kobenhavn,DEN,1,1390.34448242,1946-08-30,1946-09-01
None,FC Kobenhavn,DEN,1,1383.96594238,1946-09-02,1946-09-15
None,FC Kobenhavn,DEN,1,1407.30981445,1946-09-16,1946-10-06
None,FC Kobenhavn,DEN,1,1417.80859375,1946-10-07,1946-10-07
None,FC Kobenhavn,DEN,1,1438.80859375,1946-10-08,1946-10-20
None,FC Kobenhavn,DEN,1,1440.59814453,1946-10-21,1946-10-24
None,FC Kobenhavn,DEN,1,1449.59814453,1946-10-25,1946-10-27
None,FC Kobenhavn,DEN,1,1457.56323242,1946-10-28,1946-11-10
None,FC Kobenhavn,DEN,1,1450.99645996,1946-11-11,1947-04-03
None,FC Kobenhavn,DEN,1,1452.1439209,1947-04-04,1947-04-13
None,FC Kobenhavn,DEN,1,1464.98840332,1947-04-14,1947-04-24
None,FC Kobenhavn,DEN,1,1471.82055664,1947-04-25,1947-04-27
None,FC Kobenhavn,DEN,1,1477.81384277,1947-04-28,1947-05-04
None,FC Kobenhavn,DEN,1,1461.55334473,1947-05-05,1947-05-11
None,FC Kobenhavn,DEN,1,1448.66845703,1947-05-12,1947-05-14
None,FC Kobenhavn,DEN,1,1442.58312988,1947-05-15,1947-05-18
None,FC Kobenhavn,DEN,1,1451.17163086,1947-05-19,1947-05-23
None,FC Kobenhavn,DEN,1,1447.07141113,1947-05-24,1947-06-17
None,FC Kobenhavn,DEN,1,1427.07141113,1947-06-18,1947-06-29
None,FC Kobenhavn,DEN,1,1417.07141113,1947-06-30,1947-08-16
None,FC Kobenhavn,DEN,1,1432.42993164,1947-08-17,1947-08-28
None,FC Kobenhavn,DEN,1,1440.96557617,1947-08-29,1947-08-31
None,FC Kobenhavn,DEN,1,1428.3873291,1947-09-01,1947-09-14
None,FC Kobenhavn,DEN,1,1424.04919434,1947-09-15,1947-09-27
None,FC Kobenhavn,DEN,1,1439.04919434,1947-09-28,1947-09-28
None,FC Kobenhavn,DEN,1,1429.65673828,1947-09-29,1947-10-12
None,FC Kobenhavn,DEN,1,1437.27270508,1947-10-13,1947-10-26
None,FC Kobenhavn,DEN,1,1432.07263184,1947-10-27,1947-11-02
None,FC Kobenhavn,DEN,1,1433.95837402,1947-11-03,1947-11-23
None,FC Kobenhavn,DEN,1,1436.97692871,1947-11-24,1948-03-25
None,FC Kobenhavn,DEN,1,1444.27258301,1948-03-26,1948-03-29
None,FC Kobenhavn,DEN,1,1437.86816406,1948-03-30,1948-04-03
None,FC Kobenhavn,DEN,1,1432.92590332,1948-04-04,1948-04-11
None,FC Kobenhavn,DEN,1,1422.57348633,1948-04-12,1948-04-18
None,FC Kobenhavn,DEN,1,1422.79626465,1948-04-19,1948-04-23
None,FC Kobenhavn,DEN,1,1409.24560547,1948-04-24,1948-04-28
None,FC Kobenhavn,DEN,1,1407.09484863,1948-04-29,1948-05-02
None,FC Kobenhavn,DEN,1,1414.62182617,1948-05-03,1948-05-06
