Rank,Club,Country,Level,Elo,From,To
None,HB Koge,DEN,1,1316.64160156,2009-07-01,2009-07-02
None,HB Koge,DEN,1,1316.98620605,2009-07-03,2009-07-09
None,HB Koge,DEN,1,1317.06066895,2009-07-10,2009-07-15
None,HB Koge,DEN,1,1317.3692627,2009-07-16,2009-07-16
None,HB Koge,DEN,1,1313.9822998,2009-07-17,2009-07-19
None,HB Koge,DEN,1,1312.21105957,2009-07-20,2009-07-22
None,HB Koge,DEN,1,1312.45153809,2009-07-23,2009-07-23
None,HB Koge,DEN,1,1301.64257812,2009-07-24,2009-07-25
None,HB Koge,DEN,1,1298.54870605,2009-07-26,2009-07-29
None,HB Koge,DEN,1,1300.93139648,2009-07-30,2009-07-30
None,HB Koge,DEN,1,1297.84020996,2009-07-31,2009-08-02
None,HB Koge,DEN,1,1287.02404785,2009-08-03,2009-08-05
None,HB Koge,DEN,1,1288.18701172,2009-08-06,2009-08-06
None,HB Koge,DEN,1,1294.27258301,2009-08-07,2009-08-09
None,HB Koge,DEN,1,1290.95324707,2009-08-10,2009-08-16
None,HB Koge,DEN,1,1293.64050293,2009-08-17,2009-08-18
None,HB Koge,DEN,1,1294.72705078,2009-08-19,2009-08-20
None,HB Koge,DEN,1,1293.91040039,2009-08-21,2009-08-23
None,HB Koge,DEN,1,1289.82897949,2009-08-24,2009-08-26
None,HB Koge,DEN,1,1280.32055664,2009-08-27,2009-08-27
None,HB Koge,DEN,1,1274.22277832,2009-08-28,2009-08-30
None,HB Koge,DEN,1,1282.62402344,2009-08-31,2009-09-13
None,HB Koge,DEN,1,1279.58544922,2009-09-14,2009-09-17
None,HB Koge,DEN,1,1274.66467285,2009-09-18,2009-09-20
None,HB Koge,DEN,1,1270.65917969,2009-09-21,2009-09-27
None,HB Koge,DEN,1,1275.33325195,2009-09-28,2009-10-01
None,HB Koge,DEN,1,1277.65222168,2009-10-02,2009-10-04
None,HB Koge,DEN,1,1274.69299316,2009-10-05,2009-10-18
None,HB Koge,DEN,1,1271.42333984,2009-10-19,2009-10-22
None,HB Koge,DEN,1,1269.35876465,2009-10-23,2009-10-25
None,HB Koge,DEN,1,1266.60510254,2009-10-26,2009-11-01
None,HB Koge,DEN,1,1270.40966797,2009-11-02,2009-11-05
None,HB Koge,DEN,1,1270.74609375,2009-11-06,2009-11-07
None,HB Koge,DEN,1,1272.95239258,2009-11-08,2009-11-21
None,HB Koge,DEN,1,1266.86096191,2009-11-22,2009-11-30
None,HB Koge,DEN,1,1265.56652832,2009-12-01,2009-12-03
None,HB Koge,DEN,1,1268.63720703,2009-12-04,2009-12-06
None,HB Koge,DEN,1,1264.02978516,2009-12-07,2009-12-16
None,HB Koge,DEN,1,1271.34057617,2009-12-17,2010-02-18
None,HB Koge,DEN,1,1267.45703125,2010-02-19,2010-02-25
None,HB Koge,DEN,1,1266.52929688,2010-02-26,2010-03-07
None,HB Koge,DEN,1,1256.2175293,2010-03-08,2010-03-14
None,HB Koge,DEN,1,1253.86352539,2010-03-15,2010-03-21
None,HB Koge,DEN,1,1246.78210449,2010-03-22,2010-03-25
None,HB Koge,DEN,1,1267.28088379,2010-03-26,2010-03-28
None,HB Koge,DEN,1,1260.97546387,2010-03-29,2010-04-01
None,HB Koge,DEN,1,1255.21276855,2010-04-02,2010-04-04
None,HB Koge,DEN,1,1251.12683105,2010-04-05,2010-04-12
None,HB Koge,DEN,1,1256.87988281,2010-04-13,2010-04-15
None,HB Koge,DEN,1,1250.6895752,2010-04-16,2010-04-18
None,HB Koge,DEN,1,1247.97033691,2010-04-19,2010-04-25
None,HB Koge,DEN,1,1270.50646973,2010-04-26,2010-05-02
None,HB Koge,DEN,1,1265.59118652,2010-05-03,2010-05-05
None,HB Koge,DEN,1,1263.44262695,2010-05-06,2010-05-09
None,HB Koge,DEN,1,1275.47351074,2010-05-10,2010-05-16
None,HB Koge,DEN,1,1281.72949219,2010-05-17,2010-07-01
None,HB Koge,DEN,1,1281.98547363,2010-07-02,2010-07-02
None,HB Koge,DEN,1,1336.8536377,2011-07-02,2011-07-14
None,HB Koge,DEN,1,1337.19482422,2011-07-15,2011-07-17
None,HB Koge,DEN,1,1326.75756836,2011-07-18,2011-07-21
None,HB Koge,DEN,1,1326.89892578,2011-07-22,2011-07-25
None,HB Koge,DEN,1,1321.46691895,2011-07-26,2011-07-27
None,HB Koge,DEN,1,1320.19238281,2011-07-28,2011-07-28
None,HB Koge,DEN,1,1314.03881836,2011-07-29,2011-07-31
None,HB Koge,DEN,1,1305.52868652,2011-08-01,2011-08-02
None,HB Koge,DEN,1,1314.00158691,2011-08-03,2011-08-04
None,HB Koge,DEN,1,1312.49487305,2011-08-05,2011-08-07
None,HB Koge,DEN,1,1310.10070801,2011-08-08,2011-08-14
None,HB Koge,DEN,1,1303.96875,2011-08-15,2011-08-16
None,HB Koge,DEN,1,1293.80627441,2011-08-17,2011-08-17
None,HB Koge,DEN,1,1296.66369629,2011-08-18,2011-08-18
None,HB Koge,DEN,1,1297.15234375,2011-08-19,2011-08-21
None,HB Koge,DEN,1,1313.77050781,2011-08-22,2011-08-23
