Rank,Club,Country,Level,Elo,From,To
None,Esbjerg,DEN,1,1398.18359375,1949-07-02,1949-08-21
None,Esbjerg,DEN,1,1392.72521973,1949-08-22,1949-09-04
None,Esbjerg,DEN,1,1393.41748047,1949-09-05,1949-09-12
None,Esbjerg,DEN,1,1376.41748047,1949-09-13,1949-09-25
None,Esbjerg,DEN,1,1373.23522949,1949-09-26,1949-10-02
None,Esbjerg,DEN,1,1386.22045898,1949-10-03,1949-10-16
None,Esbjerg,DEN,1,1382.05847168,1949-10-17,1949-10-29
None,Esbjerg,DEN,1,1396.05847168,1949-10-30,1949-10-30
None,Esbjerg,DEN,1,1390.90649414,1949-10-31,1949-11-13
None,Esbjerg,DEN,1,1377.00317383,1949-11-14,1949-11-20
None,Esbjerg,DEN,1,1375.27929688,1949-11-21,1949-11-27
None,Esbjerg,DEN,1,1367.72705078,1949-11-28,1950-03-19
None,Esbjerg,DEN,1,1374.59753418,1950-03-20,1950-03-26
None,Esbjerg,DEN,1,1364.47399902,1950-03-27,1950-04-02
None,Esbjerg,DEN,1,1376.1973877,1950-04-03,1950-04-07
None,Esbjerg,DEN,1,1370.74816895,1950-04-08,1950-04-16
None,Esbjerg,DEN,1,1377.36535645,1950-04-17,1950-04-23
None,Esbjerg,DEN,1,1382.56750488,1950-04-24,1950-04-30
None,Esbjerg,DEN,1,1393.2253418,1950-05-01,1950-05-05
None,Esbjerg,DEN,1,1390.09606934,1950-05-06,1950-05-14
None,Esbjerg,DEN,1,1382.69030762,1950-05-15,1950-06-23
None,Esbjerg,DEN,1,1389.69030762,1950-06-24,1950-08-20
None,Esbjerg,DEN,1,1385.31164551,1950-08-21,1950-09-17
None,Esbjerg,DEN,1,1381.96789551,1950-09-18,1950-10-01
None,Esbjerg,DEN,1,1397.5012207,1950-10-02,1950-10-08
None,Esbjerg,DEN,1,1389.11767578,1950-10-09,1950-10-16
None,Esbjerg,DEN,1,1371.11767578,1950-10-17,1950-10-29
None,Esbjerg,DEN,1,1389.50500488,1950-10-30,1950-11-06
None,Esbjerg,DEN,1,1380.50500488,1950-11-07,1950-11-12
None,Esbjerg,DEN,1,1384.72705078,1950-11-13,1950-11-26
None,Esbjerg,DEN,1,1375.79077148,1950-11-27,1950-12-03
None,Esbjerg,DEN,1,1381.54821777,1950-12-04,1950-12-10
None,Esbjerg,DEN,1,1366.31835938,1950-12-11,1951-03-18
