Rank,Club,Country,Level,Elo,From,To
None,Fulham,ENG,2,1365.06604004,1946-07-07,1946-09-02
None,Fulham,ENG,2,1359.86608887,1946-09-03,1946-09-07
None,Fulham,ENG,2,1365.15039062,1946-09-08,1946-09-09
None,Fulham,ENG,2,1370.21765137,1946-09-10,1946-09-14
None,Fulham,ENG,2,1372.94104004,1946-09-15,1946-09-16
None,Fulham,ENG,2,1375.39758301,1946-09-17,1946-09-21
None,Fulham,ENG,2,1382.08752441,1946-09-22,1946-09-28
None,Fulham,ENG,2,1384.91906738,1946-09-29,1946-09-29
None,Fulham,ENG,2,1401.91906738,1946-09-30,1946-10-03
None,Fulham,ENG,2,1407.91906738,1946-10-04,1946-10-05
None,Fulham,ENG,2,1412.11645508,1946-10-06,1946-10-12
None,Fulham,ENG,2,1421.85302734,1946-10-13,1946-10-19
None,Fulham,ENG,2,1433.67077637,1946-10-20,1946-10-26
None,Fulham,ENG,2,1425.46350098,1946-10-27,1946-11-02
None,Fulham,ENG,2,1423.10412598,1946-11-03,1946-11-09
None,Fulham,ENG,2,1435.5378418,1946-11-10,1946-11-16
None,Fulham,ENG,2,1434.55944824,1946-11-17,1946-11-23
None,Fulham,ENG,2,1421.40625,1946-11-24,1946-11-30
None,Fulham,ENG,2,1415.90441895,1946-12-01,1946-12-07
None,Fulham,ENG,2,1410.00683594,1946-12-08,1946-12-25
None,Fulham,ENG,2,1398.46826172,1946-12-26,1946-12-26
None,Fulham,ENG,2,1404.63891602,1946-12-27,1946-12-28
None,Fulham,ENG,2,1411.71630859,1946-12-29,1947-01-01
None,Fulham,ENG,2,1403.96801758,1947-01-02,1947-01-04
None,Fulham,ENG,2,1396.57800293,1947-01-05,1947-01-18
None,Fulham,ENG,2,1403.52685547,1947-01-19,1947-03-01
None,Fulham,ENG,2,1404.01611328,1947-03-02,1947-03-08
None,Fulham,ENG,2,1407.38806152,1947-03-09,1947-03-15
None,Fulham,ENG,2,1414.20397949,1947-03-16,1947-03-22
None,Fulham,ENG,2,1429.81445312,1947-03-23,1947-03-29
None,Fulham,ENG,2,1419.9407959,1947-03-30,1947-04-05
None,Fulham,ENG,2,1415.70532227,1947-04-06,1947-04-07
None,Fulham,ENG,2,1404.05126953,1947-04-08,1947-04-12
None,Fulham,ENG,2,1411.57617188,1947-04-13,1947-04-13
None,Fulham,ENG,2,1401.57617188,1947-04-14,1947-04-19
None,Fulham,ENG,2,1396.00708008,1947-04-20,1947-04-26
None,Fulham,ENG,2,1392.49157715,1947-04-27,1947-05-03
None,Fulham,ENG,2,1382.44775391,1947-05-04,1947-05-04
None,Fulham,ENG,2,1386.44775391,1947-05-05,1947-05-10
None,Fulham,ENG,2,1393.07092285,1947-05-11,1947-05-17
None,Fulham,ENG,2,1401.36450195,1947-05-18,1947-05-20
None,Fulham,ENG,2,1388.36450195,1947-05-21,1947-05-24
None,Fulham,ENG,2,1380.20629883,1947-05-25,1947-05-26
None,Fulham,ENG,2,1393.70788574,1947-05-27,1947-05-31
None,Fulham,ENG,2,1375.43945312,1947-06-01,1947-06-07
None,Fulham,ENG,2,1368.68823242,1947-06-08,1947-06-14
None,Fulham,ENG,2,1371.85693359,1947-06-15,1947-08-23
None,Fulham,ENG,2,1389.25561523,1947-08-24,1947-08-27
None,Fulham,ENG,2,1385.27563477,1947-08-28,1947-08-30
None,Fulham,ENG,2,1400.75231934,1947-08-31,1947-09-03
None,Fulham,ENG,2,1391.91003418,1947-09-04,1947-09-06
None,Fulham,ENG,2,1398.98962402,1947-09-07,1947-09-10
None,Fulham,ENG,2,1408.89453125,1947-09-11,1947-09-13
None,Fulham,ENG,2,1403.10473633,1947-09-14,1947-09-17
None,Fulham,ENG,2,1392.38806152,1947-09-18,1947-09-20
None,Fulham,ENG,2,1384.95373535,1947-09-21,1947-09-27
None,Fulham,ENG,2,1400.96862793,1947-09-28,1947-10-04
None,Fulham,ENG,2,1396.80957031,1947-10-05,1947-10-11
None,Fulham,ENG,2,1381.20117188,1947-10-12,1947-10-18
None,Fulham,ENG,2,1390.43200684,1947-10-19,1947-10-19
None,Fulham,ENG,2,1418.43200684,1947-10-20,1947-10-25
None,Fulham,ENG,2,1414.8494873,1947-10-26,1947-11-01
None,Fulham,ENG,2,1406.02685547,1947-11-02,1947-11-08
None,Fulham,ENG,2,1397.73828125,1947-11-09,1947-11-15
None,Fulham,ENG,2,1390.92016602,1947-11-16,1947-11-22
None,Fulham,ENG,2,1385.7467041,1947-11-23,1947-11-29
None,Fulham,ENG,2,1395.62219238,1947-11-30,1947-12-06
None,Fulham,ENG,2,1394.24133301,1947-12-07,1947-12-13
None,Fulham,ENG,2,1386.99584961,1947-12-14,1947-12-20
None,Fulham,ENG,2,1402.10510254,1947-12-21,1947-12-25
None,Fulham,ENG,2,1397.87036133,1947-12-26,1947-12-27
None,Fulham,ENG,2,1391.44799805,1947-12-28,1948-01-03
None,Fulham,ENG,2,1400.35424805,1948-01-04,1948-01-17
None,Fulham,ENG,2,1410.47839355,1948-01-18,1948-01-31
None,Fulham,ENG,2,1407.56494141,1948-02-01,1948-02-21
None,Fulham,ENG,2,1408.99108887,1948-02-22,1948-03-06
None,Fulham,ENG,2,1404.44104004,1948-03-07,1948-03-13
None,Fulham,ENG,2,1418.56787109,1948-03-14,1948-03-20
None,Fulham,ENG,2,1414.96362305,1948-03-21,1948-03-26
None,Fulham,ENG,2,1432.21850586,1948-03-27,1948-03-27
None,Fulham,ENG,2,1434.46838379,1948-03-28,1948-03-29
None,Fulham,ENG,2,1430.54089355,1948-03-30,1948-04-03
None,Fulham,ENG,2,1417.4934082,1948-04-04,1948-04-10
None,Fulham,ENG,2,1433.75256348,1948-04-11,1948-04-11
None,Fulham,ENG,2,1456.75256348,1948-04-12,1948-04-14
None,Fulham,ENG,2,1452.68933105,1948-04-15,1948-04-17
None,Fulham,ENG,2,1456.18518066,1948-04-18,1948-04-21
None,Fulham,ENG,2,1451.4979248,1948-04-22,1948-04-24
None,Fulham,ENG,2,1445.59484863,1948-04-25,1948-04-28
None,Fulham,ENG,2,1430.95117188,1948-04-29,1948-05-01
None,Fulham,ENG,2,1429.40795898,1948-05-02,1948-05-17
None,Fulham,ENG,2,1456.40795898,1948-05-18,1948-08-21
None,Fulham,ENG,2,1467.80102539,1948-08-22,1948-08-25
None,Fulham,ENG,2,1465.33337402,1948-08-26,1948-08-28
None,Fulham,ENG,2,1476.38952637,1948-08-29,1948-09-01
None,Fulham,ENG,2,1478.24865723,1948-09-02,1948-09-04
None,Fulham,ENG,2,1468.30566406,1948-09-05,1948-09-08
None,Fulham,ENG,2,1476.55761719,1948-09-09,1948-09-11
None,Fulham,ENG,2,1466.23791504,1948-09-12,1948-09-15
None,Fulham,ENG,2,1459.52502441,1948-09-16,1948-09-18
None,Fulham,ENG,2,1460.36694336,1948-09-19,1948-09-25
None,Fulham,ENG,2,1454.57800293,1948-09-26,1948-10-02
None,Fulham,ENG,2,1459.22692871,1948-10-03,1948-10-09
None,Fulham,ENG,2,1450.33203125,1948-10-10,1948-10-10
None,Fulham,ENG,2,1463.33203125,1948-10-11,1948-10-16
None,Fulham,ENG,2,1473.93774414,1948-10-17,1948-10-23
None,Fulham,ENG,2,1477.38391113,1948-10-24,1948-10-30
None,Fulham,ENG,2,1489.00134277,1948-10-31,1948-11-06
None,Fulham,ENG,2,1493.42687988,1948-11-07,1948-11-11
None,Fulham,ENG,2,1497.42687988,1948-11-12,1948-11-13
None,Fulham,ENG,2,1499.60229492,1948-11-14,1948-11-20
None,Fulham,ENG,2,1504.42150879,1948-11-21,1948-12-04
None,Fulham,ENG,2,1505.98217773,1948-12-05,1948-12-11
None,Fulham,ENG,2,1500.3380127,1948-12-12,1948-12-18
None,Fulham,ENG,2,1506.42700195,1948-12-19,1948-12-25
None,Fulham,ENG,2,1508.87890625,1948-12-26,1948-12-27
None,Fulham,ENG,2,1515.30700684,1948-12-28,1949-01-01
None,Fulham,ENG,2,1528.31799316,1949-01-02,1949-01-15
None,Fulham,ENG,2,1536.7331543,1949-01-16,1949-01-22
None,Fulham,ENG,2,1544.85424805,1949-01-23,1949-02-05
None,Fulham,ENG,2,1539.4519043,1949-02-06,1949-02-19
None,Fulham,ENG,2,1547.13293457,1949-02-20,1949-02-26
None,Fulham,ENG,2,1537.93383789,1949-02-27,1949-03-05
None,Fulham,ENG,2,1549.07983398,1949-03-06,1949-03-12
None,Fulham,ENG,2,1553.12060547,1949-03-13,1949-03-19
None,Fulham,ENG,2,1563.94958496,1949-03-20,1949-03-26
None,Fulham,ENG,2,1559.53588867,1949-03-27,1949-04-02
None,Fulham,ENG,2,1552.52819824,1949-04-03,1949-04-06
None,Fulham,ENG,2,1553.06408691,1949-04-07,1949-04-09
None,Fulham,ENG,2,1556.12268066,1949-04-10,1949-04-10
None,Fulham,ENG,2,1503.12268066,1949-04-11,1949-04-15
None,Fulham,ENG,2,1509.04345703,1949-04-16,1949-04-16
None,Fulham,ENG,2,1522.90600586,1949-04-17,1949-04-18
None,Fulham,ENG,2,1534.11523438,1949-04-19,1949-04-23
None,Fulham,ENG,2,1536.65551758,1949-04-24,1949-04-30
None,Fulham,ENG,2,1538.21020508,1949-05-01,1949-05-07
None,Fulham,ENG,2,1542.95141602,1949-05-08,1949-05-14
None,Fulham,ENG,2,1531.95141602,1949-05-15,1949-05-20
None,Fulham,ENG,2,1537.95141602,1949-05-21,1949-05-25
None,Fulham,ENG,2,1545.95141602,1949-05-26,1949-07-02
None,Fulham,ENG,1,1545.95141602,1949-07-03,1949-08-20
None,Fulham,ENG,1,1538.49328613,1949-08-21,1949-08-24
None,Fulham,ENG,1,1542.01708984,1949-08-25,1949-08-27
None,Fulham,ENG,1,1537.74169922,1949-08-28,1949-08-31
