Rank,Club,Country,Level,Elo,From,To
None,Southend,ENG,2,1439.27758789,1991-07-01,1991-08-17
None,Southend,ENG,2,1438.30834961,1991-08-18,1991-08-21
None,Southend,ENG,2,1438.39501953,1991-08-22,1991-08-24
None,Southend,ENG,2,1452.7479248,1991-08-25,1991-08-31
None,Southend,ENG,2,1443.55419922,1991-09-01,1991-09-03
None,Southend,ENG,2,1454.44140625,1991-09-04,1991-09-04
None,Southend,ENG,2,1454.46569824,1991-09-05,1991-09-07
None,Southend,ENG,2,1450.15283203,1991-09-08,1991-09-14
None,Southend,ENG,2,1459.12548828,1991-09-15,1991-09-17
None,Southend,ENG,2,1460.97216797,1991-09-18,1991-09-18
None,Southend,ENG,2,1463.52258301,1991-09-19,1991-09-21
None,Southend,ENG,2,1466.88684082,1991-09-22,1991-09-28
None,Southend,ENG,2,1454.50231934,1991-09-29,1991-10-01
None,Southend,ENG,2,1452.84118652,1991-10-02,1991-10-02
None,Southend,ENG,2,1457.80212402,1991-10-03,1991-10-04
None,Southend,ENG,2,1460.73999023,1991-10-05,1991-10-12
None,Southend,ENG,2,1453.10522461,1991-10-13,1991-10-19
None,Southend,ENG,2,1464.58166504,1991-10-20,1991-10-23
None,Southend,ENG,2,1453.66906738,1991-10-24,1991-10-26
None,Southend,ENG,2,1454.55224609,1991-10-27,1991-10-30
None,Southend,ENG,2,1445.27734375,1991-10-31,1991-11-02
None,Southend,ENG,2,1450.35510254,1991-11-03,1991-11-05
None,Southend,ENG,2,1464.36279297,1991-11-06,1991-11-06
None,Southend,ENG,2,1452.6496582,1991-11-07,1991-11-07
None,Southend,ENG,2,1459.16625977,1991-11-08,1991-11-09
None,Southend,ENG,2,1467.50158691,1991-11-10,1991-11-20
None,Southend,ENG,2,1462.14343262,1991-11-21,1991-11-23
None,Southend,ENG,2,1468.72875977,1991-11-24,1991-11-27
None,Southend,ENG,2,1471.61352539,1991-11-28,1991-11-30
None,Southend,ENG,2,1483.57006836,1991-12-01,1991-12-07
None,Southend,ENG,2,1489.50402832,1991-12-08,1991-12-11
None,Southend,ENG,2,1490.70495605,1991-12-12,1991-12-14
None,Southend,ENG,2,1494.17016602,1991-12-15,1991-12-22
None,Southend,ENG,2,1492.34033203,1991-12-23,1991-12-26
None,Southend,ENG,2,1501.7578125,1991-12-27,1991-12-28
None,Southend,ENG,2,1493.18615723,1991-12-29,1992-01-01
None,Southend,ENG,2,1504.35498047,1992-01-02,1992-01-11
None,Southend,ENG,2,1512.07104492,1992-01-12,1992-01-18
None,Southend,ENG,2,1513.29626465,1992-01-19,1992-02-01
None,Southend,ENG,2,1518.8861084,1992-02-02,1992-02-08
None,Southend,ENG,2,1510.43786621,1992-02-09,1992-02-15
None,Southend,ENG,2,1503.66125488,1992-02-16,1992-02-18
None,Southend,ENG,2,1496.15368652,1992-02-19,1992-02-22
None,Southend,ENG,2,1506.09179688,1992-02-23,1992-02-29
None,Southend,ENG,2,1498.66186523,1992-03-01,1992-03-04
None,Southend,ENG,2,1489.45751953,1992-03-05,1992-03-10
None,Southend,ENG,2,1493.64172363,1992-03-11,1992-03-14
None,Southend,ENG,2,1485.01721191,1992-03-15,1992-03-17
None,Southend,ENG,2,1476.69641113,1992-03-18,1992-03-18
None,Southend,ENG,2,1462.41259766,1992-03-19,1992-03-21
None,Southend,ENG,2,1454.41052246,1992-03-22,1992-03-28
None,Southend,ENG,2,1462.02880859,1992-03-29,1992-04-01
None,Southend,ENG,2,1451.53076172,1992-04-02,1992-04-04
None,Southend,ENG,2,1444.55517578,1992-04-05,1992-04-11
None,Southend,ENG,2,1457.48669434,1992-04-12,1992-04-15
None,Southend,ENG,2,1454.3416748,1992-04-16,1992-04-20
None,Southend,ENG,2,1447.10559082,1992-04-21,1992-04-25
None,Southend,ENG,2,1445.15979004,1992-04-26,1992-05-02
None,Southend,ENG,2,1437.63183594,1992-05-03,1992-08-15
None,Southend,ENG,2,1432.13574219,1992-08-16,1992-08-22
None,Southend,ENG,2,1421.92687988,1992-08-23,1992-08-29
None,Southend,ENG,2,1415.7746582,1992-08-30,1992-09-01
None,Southend,ENG,2,1408.8614502,1992-09-02,1992-09-05
None,Southend,ENG,2,1421.61975098,1992-09-06,1992-09-12
None,Southend,ENG,2,1432.71984863,1992-09-13,1992-09-16
None,Southend,ENG,2,1419.19555664,1992-09-17,1992-09-18
None,Southend,ENG,2,1418.73339844,1992-09-19,1992-09-26
None,Southend,ENG,2,1412.91235352,1992-09-27,1992-09-28
None,Southend,ENG,2,1412.98095703,1992-09-29,1992-09-29
None,Southend,ENG,2,1410.61779785,1992-09-30,1992-09-30
None,Southend,ENG,2,1410.67028809,1992-10-01,1992-10-01
None,Southend,ENG,2,1410.67810059,1992-10-02,1992-10-03
None,Southend,ENG,2,1416.02575684,1992-10-04,1992-10-09
None,Southend,ENG,2,1423.75683594,1992-10-10,1992-10-10
None,Southend,ENG,2,1424.66271973,1992-10-11,1992-10-17
None,Southend,ENG,2,1418.02648926,1992-10-18,1992-10-20
None,Southend,ENG,2,1413.22338867,1992-10-21,1992-10-21
None,Southend,ENG,2,1412.52404785,1992-10-22,1992-10-22
None,Southend,ENG,2,1407.72705078,1992-10-23,1992-10-25
None,Southend,ENG,2,1406.04138184,1992-10-26,1992-10-31
None,Southend,ENG,2,1410.79833984,1992-11-01,1992-11-03
None,Southend,ENG,2,1402.78674316,1992-11-04,1992-11-04
None,Southend,ENG,2,1379.7557373,1992-11-05,1992-11-07
None,Southend,ENG,2,1365.17248535,1992-11-08,1992-11-14
None,Southend,ENG,2,1361.515625,1992-11-15,1992-11-21
None,Southend,ENG,2,1373.51123047,1992-11-22,1992-11-28
None,Southend,ENG,2,1364.67248535,1992-11-29,1992-12-05
None,Southend,ENG,2,1369.8190918,1992-12-06,1992-12-12
None,Southend,ENG,2,1365.97106934,1992-12-13,1992-12-19
None,Southend,ENG,2,1380.48266602,1992-12-20,1992-12-26
None,Southend,ENG,2,1372.03808594,1992-12-27,1992-12-28
None,Southend,ENG,2,1387.1920166,1992-12-29,1993-01-09
None,Southend,ENG,2,1382.37438965,1993-01-10,1993-01-16
None,Southend,ENG,2,1383.3848877,1993-01-17,1993-01-20
None,Southend,ENG,2,1385.08374023,1993-01-21,1993-01-27
None,Southend,ENG,2,1396.67907715,1993-01-28,1993-01-30
None,Southend,ENG,2,1390.91479492,1993-01-31,1993-02-10
None,Southend,ENG,2,1388.45788574,1993-02-11,1993-02-21
None,Southend,ENG,2,1399.61364746,1993-02-22,1993-02-27
None,Southend,ENG,2,1402.80273438,1993-02-28,1993-03-06
None,Southend,ENG,2,1390.62866211,1993-03-07,1993-03-10
None,Southend,ENG,2,1391.88537598,1993-03-11,1993-03-13
None,Southend,ENG,2,1402.68835449,1993-03-14,1993-03-21
None,Southend,ENG,2,1403.04309082,1993-03-22,1993-03-23
None,Southend,ENG,2,1393.04553223,1993-03-24,1993-03-26
None,Southend,ENG,2,1384.49536133,1993-03-27,1993-04-03
None,Southend,ENG,2,1400.0111084,1993-04-04,1993-04-07
None,Southend,ENG,2,1410.23596191,1993-04-08,1993-04-10
None,Southend,ENG,2,1412.80554199,1993-04-11,1993-04-14
None,Southend,ENG,2,1421.01208496,1993-04-15,1993-04-17
None,Southend,ENG,2,1413.20068359,1993-04-18,1993-04-20
None,Southend,ENG,2,1407.26135254,1993-04-21,1993-04-23
None,Southend,ENG,2,1413.84301758,1993-04-24,1993-05-01
None,Southend,ENG,2,1405.11901855,1993-05-02,1993-05-08
None,Southend,ENG,2,1412.36328125,1993-05-09,1993-08-15
None,Southend,ENG,2,1414.39660645,1993-08-16,1993-08-22
None,Southend,ENG,2,1433.65563965,1993-08-23,1993-08-28
None,Southend,ENG,2,1443.2791748,1993-08-29,1993-09-01
None,Southend,ENG,2,1444.07324219,1993-09-02,1993-09-04
None,Southend,ENG,2,1437.57275391,1993-09-05,1993-09-11
None,Southend,ENG,2,1446.63378906,1993-09-12,1993-09-15
None,Southend,ENG,2,1463.11022949,1993-09-16,1993-09-18
None,Southend,ENG,2,1458.87658691,1993-09-19,1993-09-25
None,Southend,ENG,2,1467.84240723,1993-09-26,1993-09-28
None,Southend,ENG,2,1466.60681152,1993-09-29,1993-09-29
None,Southend,ENG,2,1470.47998047,1993-09-30,1993-10-02
None,Southend,ENG,2,1461.55102539,1993-10-03,1993-10-09
None,Southend,ENG,2,1449.38952637,1993-10-10,1993-10-16
None,Southend,ENG,2,1460.63769531,1993-10-17,1993-10-19
None,Southend,ENG,2,1473.10229492,1993-10-20,1993-10-20
None,Southend,ENG,2,1472.26049805,1993-10-21,1993-10-23
None,Southend,ENG,2,1486.06945801,1993-10-24,1993-10-30
None,Southend,ENG,2,1482.8269043,1993-10-31,1993-11-03
None,Southend,ENG,2,1480.8215332,1993-11-04,1993-11-06
None,Southend,ENG,2,1474.05944824,1993-11-07,1993-11-13
None,Southend,ENG,2,1479.27197266,1993-11-14,1993-11-20
