Rank,Club,Country,Level,Elo,From,To
None,Stockport,ENG,2,1371.50622559,1997-07-01,1997-08-09
None,Stockport,ENG,2,1365.36096191,1997-08-10,1997-08-13
None,Stockport,ENG,2,1365.4909668,1997-08-14,1997-08-16
None,Stockport,ENG,2,1363.3046875,1997-08-17,1997-08-23
None,Stockport,ENG,2,1359.77575684,1997-08-24,1997-08-27
None,Stockport,ENG,2,1363.87243652,1997-08-28,1997-08-29
None,Stockport,ENG,2,1364.67248535,1997-08-30,1997-09-02
None,Stockport,ENG,2,1368.24414062,1997-09-03,1997-09-09
None,Stockport,ENG,2,1364.04797363,1997-09-10,1997-09-13
None,Stockport,ENG,2,1359.25195312,1997-09-14,1997-09-16
None,Stockport,ENG,2,1360.54223633,1997-09-17,1997-09-17
None,Stockport,ENG,2,1367.25036621,1997-09-18,1997-09-18
None,Stockport,ENG,2,1370.51611328,1997-09-19,1997-09-20
None,Stockport,ENG,2,1381.65905762,1997-09-21,1997-09-27
None,Stockport,ENG,2,1398.2454834,1997-09-28,1997-09-30
None,Stockport,ENG,2,1391.65869141,1997-10-01,1997-10-01
None,Stockport,ENG,2,1395.4074707,1997-10-02,1997-10-02
None,Stockport,ENG,2,1398.61437988,1997-10-03,1997-10-04
None,Stockport,ENG,2,1409.00476074,1997-10-05,1997-10-11
None,Stockport,ENG,2,1414.8572998,1997-10-12,1997-10-18
None,Stockport,ENG,2,1417.11474609,1997-10-19,1997-10-21
None,Stockport,ENG,2,1404.67077637,1997-10-22,1997-10-22
None,Stockport,ENG,2,1403.56591797,1997-10-23,1997-10-23
None,Stockport,ENG,2,1402.46496582,1997-10-24,1997-10-25
None,Stockport,ENG,2,1410.09118652,1997-10-26,1997-11-01
None,Stockport,ENG,2,1410.90332031,1997-11-02,1997-11-04
None,Stockport,ENG,2,1434.23571777,1997-11-05,1997-11-05
None,Stockport,ENG,2,1431.82080078,1997-11-06,1997-11-06
None,Stockport,ENG,2,1433.79284668,1997-11-07,1997-11-08
None,Stockport,ENG,2,1427.41955566,1997-11-09,1997-11-15
None,Stockport,ENG,2,1436.27624512,1997-11-16,1997-11-22
None,Stockport,ENG,2,1444.68347168,1997-11-23,1997-11-25
None,Stockport,ENG,2,1443.51757812,1997-11-26,1997-11-26
None,Stockport,ENG,2,1441.7878418,1997-11-27,1997-11-27
None,Stockport,ENG,2,1442.21533203,1997-11-28,1997-11-29
None,Stockport,ENG,2,1450.83691406,1997-11-30,1997-12-06
None,Stockport,ENG,2,1445.62841797,1997-12-07,1997-12-09
None,Stockport,ENG,2,1451.25061035,1997-12-10,1997-12-10
None,Stockport,ENG,2,1452.69580078,1997-12-11,1997-12-13
None,Stockport,ENG,2,1460.7935791,1997-12-14,1997-12-20
None,Stockport,ENG,2,1457.35083008,1997-12-21,1997-12-26
None,Stockport,ENG,2,1466.59338379,1997-12-27,1997-12-28
None,Stockport,ENG,2,1462.17419434,1997-12-29,1998-01-10
None,Stockport,ENG,2,1450.72033691,1998-01-11,1998-01-18
None,Stockport,ENG,2,1459.01245117,1998-01-19,1998-01-27
None,Stockport,ENG,2,1450.52783203,1998-01-28,1998-01-31
None,Stockport,ENG,2,1458.45690918,1998-02-01,1998-02-07
None,Stockport,ENG,2,1451.5715332,1998-02-08,1998-02-14
None,Stockport,ENG,2,1456.3626709,1998-02-15,1998-02-17
None,Stockport,ENG,2,1448.42431641,1998-02-18,1998-02-21
None,Stockport,ENG,2,1461.41503906,1998-02-22,1998-02-24
None,Stockport,ENG,2,1458.08483887,1998-02-25,1998-02-28
None,Stockport,ENG,2,1445.9979248,1998-03-01,1998-03-03
None,Stockport,ENG,2,1455.63427734,1998-03-04,1998-03-04
None,Stockport,ENG,2,1457.16186523,1998-03-05,1998-03-05
None,Stockport,ENG,2,1462.92297363,1998-03-06,1998-03-07
None,Stockport,ENG,2,1457.6192627,1998-03-08,1998-03-14
None,Stockport,ENG,2,1451.00476074,1998-03-15,1998-03-17
None,Stockport,ENG,2,1449.54956055,1998-03-18,1998-03-18
None,Stockport,ENG,2,1444.40612793,1998-03-19,1998-03-19
None,Stockport,ENG,2,1448.67089844,1998-03-20,1998-03-21
None,Stockport,ENG,2,1448.81494141,1998-03-22,1998-03-28
None,Stockport,ENG,2,1437.75,1998-03-29,1998-04-02
None,Stockport,ENG,2,1436.41796875,1998-04-03,1998-04-04
None,Stockport,ENG,2,1425.82092285,1998-04-05,1998-04-11
None,Stockport,ENG,2,1431.57165527,1998-04-12,1998-04-13
