Rank,Club,Country,Level,Elo,From,To
None,Tottenham,ENG,2,1365.06604004,1946-07-07,1946-09-07
None,Tottenham,ENG,2,1359.64343262,1946-09-08,1946-09-09
None,Tottenham,ENG,2,1365.31359863,1946-09-10,1946-09-14
None,Tottenham,ENG,2,1363.00012207,1946-09-15,1946-09-19
None,Tottenham,ENG,2,1376.93896484,1946-09-20,1946-09-21
None,Tottenham,ENG,2,1390.07885742,1946-09-22,1946-09-28
None,Tottenham,ENG,2,1387.64257812,1946-09-29,1946-09-29
None,Tottenham,ENG,2,1404.64257812,1946-09-30,1946-10-03
None,Tottenham,ENG,2,1410.64257812,1946-10-04,1946-10-05
None,Tottenham,ENG,2,1407.75305176,1946-10-06,1946-10-07
None,Tottenham,ENG,2,1412.96643066,1946-10-08,1946-10-12
None,Tottenham,ENG,2,1428.37976074,1946-10-13,1946-10-19
None,Tottenham,ENG,2,1429.81787109,1946-10-20,1946-10-26
None,Tottenham,ENG,2,1435.21594238,1946-10-27,1946-11-02
None,Tottenham,ENG,2,1437.57531738,1946-11-03,1946-11-09
None,Tottenham,ENG,2,1440.96398926,1946-11-10,1946-11-16
None,Tottenham,ENG,2,1449.92602539,1946-11-17,1946-11-23
None,Tottenham,ENG,2,1454.59277344,1946-11-24,1946-11-30
None,Tottenham,ENG,2,1460.35766602,1946-12-01,1946-12-07
None,Tottenham,ENG,2,1449.85107422,1946-12-08,1946-12-14
None,Tottenham,ENG,2,1463.4909668,1946-12-15,1946-12-21
None,Tottenham,ENG,2,1459.30566406,1946-12-22,1946-12-25
None,Tottenham,ENG,2,1448.85400391,1946-12-26,1946-12-26
None,Tottenham,ENG,2,1445.13415527,1946-12-27,1946-12-28
None,Tottenham,ENG,2,1440.4954834,1946-12-29,1947-01-04
None,Tottenham,ENG,2,1447.83837891,1947-01-05,1947-01-18
None,Tottenham,ENG,2,1442.9161377,1947-01-19,1947-01-27
None,Tottenham,ENG,2,1448.11779785,1947-01-28,1947-02-01
None,Tottenham,ENG,2,1443.9732666,1947-02-02,1947-02-18
None,Tottenham,ENG,2,1448.07678223,1947-02-19,1947-03-01
None,Tottenham,ENG,2,1431.62915039,1947-03-02,1947-03-08
None,Tottenham,ENG,2,1428.25720215,1947-03-09,1947-03-22
None,Tottenham,ENG,2,1432.84375,1947-03-23,1947-03-29
None,Tottenham,ENG,2,1442.20166016,1947-03-30,1947-04-04
None,Tottenham,ENG,2,1448.26550293,1947-04-05,1947-04-05
None,Tottenham,ENG,2,1453.01123047,1947-04-06,1947-04-07
None,Tottenham,ENG,2,1454.39562988,1947-04-08,1947-04-12
None,Tottenham,ENG,2,1456.18518066,1947-04-13,1947-04-13
None,Tottenham,ENG,2,1446.18518066,1947-04-14,1947-04-19
None,Tottenham,ENG,2,1449.59057617,1947-04-20,1947-04-26
None,Tottenham,ENG,2,1442.63330078,1947-04-27,1947-05-03
None,Tottenham,ENG,2,1451.80944824,1947-05-04,1947-05-04
None,Tottenham,ENG,2,1455.80944824,1947-05-05,1947-05-10
None,Tottenham,ENG,2,1448.23303223,1947-05-11,1947-05-17
None,Tottenham,ENG,2,1444.10266113,1947-05-18,1947-05-20
None,Tottenham,ENG,2,1431.10266113,1947-05-21,1947-05-26
None,Tottenham,ENG,2,1448.10266113,1947-05-27,1947-06-07
None,Tottenham,ENG,2,1444.27832031,1947-06-08,1947-08-23
None,Tottenham,ENG,2,1438.89123535,1947-08-24,1947-08-27
None,Tottenham,ENG,2,1429.36157227,1947-08-28,1947-08-30
None,Tottenham,ENG,2,1436.77966309,1947-08-31,1947-09-01
None,Tottenham,ENG,2,1433.0144043,1947-09-02,1947-09-06
None,Tottenham,ENG,2,1446.78259277,1947-09-07,1947-09-08
None,Tottenham,ENG,2,1447.68273926,1947-09-09,1947-09-13
