Rank,Club,Country,Level,Elo,From,To
None,Wigan,ENG,2,1372.41540527,2003-07-01,2003-08-09
None,Wigan,ENG,2,1366.73266602,2003-08-10,2003-08-13
None,Wigan,ENG,2,1367.95751953,2003-08-14,2003-08-14
None,Wigan,ENG,2,1367.98669434,2003-08-15,2003-08-16
None,Wigan,ENG,2,1368.82849121,2003-08-17,2003-08-23
None,Wigan,ENG,2,1382.64135742,2003-08-24,2003-08-26
None,Wigan,ENG,2,1393.02685547,2003-08-27,2003-08-27
None,Wigan,ENG,2,1388.59521484,2003-08-28,2003-08-28
None,Wigan,ENG,2,1388.59680176,2003-08-29,2003-08-30
None,Wigan,ENG,2,1407.22619629,2003-08-31,2003-09-13
None,Wigan,ENG,2,1421.9173584,2003-09-14,2003-09-16
None,Wigan,ENG,2,1436.19934082,2003-09-17,2003-09-17
None,Wigan,ENG,2,1429.18359375,2003-09-18,2003-09-20
None,Wigan,ENG,2,1434.85681152,2003-09-21,2003-09-24
None,Wigan,ENG,2,1432.28186035,2003-09-25,2003-09-27
None,Wigan,ENG,2,1432.97924805,2003-09-28,2003-09-30
None,Wigan,ENG,2,1432.46777344,2003-10-01,2003-10-01
None,Wigan,ENG,2,1423.04882812,2003-10-02,2003-10-04
None,Wigan,ENG,2,1423.04418945,2003-10-05,2003-10-11
None,Wigan,ENG,2,1424.06689453,2003-10-12,2003-10-14
None,Wigan,ENG,2,1429.67663574,2003-10-15,2003-10-15
None,Wigan,ENG,2,1422.47900391,2003-10-16,2003-10-18
None,Wigan,ENG,2,1427.91442871,2003-10-19,2003-10-21
None,Wigan,ENG,2,1425.25036621,2003-10-22,2003-10-22
None,Wigan,ENG,2,1429.88293457,2003-10-23,2003-10-25
None,Wigan,ENG,2,1419.38903809,2003-10-26,2003-11-01
None,Wigan,ENG,2,1433.0546875,2003-11-02,2003-11-04
None,Wigan,ENG,2,1442.53466797,2003-11-05,2003-11-05
None,Wigan,ENG,2,1443.48022461,2003-11-06,2003-11-06
None,Wigan,ENG,2,1445.25024414,2003-11-07,2003-11-08
None,Wigan,ENG,2,1439.6529541,2003-11-09,2003-11-22
None,Wigan,ENG,2,1438.60070801,2003-11-23,2003-11-25
None,Wigan,ENG,2,1444.95422363,2003-11-26,2003-11-26
None,Wigan,ENG,2,1444.56958008,2003-11-27,2003-11-27
None,Wigan,ENG,2,1444.84313965,2003-11-28,2003-11-29
None,Wigan,ENG,2,1438.43383789,2003-11-30,2003-12-02
None,Wigan,ENG,2,1441.95703125,2003-12-03,2003-12-06
None,Wigan,ENG,2,1429.64453125,2003-12-07,2003-12-09
None,Wigan,ENG,2,1435.49694824,2003-12-10,2003-12-10
None,Wigan,ENG,2,1436.28625488,2003-12-11,2003-12-13
None,Wigan,ENG,2,1440.88342285,2003-12-14,2003-12-20
None,Wigan,ENG,2,1450.23632812,2003-12-21,2003-12-26
