Rank,Club,Country,Level,Elo,From,To
None,Granada,ESP,1,1553.92016602,1941-08-31,1941-09-28
None,Granada,ESP,1,1551.03735352,1941-09-29,1941-10-05
None,Granada,ESP,1,1546.85461426,1941-10-06,1941-10-12
None,Granada,ESP,1,1539.05041504,1941-10-13,1941-10-19
None,Granada,ESP,1,1542.64550781,1941-10-20,1941-10-26
None,Granada,ESP,1,1540.50280762,1941-10-27,1941-11-02
None,Granada,ESP,1,1530.72021484,1941-11-03,1941-11-09
None,Granada,ESP,1,1524.57507324,1941-11-10,1941-11-16
None,Granada,ESP,1,1534.45153809,1941-11-17,1941-11-23
None,Granada,ESP,1,1531.35742188,1941-11-24,1941-11-30
None,Granada,ESP,1,1541.0838623,1941-12-01,1941-12-07
None,Granada,ESP,1,1536.51171875,1941-12-08,1941-12-14
None,Granada,ESP,1,1546.42907715,1941-12-15,1941-12-21
None,Granada,ESP,1,1552.7623291,1941-12-22,1942-01-04
None,Granada,ESP,1,1561.02868652,1942-01-05,1942-01-11
None,Granada,ESP,1,1571.73120117,1942-01-12,1942-01-18
None,Granada,ESP,1,1567.13000488,1942-01-19,1942-01-25
None,Granada,ESP,1,1571.67932129,1942-01-26,1942-02-01
None,Granada,ESP,1,1564.98071289,1942-02-02,1942-02-08
None,Granada,ESP,1,1562.69567871,1942-02-09,1942-02-15
None,Granada,ESP,1,1575.07775879,1942-02-16,1942-02-22
None,Granada,ESP,1,1595.61987305,1942-02-23,1942-03-01
None,Granada,ESP,1,1601.81433105,1942-03-02,1942-03-08
None,Granada,ESP,1,1594.49084473,1942-03-09,1942-03-22
None,Granada,ESP,1,1606.83007812,1942-03-23,1942-03-29
None,Granada,ESP,1,1607.96948242,1942-03-30,1942-04-05
None,Granada,ESP,1,1617.51586914,1942-04-06,1942-04-26
None,Granada,ESP,1,1609.51586914,1942-04-27,1942-09-27
None,Granada,ESP,1,1597.32788086,1942-09-28,1942-10-04
None,Granada,ESP,1,1607.1114502,1942-10-05,1942-10-11
None,Granada,ESP,1,1612.57788086,1942-10-12,1942-10-18
None,Granada,ESP,1,1607.50720215,1942-10-19,1942-10-25
None,Granada,ESP,1,1613.35717773,1942-10-26,1942-11-01
None,Granada,ESP,1,1605.62780762,1942-11-02,1942-11-08
None,Granada,ESP,1,1602.24328613,1942-11-09,1942-11-15
None,Granada,ESP,1,1595.93786621,1942-11-16,1942-11-22
None,Granada,ESP,1,1584.38549805,1942-11-23,1942-11-29
None,Granada,ESP,1,1581.4395752,1942-11-30,1942-12-06
None,Granada,ESP,1,1579.89575195,1942-12-07,1942-12-13
