Rank,Club,Country,Level,Elo,From,To
None,Rayo Vallecano,ESP,2,1453.02722168,1968-07-02,1968-09-08
None,Rayo Vallecano,ESP,2,1445.89660645,1968-09-09,1968-09-15
None,Rayo Vallecano,ESP,2,1452.5057373,1968-09-16,1968-09-18
None,Rayo Vallecano,ESP,2,1453.67053223,1968-09-19,1968-09-22
None,Rayo Vallecano,ESP,2,1461.04040527,1968-09-23,1968-09-26
None,Rayo Vallecano,ESP,2,1461.05004883,1968-09-27,1968-09-29
None,Rayo Vallecano,ESP,2,1455.97399902,1968-09-30,1968-10-02
None,Rayo Vallecano,ESP,2,1456.39904785,1968-10-03,1968-10-06
None,Rayo Vallecano,ESP,2,1461.23022461,1968-10-07,1968-10-13
None,Rayo Vallecano,ESP,2,1453.51855469,1968-10-14,1968-10-20
None,Rayo Vallecano,ESP,2,1460.14318848,1968-10-21,1968-11-03
None,Rayo Vallecano,ESP,2,1455.99865723,1968-11-04,1968-11-10
None,Rayo Vallecano,ESP,2,1460.3059082,1968-11-11,1968-11-17
None,Rayo Vallecano,ESP,2,1465.06506348,1968-11-18,1968-11-20
None,Rayo Vallecano,ESP,2,1463.28686523,1968-11-21,1968-11-24
None,Rayo Vallecano,ESP,2,1469.34277344,1968-11-25,1968-12-01
None,Rayo Vallecano,ESP,2,1465.75244141,1968-12-02,1968-12-04
None,Rayo Vallecano,ESP,2,1455.62426758,1968-12-05,1968-12-08
None,Rayo Vallecano,ESP,2,1459.09997559,1968-12-09,1968-12-15
None,Rayo Vallecano,ESP,2,1457.48547363,1968-12-16,1968-12-22
None,Rayo Vallecano,ESP,2,1445.9942627,1968-12-23,1968-12-29
None,Rayo Vallecano,ESP,2,1450.66442871,1968-12-30,1969-01-05
None,Rayo Vallecano,ESP,2,1453.77734375,1969-01-06,1969-01-12
None,Rayo Vallecano,ESP,2,1450.71801758,1969-01-13,1969-01-19
None,Rayo Vallecano,ESP,2,1455.19445801,1969-01-20,1969-01-26
None,Rayo Vallecano,ESP,2,1458.29260254,1969-01-27,1969-01-30
None,Rayo Vallecano,ESP,2,1458.29882812,1969-01-31,1969-02-02
None,Rayo Vallecano,ESP,2,1469.9921875,1969-02-03,1969-02-08
None,Rayo Vallecano,ESP,2,1470.08300781,1969-02-09,1969-02-09
None,Rayo Vallecano,ESP,2,1475.03320312,1969-02-10,1969-02-16
None,Rayo Vallecano,ESP,2,1470.99243164,1969-02-17,1969-03-02
None,Rayo Vallecano,ESP,2,1476.8067627,1969-03-03,1969-03-09
None,Rayo Vallecano,ESP,2,1471.19750977,1969-03-10,1969-03-16
None,Rayo Vallecano,ESP,2,1481.78881836,1969-03-17,1969-03-23
None,Rayo Vallecano,ESP,2,1486.6081543,1969-03-24,1969-03-30
None,Rayo Vallecano,ESP,2,1498.07067871,1969-03-31,1969-04-02
None,Rayo Vallecano,ESP,2,1502.10925293,1969-04-03,1969-04-06
