Rank,Club,Country,Level,Elo,From,To
None,Reus Deportiu,ESP,2,1497.68579102,2016-07-01,2016-08-17
None,Reus Deportiu,ESP,2,1493.81787109,2016-08-18,2016-08-20
None,Reus Deportiu,ESP,2,1505.25927734,2016-08-21,2016-08-23
None,Reus Deportiu,ESP,2,1502.46765137,2016-08-24,2016-08-27
None,Reus Deportiu,ESP,2,1500.89050293,2016-08-28,2016-09-03
None,Reus Deportiu,ESP,2,1506.5793457,2016-09-04,2016-09-10
None,Reus Deportiu,ESP,2,1506.11621094,2016-09-11,2016-09-13
None,Reus Deportiu,ESP,2,1507.71447754,2016-09-14,2016-09-14
None,Reus Deportiu,ESP,2,1509.56347656,2016-09-15,2016-09-15
None,Reus Deportiu,ESP,2,1503.1081543,2016-09-16,2016-09-17
None,Reus Deportiu,ESP,2,1509.0657959,2016-09-18,2016-09-22
None,Reus Deportiu,ESP,2,1520.09960938,2016-09-23,2016-09-25
None,Reus Deportiu,ESP,2,1521.80053711,2016-09-26,2016-09-27
None,Reus Deportiu,ESP,2,1521.91784668,2016-09-28,2016-09-28
None,Reus Deportiu,ESP,2,1524.97338867,2016-09-29,2016-09-29
None,Reus Deportiu,ESP,2,1525.13818359,2016-09-30,2016-10-02
None,Reus Deportiu,ESP,2,1521.58666992,2016-10-03,2016-10-08
None,Reus Deportiu,ESP,2,1519.80749512,2016-10-09,2016-10-16
None,Reus Deportiu,ESP,2,1534.23217773,2016-10-17,2016-10-18
None,Reus Deportiu,ESP,2,1535.78845215,2016-10-19,2016-10-19
None,Reus Deportiu,ESP,2,1538.12719727,2016-10-20,2016-10-20
None,Reus Deportiu,ESP,2,1529.68945312,2016-10-21,2016-10-22
None,Reus Deportiu,ESP,2,1536.51977539,2016-10-23,2016-10-29
None,Reus Deportiu,ESP,2,1531.0345459,2016-10-30,2016-11-01
None,Reus Deportiu,ESP,2,1527.1015625,2016-11-02,2016-11-02
None,Reus Deportiu,ESP,2,1525.59033203,2016-11-03,2016-11-03
None,Reus Deportiu,ESP,2,1519.40100098,2016-11-04,2016-11-06
None,Reus Deportiu,ESP,2,1512.82202148,2016-11-07,2016-11-12
None,Reus Deportiu,ESP,2,1507.3458252,2016-11-13,2016-11-20
None,Reus Deportiu,ESP,2,1514.33422852,2016-11-21,2016-11-22
None,Reus Deportiu,ESP,2,1511.63061523,2016-11-23,2016-11-23
None,Reus Deportiu,ESP,2,1512.92541504,2016-11-24,2016-11-24
None,Reus Deportiu,ESP,2,1509.7956543,2016-11-25,2016-11-26
None,Reus Deportiu,ESP,2,1513.7298584,2016-11-27,2016-12-04
None,Reus Deportiu,ESP,2,1503.60021973,2016-12-05,2016-12-06
None,Reus Deportiu,ESP,2,1502.81799316,2016-12-07,2016-12-07
None,Reus Deportiu,ESP,2,1500.76074219,2016-12-08,2016-12-08
None,Reus Deportiu,ESP,2,1502.17675781,2016-12-09,2016-12-09
None,Reus Deportiu,ESP,2,1513.43347168,2016-12-10,2016-12-16
None,Reus Deportiu,ESP,2,1503.94628906,2016-12-17,2017-01-06
None,Reus Deportiu,ESP,2,1499.20019531,2017-01-07,2017-01-15
None,Reus Deportiu,ESP,2,1505.72790527,2017-01-16,2017-01-22
None,Reus Deportiu,ESP,2,1503.26794434,2017-01-23,2017-01-28
None,Reus Deportiu,ESP,2,1504.98486328,2017-01-29,2017-02-05
None,Reus Deportiu,ESP,2,1505.34313965,2017-02-06,2017-02-12
None,Reus Deportiu,ESP,2,1501.06420898,2017-02-13,2017-02-14
None,Reus Deportiu,ESP,2,1493.16296387,2017-02-15,2017-02-15
None,Reus Deportiu,ESP,2,1493.8416748,2017-02-16,2017-02-16
None,Reus Deportiu,ESP,2,1486.41259766,2017-02-17,2017-02-19
None,Reus Deportiu,ESP,2,1490.20202637,2017-02-20,2017-02-21
None,Reus Deportiu,ESP,2,1492.61572266,2017-02-22,2017-02-22
None,Reus Deportiu,ESP,2,1492.7421875,2017-02-23,2017-02-23
None,Reus Deportiu,ESP,2,1493.97753906,2017-02-24,2017-02-24
