Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Antonio AdÃ¡n,es ESP,GK,AtlÃ©tico Madrid,es La Liga,31,1987,2,1,90,1.0,2,2.00,7,5,71.4,0,1,0,0,0.0,0,0,0,0,,Matches,0,0,0,2.1,0.30,+0.1,+0.12,4,16,25.0,14,3,57.1,40.9,10,80.0,55.4,9,0,0.0,0,0.00,15.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,35,2.00,5,4,+1,+1.00,+0.32,1.6,2.4,-0.9,-0.87,-1.09,0,0,0,0,0,0,0,0,0,3,0,0,,Big-5-European-Leagues,Big5,2018-2019
2,RÃºnar Alex RÃºnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,2250,25.0,44,1.76,96,55,56.3,7,5,13,5,20.0,2,2,0,0,0.0,Matches,2,5,0,34.9,0.35,-8.1,-0.33,185,415,44.6,628,105,41.7,37.8,203,75.4,56.3,201,17,8.5,19,0.76,15.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,65.8,90,25,0,,12,1.04,24,43,-19,-0.76,+0.01,29.3,38.7,-9.4,-0.38,+0.55,0,0,4,0,0,0,0,0,0,136,0,0,,Big-5-European-Leagues,Big5,2018-2019
3,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,3420,38.0,22,0.58,96,74,77.1,30,7,1,21,55.3,1,0,0,1,,Matches,0,5,0,27.8,0.29,+5.8,+0.15,197,397,49.6,1055,196,27.2,32.5,213,51.6,46.3,272,22,8.1,39,1.03,16.7,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,38,0,,0,2.55,89,22,+67,+1.76,,74.7,30.5,+44.2,+1.16,,0,0,1,0,0,0,0,0,0,217,1,0,100.0,Big-5-European-Leagues,Big5,2018-2019
4,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,1170,13.0,17,1.31,74,58,78.4,2,2,9,1,7.7,1,1,0,0,0.0,Matches,0,2,1,19.1,0.26,+3.1,+0.24,140,302,46.4,340,70,58.2,44.9,126,82.5,57.7,143,24,16.8,11,0.85,15.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,34.2,90,13,0,,25,0.62,7,17,-10,-0.77,-0.01,10.2,22.3,-12.1,-0.93,-0.55,0,1,6,0,0,0,0,0,1,78,0,0,,Big-5-European-Leagues,Big5,2018-2019
5,Sergio Ãlvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,1170,13.0,22,1.69,57,38,64.9,3,5,5,2,15.4,2,2,0,0,0.0,Matches,1,2,1,18.2,0.29,-2.8,-0.22,102,248,41.1,320,43,48.8,40.3,124,74.2,55.1,146,10,6.8,4,0.31,12.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,34.2,90,13,0,,25,1.08,23,22,+1,+0.08,+0.48,14.2,21.0,-6.8,-0.52,-0.19,0,1,0,0,0,0,0,0,1,71,0,0,,Big-5-European-Leagues,Big5,2018-2019
6,Miguel Ãngel MoyÃ¡,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11.0,11,1.00,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,Matches,0,1,0,9.9,0.31,-1.1,-0.10,84,150,56.0,285,33,35.1,34.3,77,64.9,46.5,122,13,10.7,12,1.09,17.6,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,28.9,90,11,0,,22,1.00,9,11,-2,-0.18,-0.22,13.6,10.1,+3.6,+0.33,+0.36,0,0,1,0,0,0,0,0,0,50,0,0,,Big-5-European-Leagues,Big5,2018-2019
7,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21,21,1890,21.0,17,0.81,63,51,79.4,16,3,2,11,52.4,4,4,0,0,0.0,Matches,0,1,1,19.8,0.26,+3.8,+0.18,70,127,55.1,374,95,22.7,28.3,134,31.3,35.2,172,6,3.5,14,0.67,13.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,55.3,90,21,0,,13,2.43,55,17,+38,+1.81,-0.07,49.3,19.4,+29.8,+1.42,-0.07,0,0,2,0,0,0,0,0,0,84,0,0,,Big-5-European-Leagues,Big5,2018-2019
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,36,3240,36.0,39,1.08,117,78,67.5,20,8,8,14,38.9,2,1,1,0,50.0,Matches,0,6,0,37.2,0.31,-1.8,-0.05,185,320,57.8,893,168,22.5,29.0,257,46.3,41.5,247,17,6.9,22,0.61,15.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,94.7,90,36,0,,2,1.89,61,39,+22,+0.61,-0.39,56.0,34.1,+21.9,+0.61,-0.06,0,0,4,0,0,0,0,0,0,164,0,0,,Big-5-European-Leagues,Big5,2018-2019
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,32,2880,32.0,45,1.41,164,124,73.8,7,12,13,9,28.1,4,2,1,1,33.3,Matches,2,4,3,46.2,0.27,+4.2,+0.13,187,460,40.7,554,128,50.9,42.7,251,70.9,55.4,388,39,10.1,21,0.66,14.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,84.2,90,32,0,,4,1.03,40,45,-5,-0.16,-0.49,44.7,45.4,-0.7,-0.02,+0.30,0,0,3,0,0,0,0,0,0,115,0,0,,Big-5-European-Leagues,Big5,2018-2019
10,Emil Audero,it ITA,GK,Sampdoria,it Serie A,21,1997,36,36,3240,36.0,51,1.42,142,98,69.0,14,7,15,11,30.6,8,7,1,0,12.5,Matches,2,6,1,51.8,0.32,+1.8,+0.05,144,428,33.6,863,186,32.1,31.8,295,51.2,41.9,389,33,8.5,25,0.69,15.0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,90,94.7,90,36,0,,2,1.36,58,51,+7,+0.19,-0.81,48.4,51.6,-3.2,-0.09,-0.21,0,2,5,0,0,0,0,0,2,181,0,0,,Big-5-European-Leagues,Big5,2018-2019
