Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,League Name,League ID,Season
1,AdriÃ¡n,es ESP,GK,Liverpool,eng Premier League,33,1987,3,3,270,3.0,9,3.00,19,10,52.6,1,1,1,1,33.3,0,0,0,0,,Matches,0,2,0,7.9,0.42,-1.1,-0.36,12,32,37.5,77,20,31.2,34.9,22,36.4,32.6,29,2,6.9,1,0.33,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,7.9,90,,0,,27,1.33,6,9,-3,-1.00,-1.83,6.8,5.8,+1.0,+0.33,-0.42,0,0,0,0,0,0,0,0,0,20,0,0,,Big-5-European-Leagues,Big5,2020-2021
2,RÃºnar Alex RÃºnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,1,0,16,0.2,0,0.00,2,2,100.0,0,0,0,0,,0,0,0,0,,Matches,0,0,0,0.1,0.04,+0.1,+0.50,0,3,0.0,10,2,30.0,31.8,1,0.0,30.0,4,0,0.0,0,0.00,17.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,16,0.5,,,1,16,21,0.00,0,0,0,0.00,-0.42,0.1,0.5,-0.4,-2.03,-2.28,0,0,0,0,0,0,0,0,0,2,0,0,,Big-5-European-Leagues,Big5,2020-2021
3,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,33,2970,33.0,32,0.97,111,82,74.8,18,8,7,10,30.3,8,4,1,3,20.0,Matches,1,4,0,37.9,0.31,+5.9,+0.18,127,275,46.2,964,159,22.6,30.2,173,32.9,35.5,218,22,10.1,44,1.33,17.9,1,0,1,0,1,0,0.03,0.00,0.03,0.03,0.03,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,90,86.8,90,,0,,0,1.88,58,32,+26,+0.79,+0.79,63.9,37.9,+26.0,+0.79,+0.53,0,1,5,0,0,0,0,0,1,170,0,1,0.0,Big-5-European-Leagues,Big5,2020-2021
4,Saturnin AllagbÃ©,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,12,1080,12.0,30,2.50,64,35,54.7,2,2,8,3,25.0,3,1,1,1,50.0,Matches,1,3,1,21.5,0.31,-7.5,-0.63,80,211,37.9,301,70,48.2,38.4,104,63.5,46.3,105,4,3.8,13,1.08,14.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,31.6,90,,0,,20,0.67,6,30,-24,-2.00,-1.08,10.7,24.8,-14.2,-1.18,-0.04,0,2,1,0,0,0,0,0,1,75,0,0,,Big-5-European-Leagues,Big5,2020-2021
5,NÃ­colas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,2,180,2.0,5,2.50,7,2,28.6,1,0,1,0,0.0,0,0,0,0,,Matches,0,0,0,4.0,0.58,-1.0,-0.48,6,13,46.2,31,5,25.8,32.1,9,55.6,47.4,16,0,0.0,0,0.00,15.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,5.3,90,2,0,,3,1.50,5,5,0,0.00,+0.44,3.1,2.1,+1.0,+0.49,+0.77,0,0,0,0,0,0,0,0,0,5,0,0,,Big-5-European-Leagues,Big5,2020-2021
6,Ãngel,es ESP,GK,Granada,es La Liga,18,2002,1,1,90,1.0,2,2.00,7,6,85.7,0,0,1,0,0.0,2,1,1,0,50.0,Matches,0,1,0,2.7,0.22,+0.7,+0.69,10,24,41.7,13,0,76.9,50.1,17,82.4,55.0,10,0,0.0,1,1.00,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,1,0,,0,0.00,0,2,-2,-2.00,-1.57,0.8,2.6,-1.8,-1.77,-1.44,0,0,0,0,0,0,0,0,0,2,0,0,,Big-5-European-Leagues,Big5,2020-2021
7,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,36,3240,36.0,48,1.33,156,114,73.1,5,13,18,9,25.0,6,6,0,0,0.0,Matches,0,4,1,54.6,0.32,+7.6,+0.21,171,431,39.7,752,158,38.2,34.0,249,57.8,43.1,325,32,9.8,20,0.56,13.9,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,94.7,90,,0,,2,0.78,27,48,-21,-0.58,+1.92,40.2,50.0,-9.8,-0.27,+0.66,0,0,5,0,0,0,1,0,0,150,0,0,,Big-5-European-Leagues,Big5,2020-2021
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,7,6,585,6.5,8,1.23,22,15,68.2,2,2,2,2,33.3,1,1,0,0,0.0,Matches,0,0,0,7.4,0.31,-0.6,-0.09,38,78,48.7,198,39,29.8,30.8,45,42.2,35.0,40,5,12.5,6,0.92,18.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,84,17.1,90,,1,45,28,1.14,9,8,+1,+0.15,-0.51,10.8,9.2,+1.7,+0.26,-0.68,0,1,0,0,0,0,0,0,0,34,0,0,,Big-5-European-Leagues,Big5,2020-2021
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,36,3240,36.0,41,1.14,114,83,70.2,15,13,8,10,27.8,9,7,1,1,12.5,Matches,0,4,2,34.8,0.25,-3.2,-0.09,210,462,45.5,1022,189,31.3,33.7,285,49.8,43.1,427,42,9.8,21,0.58,13.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,94.7,90,36,0,,2,1.61,58,40,+18,+0.50,+1.50,55.5,41.0,+14.5,+0.40,+0.41,0,1,2,0,0,0,0,0,1,146,0,0,,Big-5-European-Leagues,Big5,2020-2021
10,Emil Audero,it ITA,GK,Sampdoria,it Serie A,23,1997,37,37,3330,37.0,54,1.46,165,117,71.5,14,7,16,6,16.2,9,7,2,0,22.2,Matches,1,6,1,51.3,0.27,-1.7,-0.05,254,612,41.5,995,175,44.6,38.5,261,64.4,47.3,381,30,7.9,15,0.41,12.7,0,1,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.4,0.4,0.00,0.01,0.01,0.00,0.01,90,97.4,90,37,0,,1,1.32,49,54,-5,-0.14,-3.14,44.9,56.1,-11.2,-0.30,-0.84,0,0,6,0,0,0,0,0,0,182,0,0,,Big-5-European-Leagues,Big5,2020-2021
11,Ãdgar BadÃ­a,es ESP,GK,Elche,es La Liga,28,1992,30,30,2700,30.0,46,1.53,135,93,69.6,5,11,14,5,16.7,9,5,3,1,37.5,Matches,0,5,0,45.6,0.30,-0.4,-0.01,262,518,50.6,864,143,39.5,35.9,283,62.5,43.3,302,23,7.6,20,0.67,13.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,78.9,90,30,0,,8,0.87,27,46,-19,-0.63,-0.38,22.7,49.4,-26.7,-0.89,-0.74,0,0,4,0,0,0,0,0,0,147,0,0,,Big-5-European-Leagues,Big5,2020-2021
12,Stefan Bajic,fr FRA,GK,Saint-Ãtienne,fr Ligue 1,18,2001,1,1,90,1.0,4,4.00,4,0,0.0,0,0,1,0,0.0,1,0,0,1,,Matches,0,0,0,1.8,0.44,-2.2,-2.23,3,17,17.6,29,9,37.9,34.8,7,85.7,50.9,12,2,16.7,0,0.00,13.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.6,90,,0,,29,0.00,0,4,-4,-4.00,-3.78,0.5,2.4,-1.9,-1.86,-1.91,0,0,0,0,0,0,0,0,0,6,0,0,,Big-5-European-Leagues,Big5,2020-2021
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,30,1990,31,31,2790,31.0,51,1.65,126,81,64.3,10,8,13,6,19.4,9,6,2,1,25.0,Matches,0,4,2,48.1,0.33,-0.9,-0.03,190,459,41.4,1148,174,32.9,32.8,204,39.7,35.1,272,11,4.0,36,1.16,15.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,91.2,90,31,0,,0,1.23,48,51,-3,-0.10,-0.43,46.6,49.8,-3.2,-0.10,-0.64,0,0,8,0,0,0,0,0,0,215,0,1,0.0,Big-5-European-Leagues,Big5,2020-2021
14,Walter BenÃ­tez,ar ARG,GK,Nice,fr Ligue 1,27,1993,38,38,3420,38.0,53,1.39,167,119,72.5,15,7,16,9,23.7,7,7,0,0,0.0,Matches,0,12,0,48.5,0.26,-4.5,-0.12,129,347,37.2,924,170,25.8,29.6,302,36.1,34.7,356,25,7.0,17,0.45,13.3,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,,0,,0,1.37,50,53,-3,-0.08,,46.9,52.1,-5.1,-0.14,,0,0,3,0,0,0,0,0,0,150,0,0,,Big-5-European-Leagues,Big5,2020-2021
15,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,29,1991,1,0,28,0.3,0,0.00,1,1,100.0,0,0,0,0,,0,0,0,0,,Matches,0,0,0,0.0,0.05,0.0,+0.15,3,10,30.0,7,0,85.7,46.1,4,100.0,68.5,5,1,20.0,0,0.00,,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,28,0.8,,0,1,28,36,1.00,1,0,+1,+3.21,+3.29,0.2,0.6,-0.3,-1.04,-0.87,0,0,0,0,0,0,0,0,0,0,0,0,,Big-5-European-Leagues,Big5,2020-2021
16,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23,1997,38,38,3420,38.0,58,1.53,134,82,61.9,12,8,18,9,23.7,8,7,1,0,12.5,Matches,0,6,1,49.9,0.33,-7.1,-0.19,177,512,34.6,720,210,43.9,38.9,269,72.9,52.8,318,24,7.5,11,0.29,13.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,100.0,90,,0,,0,1.16,40,58,-18,-0.47,,41.8,50.9,-9.1,-0.24,,0,2,11,0,0,0,1,0,2,167,0,0,,Big-5-European-Leagues,Big5,2020-2021
17,Dimitry Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22,1998,9,7,745,8.3,11,1.33,40,29,75.0,4,2,1,3,42.9,1,1,0,0,0.0,Matches,0,1,0,12.0,0.29,+1.0,+0.12,109,198,55.1,231,44,56.7,43.2,82,81.7,57.8,96,13,13.5,2,0.24,11.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,83,21.8,90,,2,58,25,1.56,10,11,-1,-0.12,-0.09,7.3,13.6,-6.3,-0.76,-0.37,0,0,4,0,0,0,0,0,0,50,0,0,,Big-5-European-Leagues,Big5,2020-2021
18,RubÃ©n Blanco,es ESP,GK,Celta Vigo,es La Liga,25,1995,19,19,1637,18.2,27,1.48,60,34,56.7,7,6,6,4,21.1,1,1,0,0,0.0,Matches,1,2,0,22.8,0.37,-4.2,-0.23,111,298,37.2,520,81,40.2,36.2,144,61.8,46.3,149,9,6.0,12,0.66,14.9,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,86,47.9,86,17,0,,1,1.42,28,27,+1,+0.05,+0.21,24.4,21.3,+3.1,+0.17,+0.41,0,1,2,0,0,0,0,0,0,88,0,0,,Big-5-European-Leagues,Big5,2020-2021
19,Elias BÃ¶rdner,de GER,GK,Eint Frankfurt,de Bundesliga,18,2002,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Matches,0,0,0,0.8,0.13,-0.2,-0.24,4,18,22.2,32,9,50.0,38.0,11,18.2,23.7,10,0,0.0,0,0.00,7.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.9,90,1,0,,7,3.00,3,1,+2,+2.00,+1.58,1.9,0.9,+0.9,+0.93,+0.72,0,0,0,0,0,0,0,0,0,9,0,0,,Big-5-European-Leagues,Big5,2020-2021
20,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,29,1991,33,33,2970,33.0,28,0.85,100,78,76.0,21,5,7,15,45.5,6,4,2,0,33.3,Matches,0,4,2,25.8,0.22,-0.2,-0.01,199,419,47.5,897,141,34.0,35.0,199,57.3,44.2,284,32,11.3,23,0.70,15.6,1,0,1,0,3,0,0.03,0.00,0.03,0.03,0.03,0.3,0.3,0.0,0.4,0.01,0.00,0.01,0.01,0.01,90,86.8,90,33,0,,2,2.06,46,28,+18,+0.55,+0.15,44.9,30.9,+14.0,+0.42,+0.04,0,0,4,0,0,0,0,0,0,140,0,0,,Big-5-European-Leagues,Big5,2020-2021
21,Claudio Bravo,cl CHI,GK,Betis,es La Liga,37,1983,20,20,1800,20.0,25,1.25,69,48,69.6,8,8,4,7,35.0,5,4,1,0,20.0,Matches,0,2,1,27.1,0.34,+3.1,+0.16,139,358,38.8,519,81,52.4,43.0,130,66.2,51.3,186,10,5.4,8,0.40,12.8,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,90,52.6,90,20,0,,5,1.60,25,25,0,0.00,0.00,25.3,24.3,+0.9,+0.05,+0.07,0,0,0,0,0,0,0,0,0,89,0,0,,Big-5-European-Leagues,Big5,2020-2021
22,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,,Matches,0,0,0,2.4,0.27,+1.4,+1.41,2,11,18.2,27,5,37.0,33.1,9,11.1,27.6,17,1,5.9,0,0.00,10.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,90,2.9,90,1,0,,33,3.00,2,1,+1,+1.00,+1.00,1.3,2.1,-0.8,-0.76,-0.78,0,0,0,0,0,0,0,0,0,4,0,0,,Big-5-European-Leagues,Big5,2020-2021
