Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%,League Name,League ID,Season
1,Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,fr Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,2,100.0,57,15,0,0,,1,1,100.0,1,1,100.0,0.0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,1,1,0,0,0,0,2,0,4,2,0,,0,0,2,0,0,0,3,1,33.3,0,6,0.3,,,2,6,18,2.00,0,0,0,0.00,+0.24,0.0,0.3,-0.3,-2.34,-2.51,0,1,0,0,0,1,0,0,,Big-5-European-Leagues,Big5,2020-2021
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,22,20,1777,19.7,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.10,0.06,0.10,Matches,18,6,33.3,0.91,0.30,0.00,0.00,20.3,3,0.07,-1.2,-1.2,889,1127,78.9,14909,6947,454,512,88.7,339,417,81.3,79,152,52.0,+0.2,11,68,26,4,112,932,195,2,112,20,34,2,0,2,0,717,219,191,743,194,25,157,3,12,22,29,34,26,1.32,22,3,1,0,0,3,0.15,2,1,0,0,0,0,33,19,21,11,1,15,35.7,27,69,33.5,130,56,20,1,24,67,40,1,1323,72,38,42.9,9,0,733,9,13,16,835,775,92.8,46,81,52.0,88,,2,11,11,1.05,19,36,-17,-0.86,-0.42,15.9,29.8,-13.8,-0.70,-0.09,0,11,0,0,0,179,10,11,47.6,Big-5-European-Leagues,Big5,2020-2021
3,Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0.0,0,1,0,0,1,12,3,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,1,2,0,0,0,0,0,18,0,1,50.0,2,0,11,0,0,1,12,11,91.7,2,9,0.6,,0,2,9,5,0.00,0,0,0,0.00,+0.50,1.0,0.0,+1.0,+4.88,+5.02,0,1,0,0,0,4,0,0,,Big-5-European-Leagues,Big5,2020-2021
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,33,33,2889,32.1,3,0,3,0,0,4,1,0.09,0.00,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06,Matches,15,5,33.3,0.47,0.16,0.20,0.60,10.2,0,0.11,+1.3,+1.3,1506,1715,87.8,33695,11616,336,377,89.1,893,951,93.9,267,366,73.0,-0.3,4,81,1,0,91,1656,59,0,168,39,0,0,0,0,0,1365,123,227,1135,475,57,0,3,4,26,24,13,11,0.34,10,0,0,0,0,0,0.00,0,0,0,0,0,0,71,45,51,20,0,15,40.5,22,146,38.5,252,110,17,2,31,127,170,0,2085,279,21,60.0,13,1,1339,1,8,15,1407,1365,97.0,7,88,84.5,88,,0,,0,1.18,37,39,-2,-0.06,+0.95,29.9,48.9,-19.0,-0.59,+0.89,0,38,0,0,0,289,93,49,65.5,Big-5-European-Leagues,Big5,2020-2021
5,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,7,12,58.3,133,9,2,2,100.0,4,5,80.0,1,3,33.3,0.0,0,0,1,0,1,12,0,0,7,1,1,0,0,0,0,8,0,4,1,10,1,0,0,0,1,1,1,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1,4,25.0,5,8,3,0,0,2,1,0,17,0,0,33.3,1,0,11,0,0,0,10,8,80.0,1,20,1.8,,0,3,20,16,0.67,1,2,-1,-1.50,-1.13,0.9,1.5,-0.7,-1.03,-0.85,0,2,0,0,0,5,1,1,50.0,Big-5-European-Leagues,Big5,2020-2021
6,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,18,15,1320,14.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.8,1.7,0.07,0.05,0.12,0.07,0.12,Matches,20,0,0.0,1.36,0.00,0.00,,22.9,1,0.05,-1.0,-1.0,616,725,85.0,12193,2951,247,263,93.9,250,284,88.0,103,154,66.9,-0.8,12,60,7,4,42,676,49,1,83,33,21,14,7,4,3,544,70,111,100,589,19,3,4,5,15,10,7,28,1.91,18,4,2,2,2,1,0.07,1,0,0,0,0,0,37,24,16,18,3,11,44.0,14,85,34.7,75,133,37,0,16,60,14,1,871,26,13,71.9,23,0,595,1,6,18,628,565,90.0,14,73,38.6,83,,3,23,1,0.94,14,23,-9,-0.61,-0.66,16.9,23.5,-6.6,-0.45,-0.44,0,30,0,0,0,146,12,19,38.7,Big-5-European-Leagues,Big5,2020-2021
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,38,32,2963,32.9,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08,Matches,30,10,33.3,0.91,0.30,0.10,0.30,25.9,0,0.04,+1.7,+1.7,1330,1592,83.5,25834,6519,530,603,87.9,575,639,90.0,200,289,69.2,-0.4,21,113,17,4,111,1546,46,2,319,53,18,1,1,0,0,1174,198,220,137,1391,45,7,5,5,28,50,28,56,1.70,40,1,1,4,5,10,0.30,6,1,0,1,1,1,160,108,65,79,16,53,29.6,126,269,28.1,323,539,96,1,45,206,13,0,1973,40,17,71.0,22,0,1362,3,41,46,1427,1321,92.6,47,78,86.6,85,,6,40,0,1.11,42,53,-11,-0.33,+1.04,42.2,43.7,-1.5,-0.05,+0.51,0,43,1,0,0,298,8,19,29.6,Big-5-European-Leagues,Big5,2020-2021
8,Charles Abi,fr FRA,"FW,MF",Saint-Ãtienne,fr Ligue 1,20,2000,24,9,912,10.1,3,2,3,0,0,1,0,0.30,0.20,0.49,0.30,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24,Matches,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0.11,+0.9,+0.9,144,214,67.3,1899,334,84,109,77.1,37,52,71.2,6,20,30.0,+1.7,8,9,5,0,11,199,15,1,77,2,4,0,0,0,0,140,33,41,142,26,16,0,3,0,7,1,14,14,1.38,11,1,1,1,0,2,0.20,2,0,0,0,0,0,7,4,6,1,0,5,35.7,9,57,25.4,24,106,94,0,6,14,6,0,345,9,44,44.4,14,0,209,4,35,25,492,253,51.4,66,38,26.7,64,,15,22,2,1.33,16,23,-7,-0.69,-0.51,15.3,16.1,-0.7,-0.07,-0.09,0,18,0,0,0,40,36,62,36.7,Big-5-European-Leagues,Big5,2020-2021
9,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0,0,,0.00,0.00,,,,0,,0.0,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,100.0,1,0,2,0,0,0,1,1,100.0,0,2,0.1,,,1,2,3,3.00,1,0,+1,+45.00,+44.71,0.2,0.0,+0.2,+9.80,+9.55,0,0,0,0,0,0,0,0,,Big-5-European-Leagues,Big5,2020-2021
10,Pape Abou Cisse,sn SEN,DF,Saint-Ãtienne,fr Ligue 1,24,1995,14,14,1260,14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.08,0.00,0.09,0.08,0.09,Matches,13,3,23.1,0.93,0.21,0.00,0.00,11.3,0,0.09,-1.2,-1.2,505,624,80.9,12189,4391,125,134,93.3,242,274,88.3,132,205,64.4,-0.1,3,30,2,0,31,598,26,0,67,43,1,0,0,0,0,424,51,149,191,387,30,2,0,0,15,5,3,7,0.50,4,0,0,1,0,0,0.00,0,0,0,0,0,0,22,11,16,6,0,9,52.9,8,45,42.1,73,29,5,0,11,54,142,2,856,141,16,83.3,5,0,456,0,2,1,472,461,97.7,0,90,36.8,90,,0,,1,1.64,21,18,+3,+0.21,+0.84,20.2,18.7,+1.5,+0.11,+0.18,0,10,0,0,0,127,57,15,79.2,Big-5-European-Leagues,Big5,2020-2021
