squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,league_name,league_country
vs Alavés,24.0,60.8,11.0,121.0,990.0,13.0,7.0,1.0,1.0,21.0,1.0,1.18,0.64,1.82,1.09,1.73,16.9,16.2,11.2,1.54,1.02,2.56,1.47,2.49,11.0,11.0,990.0,11.0,1.0,29.0,19.0,0.69,4.0,4.0,3.0,3.0,27.3,3.0,2.0,0.0,1.0,11.0,1.0,1.0,0.0,12.5,0.37,1.5,0.14,73.0,188.0,38.8,289.0,48.0,46.0,41.3,66.0,83.3,57.3,90.0,9.0,10.0,12.0,1.09,15.6,139.0,47.0,9.0,33.8,12.64,4.27,0.09,0.26,0.13,-3.9,-4.2,4745.0,5962.0,79.6,92996.0,30251.0,1918.0,2194.0,87.4,1957.0,2286.0,85.6,757.0,1227.0,61.7,-4.2,95.0,362.0,115.0,30.0,407.0,5353.0,609.0,179.0,16.0,860.0,191.0,151.0,71.0,19.0,15.0,4.0,4011.0,842.0,1109.0,1661.0,3584.0,229.0,270.0,84.0,36.0,120.0,88.0,156.0,216.0,19.64,157.0,23.0,8.0,10.0,15.0,18.0,1.64,11.0,2.0,0.0,3.0,2.0,0.0,177.0,114.0,87.0,66.0,24.0,63.0,141.0,44.7,78.0,1323.0,470.0,35.5,390.0,633.0,300.0,147.0,29.0,1.0,118.0,43.0,181.0,5.0,7068.0,632.0,2051.0,3448.0,2006.0,274.0,6483.0,103.0,172.0,59.9,108.0,10.0,4508.0,25661.0,14689.0,5455.0,4745.0,87.0,122.0,128.0,0.0,128.0,151.0,38.0,1.0,2.0,0.0,1058.0,167.0,244.0,40.6,La Liga,Spain
vs Athletic Club,24.0,44.7,11.0,121.0,990.0,11.0,6.0,2.0,2.0,27.0,3.0,1.0,0.55,1.55,0.82,1.36,8.3,6.7,4.4,0.75,0.4,1.15,0.61,1.02,11.0,11.0,990.0,12.0,1.09,39.0,29.0,0.718,6.0,1.0,4.0,5.0,45.5,1.0,1.0,0.0,0.0,11.0,0.0,2.0,1.0,13.4,0.34,2.4,0.22,99.0,251.0,39.4,256.0,31.0,68.0,49.4,100.0,77.0,56.7,137.0,14.0,10.2,11.0,1.0,15.3,70.0,23.0,2.0,32.9,6.36,2.09,0.13,0.39,0.1,2.7,2.3,3065.0,4253.0,72.1,61694.0,24296.0,1333.0,1585.0,84.1,1154.0,1470.0,78.5,507.0,1017.0,49.9,1.6,51.0,227.0,62.0,21.0,245.0,3725.0,528.0,170.0,7.0,723.0,142.0,116.0,27.0,7.0,12.0,1.0,2299.0,620.0,1334.0,1197.0,2292.0,292.0,207.0,58.0,25.0,125.0,63.0,125.0,114.0,10.36,83.0,11.0,5.0,4.0,8.0,18.0,1.64,8.0,3.0,1.0,1.0,3.0,0.0,172.0,95.0,80.0,77.0,15.0,52.0,141.0,36.9,89.0,1292.0,376.0,29.1,456.0,613.0,223.0,185.0,37.0,1.0,148.0,91.0,319.0,1.0,5487.0,729.0,1964.0,2547.0,1258.0,157.0,4977.0,77.0,120.0,64.2,85.0,9.0,2957.0,17116.0,9171.0,3807.0,3064.0,80.5,141.0,115.0,3.0,169.0,144.0,30.0,2.0,1.0,1.0,986.0,228.0,268.0,46.0,La Liga,Spain
vs Atlético Madrid,22.0,44.9,10.0,110.0,900.0,2.0,1.0,0.0,0.0,13.0,1.0,0.2,0.1,0.3,0.2,0.3,7.4,7.4,6.0,0.74,0.6,1.33,0.74,1.33,10.0,10.0,900.0,21.0,2.1,45.0,26.0,0.556,0.0,2.0,8.0,2.0,20.0,3.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,15.7,0.31,-4.3,-0.43,81.0,179.0,45.3,274.0,40.0,50.0,41.2,82.0,51.2,44.4,68.0,7.0,10.3,6.0,0.6,13.5,103.0,34.0,4.0,33.0,10.3,3.4,0.02,0.06,0.07,-5.4,-5.4,3844.0,4873.0,78.9,78089.0,24652.0,1506.0,1721.0,87.5,1638.0,1908.0,85.8,640.0,1068.0,59.9,-5.0,73.0,289.0,65.0,17.0,275.0,4411.0,462.0,148.0,5.0,592.0,181.0,132.0,44.0,12.0,23.0,1.0,3198.0,705.0,970.0,1454.0,2885.0,202.0,159.0,67.0,7.0,96.0,85.0,130.0,145.0,14.5,105.0,16.0,7.0,3.0,11.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,156.0,92.0,93.0,45.0,18.0,48.0,142.0,33.8,94.0,1563.0,437.0,28.0,564.0,688.0,311.0,150.0,33.0,1.0,117.0,96.0,187.0,4.0,5903.0,673.0,1941.0,2904.0,1447.0,171.0,5461.0,91.0,159.0,57.2,95.0,9.0,3773.0,22021.0,11957.0,4535.0,3840.0,84.7,97.0,101.0,0.0,114.0,123.0,7.0,0.0,3.0,1.0,887.0,142.0,155.0,47.8,La Liga,Spain
vs Barcelona,23.0,36.0,10.0,110.0,900.0,11.0,4.0,2.0,2.0,23.0,2.0,1.1,0.4,1.5,0.9,1.3,10.8,9.3,6.7,1.2,0.75,1.95,1.03,1.78,10.0,10.0,900.0,20.0,2.0,60.0,44.0,0.7,4.0,2.0,4.0,2.0,20.0,3.0,2.0,1.0,0.0,10.0,0.0,3.0,2.0,18.1,0.32,1.1,0.12,58.0,136.0,42.6,199.0,30.0,46.2,38.6,72.0,61.1,46.7,45.0,3.0,6.7,7.0,0.78,14.0,91.0,35.0,4.0,38.5,9.1,3.5,0.1,0.26,0.1,-1.8,-2.3,3243.0,4030.0,80.5,62795.0,21423.0,1350.0,1537.0,87.8,1383.0,1582.0,87.4,445.0,750.0,59.3,-2.7,62.0,221.0,62.0,18.0,233.0,3681.0,349.0,85.0,8.0,457.0,108.0,118.0,44.0,10.0,20.0,0.0,2828.0,475.0,727.0,1209.0,2458.0,115.0,120.0,53.0,12.0,63.0,53.0,111.0,144.0,16.0,104.0,14.0,7.0,4.0,9.0,15.0,1.67,9.0,0.0,3.0,0.0,2.0,0.0,156.0,115.0,93.0,41.0,22.0,53.0,183.0,29.0,130.0,1514.0,388.0,25.6,588.0,612.0,314.0,159.0,31.0,1.0,128.0,105.0,152.0,6.0,4927.0,668.0,1807.0,2281.0,1147.0,193.0,4585.0,70.0,112.0,62.5,75.0,8.0,3182.0,18994.0,10643.0,3824.0,3239.0,84.7,95.0,85.0,1.0,144.0,80.0,15.0,2.0,2.0,3.0,663.0,79.0,79.0,50.0,La Liga,Spain
vs Betis,25.0,43.5,11.0,121.0,990.0,21.0,15.0,4.0,6.0,18.0,0.0,1.91,1.36,3.27,1.55,2.91,19.1,14.6,11.8,1.74,1.08,2.81,1.33,2.41,11.0,11.0,990.0,12.0,1.09,47.0,36.0,0.766,7.0,0.0,4.0,5.0,45.5,2.0,1.0,1.0,0.0,11.0,0.0,2.0,0.0,13.8,0.25,1.8,0.16,61.0,166.0,36.7,307.0,41.0,41.0,39.8,79.0,50.6,43.4,77.0,8.0,10.4,4.0,0.36,14.0,100.0,44.0,3.0,44.0,9.09,4.0,0.17,0.39,0.16,1.9,2.4,3745.0,4868.0,76.9,74173.0,26762.0,1521.0,1748.0,87.0,1540.0,1866.0,82.5,605.0,1054.0,57.4,3.2,77.0,272.0,70.0,18.0,302.0,4347.0,521.0,147.0,9.0,759.0,144.0,106.0,45.0,13.0,19.0,1.0,3081.0,647.0,1140.0,1443.0,2736.0,230.0,228.0,65.0,53.0,98.0,63.0,128.0,168.0,15.27,122.0,12.0,11.0,6.0,14.0,38.0,3.45,28.0,1.0,2.0,4.0,3.0,0.0,196.0,104.0,96.0,79.0,21.0,61.0,174.0,35.1,113.0,1724.0,511.0,29.6,504.0,844.0,376.0,180.0,41.0,0.0,139.0,63.0,210.0,0.0,6005.0,715.0,2096.0,2908.0,1323.0,225.0,5491.0,105.0,163.0,64.4,111.0,8.0,3520.0,19692.0,10472.0,4460.0,3745.0,84.0,111.0,127.0,0.0,155.0,139.0,56.0,4.0,2.0,0.0,949.0,184.0,171.0,51.8,La Liga,Spain
vs Cádiz,28.0,67.7,12.0,132.0,1080.0,12.0,11.0,0.0,0.0,27.0,1.0,1.0,0.92,1.92,1.0,1.92,10.8,10.8,9.5,0.98,0.86,1.84,0.98,1.84,12.0,12.0,1080.0,12.0,1.0,34.0,24.0,0.647,4.0,3.0,5.0,4.0,33.3,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,9.5,0.32,1.5,0.13,65.0,120.0,54.2,240.0,46.0,34.6,34.3,69.0,53.6,42.5,98.0,6.0,6.1,3.0,0.27,13.5,137.0,47.0,3.0,34.3,11.42,3.92,0.09,0.26,0.08,1.2,1.2,5691.0,6827.0,83.4,111630.0,34897.0,2240.0,2492.0,89.9,2559.0,2899.0,88.3,805.0,1224.0,65.8,1.5,86.0,440.0,102.0,26.0,455.0,6309.0,518.0,152.0,16.0,884.0,210.0,177.0,45.0,17.0,12.0,5.0,4744.0,895.0,1188.0,1976.0,4048.0,297.0,232.0,92.0,32.0,117.0,64.0,138.0,181.0,16.45,137.0,19.0,9.0,7.0,6.0,22.0,2.0,17.0,2.0,1.0,0.0,0.0,0.0,145.0,95.0,74.0,56.0,15.0,41.0,135.0,30.4,94.0,1227.0,421.0,34.3,391.0,549.0,287.0,122.0,15.0,1.0,107.0,52.0,259.0,3.0,7958.0,639.0,2299.0,4332.0,1871.0,231.0,7458.0,98.0,170.0,57.6,102.0,5.0,5373.0,30756.0,17824.0,6486.0,5691.0,87.7,133.0,135.0,1.0,157.0,144.0,39.0,0.0,0.0,1.0,1086.0,240.0,175.0,57.8,La Liga,Spain
vs Celta Vigo,21.0,50.0,12.0,132.0,1080.0,19.0,12.0,3.0,3.0,37.0,2.0,1.58,1.0,2.58,1.33,2.33,14.6,12.4,8.6,1.22,0.72,1.94,1.03,1.75,12.0,12.0,1080.0,13.0,1.08,51.0,39.0,0.765,5.0,4.0,3.0,4.0,33.3,1.0,1.0,0.0,0.0,12.0,1.0,0.0,0.0,15.4,0.29,2.4,0.2,103.0,221.0,46.6,287.0,52.0,55.7,44.3,86.0,70.9,54.7,81.0,13.0,16.0,7.0,0.58,14.5,115.0,41.0,10.0,35.7,9.58,3.42,0.14,0.39,0.12,4.4,3.6,4408.0,5735.0,76.9,88313.0,31544.0,1814.0,2111.0,85.9,1785.0,2152.0,82.9,711.0,1231.0,57.8,3.4,75.0,324.0,83.0,31.0,363.0,5086.0,649.0,200.0,7.0,911.0,204.0,149.0,46.0,16.0,13.0,1.0,3472.0,858.0,1405.0,1590.0,3298.0,288.0,291.0,94.0,14.0,116.0,95.0,175.0,181.0,15.08,125.0,16.0,13.0,10.0,15.0,32.0,2.67,19.0,1.0,2.0,6.0,2.0,0.0,161.0,106.0,71.0,68.0,22.0,63.0,200.0,31.5,137.0,1501.0,479.0,31.9,387.0,768.0,346.0,200.0,32.0,1.0,168.0,89.0,193.0,2.0,7009.0,679.0,2008.0,3556.0,1840.0,219.0,6380.0,126.0,188.0,67.0,130.0,6.0,4242.0,23500.0,11882.0,5264.0,4408.0,83.7,154.0,146.0,2.0,184.0,186.0,17.0,2.0,1.0,0.0,1145.0,195.0,193.0,50.3,La Liga,Spain
vs Eibar,25.0,51.5,11.0,121.0,990.0,9.0,8.0,0.0,1.0,21.0,1.0,0.82,0.73,1.55,0.82,1.55,11.7,11.0,8.8,1.06,0.8,1.87,1.0,1.8,11.0,11.0,990.0,8.0,0.73,36.0,29.0,0.833,4.0,4.0,3.0,5.0,45.5,4.0,2.0,1.0,1.0,11.0,0.0,3.0,0.0,11.0,0.25,3.0,0.27,116.0,294.0,39.5,353.0,40.0,63.2,46.8,93.0,76.3,55.4,144.0,15.0,10.4,13.0,1.18,14.6,105.0,39.0,4.0,37.1,9.55,3.55,0.09,0.23,0.11,-2.7,-2.0,3401.0,4865.0,69.9,72357.0,28412.0,1286.0,1581.0,81.3,1378.0,1774.0,77.7,657.0,1296.0,50.7,-0.8,77.0,246.0,81.0,27.0,294.0,4187.0,678.0,184.0,7.0,925.0,162.0,152.0,52.0,20.0,11.0,8.0,2381.0,829.0,1655.0,1326.0,2548.0,333.0,329.0,69.0,34.0,121.0,66.0,137.0,169.0,15.36,126.0,12.0,9.0,9.0,10.0,18.0,1.64,16.0,0.0,1.0,1.0,0.0,0.0,167.0,109.0,75.0,76.0,16.0,56.0,173.0,32.4,117.0,1307.0,429.0,32.8,440.0,616.0,251.0,164.0,17.0,1.0,147.0,42.0,376.0,1.0,6166.0,822.0,2531.0,2593.0,1319.0,211.0,5507.0,95.0,172.0,55.2,107.0,5.0,3068.0,17618.0,9415.0,4127.0,3397.0,82.3,139.0,118.0,1.0,142.0,161.0,40.0,1.0,4.0,0.0,1202.0,309.0,303.0,50.5,La Liga,Spain
vs Elche,24.0,52.6,9.0,99.0,810.0,10.0,9.0,1.0,3.0,18.0,0.0,1.11,1.0,2.11,1.0,2.0,15.5,13.3,11.2,1.72,1.24,2.96,1.48,2.72,9.0,9.0,810.0,9.0,1.0,19.0,11.0,0.579,2.0,4.0,3.0,2.0,22.2,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,7.8,0.36,-1.2,-0.14,29.0,81.0,35.8,196.0,27.0,32.7,35.3,34.0,50.0,41.5,51.0,2.0,3.9,9.0,1.0,18.5,132.0,41.0,6.0,31.1,14.67,4.56,0.07,0.22,0.1,-5.5,-4.3,3902.0,4750.0,82.1,77855.0,22820.0,1493.0,1667.0,89.6,1725.0,1965.0,87.8,610.0,929.0,65.7,-2.2,97.0,299.0,97.0,20.0,369.0,4341.0,409.0,122.0,13.0,523.0,160.0,149.0,46.0,12.0,16.0,3.0,3362.0,574.0,814.0,1411.0,2862.0,161.0,189.0,46.0,13.0,75.0,60.0,117.0,212.0,23.56,158.0,17.0,11.0,9.0,13.0,18.0,2.0,13.0,2.0,1.0,1.0,1.0,0.0,168.0,111.0,44.0,97.0,27.0,56.0,148.0,37.8,92.0,1349.0,463.0,34.3,223.0,671.0,455.0,120.0,13.0,0.0,107.0,64.0,125.0,2.0,5667.0,372.0,1339.0,3060.0,1637.0,232.0,5280.0,91.0,144.0,63.2,101.0,5.0,3900.0,22677.0,12989.0,4384.0,3901.0,89.0,99.0,112.0,0.0,122.0,113.0,15.0,3.0,1.0,0.0,819.0,114.0,107.0,51.6,La Liga,Spain
vs Getafe,21.0,53.3,11.0,121.0,990.0,13.0,8.0,3.0,3.0,37.0,3.0,1.18,0.73,1.91,0.91,1.64,14.3,12.0,8.3,1.3,0.75,2.05,1.09,1.84,11.0,11.0,990.0,9.0,0.82,30.0,21.0,0.733,4.0,4.0,3.0,5.0,45.5,1.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,8.4,0.25,-0.6,-0.05,104.0,217.0,47.9,277.0,42.0,58.1,46.5,82.0,68.3,52.0,142.0,7.0,4.9,12.0,1.09,17.2,97.0,35.0,5.0,36.1,8.82,3.18,0.1,0.29,0.13,-1.3,-2.0,3472.0,4784.0,72.6,71988.0,28857.0,1389.0,1700.0,81.7,1388.0,1741.0,79.7,629.0,1142.0,55.1,-0.3,62.0,226.0,52.0,12.0,257.0,4200.0,584.0,212.0,10.0,1004.0,153.0,80.0,27.0,10.0,8.0,2.0,2518.0,870.0,1396.0,1404.0,2421.0,398.0,242.0,71.0,30.0,132.0,65.0,141.0,141.0,12.82,97.0,17.0,9.0,6.0,12.0,21.0,1.91,16.0,2.0,1.0,0.0,2.0,0.0,175.0,99.0,96.0,67.0,12.0,44.0,118.0,37.3,74.0,1293.0,418.0,32.3,534.0,548.0,211.0,173.0,30.0,1.0,143.0,48.0,412.0,0.0,6149.0,692.0,2317.0,2985.0,1126.0,148.0,5586.0,94.0,163.0,57.7,105.0,8.0,3382.0,17688.0,9058.0,4073.0,3472.0,85.2,132.0,138.0,3.0,179.0,184.0,30.0,2.0,1.0,0.0,1183.0,307.0,252.0,54.9,La Liga,Spain
