squad,players_used,possession,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xa,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,games_gk,games_starts_gk,minutes_gk,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,wins_gk,draws_gk,losses_gk,clean_sheets,clean_sheets_pct,pens_att_gk,pens_allowed,pens_saved,pens_missed_gk,minutes_90s_gk,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,shots_total,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,xa_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_og_for,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressures,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocks,blocked_shots,blocked_shots_saves,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,players_dribbled_past,nutmegs,carries,carry_distance,carry_progressive_distance,pass_targets,passes_received,passes_received_pct,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,league_name,league_country
vs Angers,27.0,54.3,17.0,187.0,1530.0,26.0,20.0,2.0,3.0,37.0,1.0,1.53,1.18,2.71,1.41,2.59,22.4,20.1,15.5,1.31,0.91,2.22,1.18,2.09,17.0,17.0,1530.0,23.0,1.35,69.0,47.0,0.696,6.0,3.0,8.0,5.0,29.4,3.0,2.0,1.0,0.0,17.0,0.0,5.0,0.0,20.0,0.25,-3.0,-0.18,71.0,189.0,37.6,383.0,74.0,34.2,34.4,117.0,49.6,41.8,152.0,8.0,5.3,9.0,0.53,12.7,179.0,70.0,8.0,39.1,10.53,4.12,0.13,0.34,0.12,3.6,3.9,8014.0,9725.0,82.4,151336.0,48882.0,3363.0,3780.0,89.0,3468.0,3900.0,88.9,1036.0,1696.0,61.1,4.5,134.0,568.0,118.0,33.0,633.0,8935.0,790.0,213.0,17.0,1282.0,237.0,212.0,82.0,28.0,19.0,26.0,7140.0,1054.0,1531.0,2604.0,6215.0,259.0,338.0,115.0,15.0,164.0,138.0,227.0,286.0,16.82,206.0,28.0,21.0,15.0,12.0,45.0,2.65,35.0,1.0,4.0,1.0,2.0,0.0,391.0,242.0,209.0,151.0,31.0,129.0,357.0,36.1,228.0,2347.0,784.0,33.4,827.0,1027.0,493.0,264.0,68.0,1.0,196.0,154.0,342.0,3.0,11711.0,1056.0,3638.0,6186.0,2668.0,331.0,10949.0,225.0,347.0,64.8,240.0,16.0,7430.0,44679.0,25434.0,9238.0,8014.0,86.8,213.0,214.0,0.0,241.0,196.0,18.0,2.0,2.0,0.0,1526.0,263.0,222.0,54.2,Ligue 1,France
vs Bordeaux,23.0,52.4,17.0,187.0,1530.0,19.0,12.0,3.0,4.0,36.0,0.0,1.12,0.71,1.82,0.94,1.65,24.9,21.9,16.5,1.46,0.97,2.43,1.29,2.26,17.0,17.0,1530.0,18.0,1.06,61.0,44.0,0.721,7.0,4.0,6.0,5.0,29.4,1.0,1.0,0.0,0.0,17.0,1.0,2.0,1.0,14.8,0.23,-2.2,-0.13,86.0,202.0,42.6,452.0,77.0,36.7,36.0,100.0,36.0,36.6,118.0,8.0,6.8,9.0,0.53,14.3,204.0,62.0,12.0,30.4,12.0,3.65,0.08,0.26,0.11,-5.9,-5.9,7706.0,9318.0,82.7,149974.0,46191.0,3115.0,3518.0,88.5,3357.0,3779.0,88.8,1111.0,1740.0,63.9,-4.5,145.0,590.0,119.0,24.0,629.0,8552.0,766.0,208.0,13.0,1007.0,266.0,190.0,101.0,43.0,46.0,3.0,6692.0,1115.0,1511.0,2954.0,5465.0,298.0,322.0,116.0,27.0,144.0,149.0,189.0,337.0,19.82,234.0,32.0,22.0,21.0,21.0,34.0,2.0,17.0,3.0,3.0,6.0,3.0,0.0,342.0,226.0,146.0,148.0,48.0,114.0,319.0,35.7,205.0,2472.0,761.0,30.8,704.0,1221.0,547.0,242.0,46.0,0.0,196.0,108.0,282.0,3.0,11125.0,994.0,3405.0,5699.0,2770.0,371.0,10376.0,154.0,255.0,60.4,160.0,3.0,7426.0,43156.0,24023.0,8779.0,7706.0,87.8,192.0,198.0,0.0,236.0,209.0,30.0,3.0,1.0,1.0,1477.0,227.0,258.0,46.8,Ligue 1,France
vs Brest,23.0,51.3,17.0,187.0,1530.0,30.0,24.0,4.0,4.0,33.0,1.0,1.76,1.41,3.18,1.53,2.94,24.2,21.1,16.3,1.42,0.96,2.38,1.24,2.2,17.0,17.0,1530.0,29.0,1.71,76.0,51.0,0.658,8.0,2.0,7.0,3.0,17.6,5.0,3.0,2.0,0.0,17.0,1.0,4.0,1.0,27.4,0.32,0.4,0.02,128.0,293.0,43.7,425.0,93.0,43.5,39.7,146.0,74.0,54.7,176.0,8.0,4.5,8.0,0.47,14.0,238.0,80.0,7.0,33.6,14.0,4.71,0.11,0.33,0.09,5.8,4.9,7438.0,9059.0,82.1,148738.0,51201.0,2949.0,3320.0,88.8,3193.0,3612.0,88.4,1182.0,1830.0,64.6,7.7,172.0,625.0,146.0,43.0,670.0,8190.0,869.0,245.0,16.0,1229.0,293.0,226.0,100.0,43.0,34.0,13.0,6356.0,1088.0,1615.0,2588.0,5494.0,295.0,333.0,142.0,24.0,148.0,122.0,202.0,378.0,22.24,263.0,33.0,25.0,25.0,25.0,51.0,3.0,32.0,5.0,5.0,3.0,6.0,0.0,269.0,175.0,139.0,94.0,36.0,88.0,271.0,32.5,183.0,2210.0,633.0,28.6,707.0,916.0,587.0,225.0,49.0,0.0,176.0,129.0,352.0,3.0,11000.0,1024.0,3335.0,5543.0,2844.0,464.0,10164.0,172.0,281.0,61.2,186.0,10.0,7189.0,42001.0,23495.0,8517.0,7438.0,87.3,237.0,216.0,0.0,218.0,218.0,29.0,3.0,4.0,2.0,1518.0,265.0,334.0,44.2,Ligue 1,France
vs Dijon,27.0,52.2,17.0,187.0,1530.0,25.0,14.0,5.0,7.0,21.0,1.0,1.47,0.82,2.29,1.18,2.0,35.3,30.0,21.1,2.07,1.24,3.32,1.76,3.0,17.0,17.0,1530.0,12.0,0.71,47.0,34.0,0.745,9.0,6.0,2.0,10.0,58.8,1.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,12.5,0.26,0.5,0.03,86.0,184.0,46.7,361.0,63.0,35.5,34.7,103.0,54.4,46.0,113.0,5.0,4.4,4.0,0.24,14.5,241.0,75.0,16.0,31.1,14.18,4.41,0.08,0.27,0.13,-10.3,-10.0,7204.0,8900.0,80.9,146236.0,48488.0,2670.0,3039.0,87.9,3205.0,3710.0,86.4,1204.0,1853.0,65.0,-7.1,170.0,533.0,149.0,51.0,648.0,8040.0,860.0,265.0,16.0,949.0,295.0,264.0,119.0,38.0,39.0,15.0,6084.0,1128.0,1688.0,2622.0,5322.0,311.0,345.0,97.0,26.0,162.0,143.0,202.0,396.0,23.29,248.0,52.0,28.0,17.0,38.0,43.0,2.53,29.0,1.0,5.0,2.0,6.0,0.0,339.0,208.0,158.0,142.0,39.0,97.0,312.0,31.1,215.0,2047.0,667.0,32.6,578.0,976.0,493.0,258.0,51.0,1.0,207.0,141.0,350.0,6.0,10921.0,920.0,3391.0,5546.0,2671.0,469.0,10087.0,193.0,310.0,62.3,202.0,13.0,7041.0,41236.0,22918.0,8355.0,7204.0,86.2,219.0,202.0,0.0,202.0,255.0,36.0,7.0,1.0,0.0,1573.0,286.0,247.0,53.7,Ligue 1,France
vs Lens,24.0,47.8,16.0,176.0,1440.0,23.0,12.0,3.0,3.0,28.0,4.0,1.44,0.75,2.19,1.25,2.0,17.7,15.4,10.4,1.1,0.65,1.75,0.96,1.61,16.0,16.0,1440.0,26.0,1.62,59.0,39.0,0.661,5.0,3.0,8.0,2.0,12.5,6.0,6.0,0.0,0.0,16.0,0.0,2.0,2.0,22.2,0.29,-1.8,-0.11,102.0,291.0,35.1,420.0,67.0,49.5,41.2,117.0,70.9,52.0,165.0,13.0,7.9,14.0,0.88,13.0,156.0,56.0,11.0,35.9,9.75,3.5,0.13,0.36,0.1,5.3,4.6,6135.0,7742.0,79.2,120864.0,41097.0,2433.0,2796.0,87.0,2663.0,3079.0,86.5,924.0,1568.0,58.9,1.6,110.0,388.0,83.0,22.0,461.0,6903.0,839.0,241.0,18.0,911.0,185.0,127.0,66.0,30.0,24.0,3.0,5226.0,1029.0,1487.0,1955.0,4815.0,275.0,373.0,105.0,11.0,137.0,164.0,184.0,249.0,15.56,152.0,33.0,19.0,11.0,23.0,40.0,2.5,22.0,4.0,5.0,3.0,5.0,0.0,272.0,163.0,133.0,113.0,26.0,93.0,268.0,34.7,175.0,2144.0,644.0,30.0,728.0,1001.0,415.0,261.0,47.0,0.0,214.0,119.0,334.0,9.0,9556.0,1026.0,3387.0,4777.0,1956.0,260.0,8743.0,154.0,264.0,58.3,163.0,7.0,5910.0,33012.0,17937.0,7241.0,6135.0,84.7,178.0,227.0,1.0,224.0,233.0,17.0,3.0,4.0,2.0,1418.0,274.0,324.0,45.8,Ligue 1,France
vs Lille,21.0,46.9,17.0,187.0,1530.0,11.0,9.0,1.0,1.0,40.0,4.0,0.65,0.53,1.18,0.59,1.12,13.6,12.9,10.7,0.8,0.63,1.43,0.76,1.39,17.0,17.0,1530.0,31.0,1.82,84.0,57.0,0.667,1.0,6.0,10.0,1.0,5.9,3.0,3.0,0.0,0.0,17.0,0.0,1.0,1.0,24.7,0.27,-5.3,-0.31,114.0,308.0,37.0,484.0,93.0,46.7,39.6,118.0,69.5,50.6,107.0,7.0,6.5,8.0,0.47,14.0,155.0,50.0,5.0,32.3,9.12,2.94,0.06,0.2,0.08,-2.6,-2.9,6695.0,8363.0,80.1,135492.0,43508.0,2547.0,2918.0,87.3,2896.0,3333.0,86.9,1106.0,1792.0,61.7,-1.7,119.0,400.0,95.0,32.0,458.0,7560.0,803.0,243.0,9.0,969.0,285.0,186.0,72.0,30.0,33.0,3.0,5695.0,1064.0,1604.0,2475.0,4893.0,341.0,323.0,132.0,10.0,159.0,138.0,189.0,250.0,14.71,169.0,32.0,13.0,18.0,13.0,18.0,1.06,11.0,2.0,1.0,3.0,1.0,0.0,363.0,221.0,184.0,137.0,42.0,118.0,293.0,40.3,175.0,2215.0,673.0,30.4,790.0,1007.0,418.0,255.0,57.0,2.0,198.0,149.0,335.0,5.0,10271.0,1136.0,3949.0,4948.0,2003.0,298.0,9507.0,178.0,310.0,57.4,186.0,12.0,6591.0,36529.0,19652.0,7854.0,6695.0,85.2,209.0,215.0,2.0,233.0,217.0,10.0,1.0,3.0,1.0,1459.0,257.0,291.0,46.9,Ligue 1,France
vs Lorient,25.0,56.2,17.0,187.0,1530.0,31.0,26.0,3.0,4.0,33.0,4.0,1.82,1.53,3.35,1.65,3.18,23.9,20.9,17.7,1.41,1.04,2.45,1.23,2.27,17.0,17.0,1530.0,17.0,1.0,51.0,40.0,0.765,11.0,3.0,3.0,9.0,52.9,6.0,5.0,0.0,1.0,17.0,0.0,1.0,1.0,17.8,0.27,1.8,0.11,115.0,261.0,44.1,472.0,76.0,40.7,36.4,123.0,56.1,45.2,125.0,8.0,6.4,25.0,1.47,17.5,231.0,78.0,10.0,33.8,13.59,4.59,0.12,0.36,0.09,7.1,7.1,7825.0,9567.0,81.8,154621.0,50092.0,3111.0,3512.0,88.6,3388.0,3900.0,86.9,1186.0,1823.0,65.1,8.3,178.0,560.0,133.0,34.0,634.0,8623.0,944.0,253.0,12.0,993.0,287.0,188.0,68.0,31.0,27.0,3.0,6617.0,1262.0,1688.0,2676.0,5772.0,319.0,465.0,124.0,12.0,171.0,166.0,188.0,386.0,22.71,273.0,35.0,34.0,12.0,24.0,57.0,3.35,40.0,3.0,8.0,0.0,4.0,0.0,302.0,205.0,129.0,142.0,31.0,88.0,233.0,37.8,145.0,2261.0,769.0,34.0,594.0,1134.0,533.0,251.0,48.0,0.0,203.0,140.0,308.0,6.0,11558.0,976.0,3500.0,5975.0,2760.0,368.0,10645.0,224.0,362.0,61.9,239.0,11.0,7358.0,39951.0,22094.0,9000.0,7825.0,86.9,224.0,260.0,1.0,215.0,242.0,13.0,3.0,4.0,1.0,1601.0,266.0,255.0,51.1,Ligue 1,France
vs Lyon,25.0,44.9,17.0,187.0,1530.0,12.0,7.0,3.0,5.0,38.0,5.0,0.71,0.41,1.12,0.53,0.94,16.7,12.9,8.1,0.98,0.48,1.46,0.76,1.24,17.0,17.0,1530.0,34.0,2.0,91.0,65.0,0.703,1.0,6.0,10.0,2.0,11.8,7.0,7.0,0.0,0.0,17.0,0.0,0.0,2.0,31.8,0.28,-0.2,-0.01,106.0,270.0,39.3,419.0,95.0,40.6,37.4,165.0,60.6,47.9,161.0,13.0,8.1,12.0,0.71,13.2,181.0,53.0,8.0,29.3,10.65,3.12,0.05,0.17,0.08,-4.7,-3.9,6110.0,7657.0,79.8,119056.0,40952.0,2547.0,2886.0,88.3,2544.0,2929.0,86.9,895.0,1546.0,57.9,-1.1,128.0,450.0,100.0,35.0,440.0,6812.0,845.0,234.0,19.0,925.0,238.0,194.0,85.0,35.0,32.0,7.0,5221.0,953.0,1483.0,2051.0,4749.0,269.0,309.0,137.0,16.0,138.0,107.0,184.0,281.0,16.53,197.0,26.0,18.0,16.0,15.0,22.0,1.29,13.0,0.0,3.0,3.0,3.0,0.0,350.0,229.0,199.0,101.0,50.0,118.0,358.0,33.0,240.0,2492.0,767.0,30.8,1066.0,990.0,436.0,264.0,70.0,4.0,194.0,161.0,355.0,8.0,9637.0,1253.0,3617.0,4331.0,2281.0,326.0,8810.0,188.0,302.0,62.3,196.0,11.0,5979.0,35647.0,20493.0,7193.0,6110.0,84.9,208.0,218.0,0.0,223.0,210.0,21.0,4.0,6.0,2.0,1291.0,188.0,238.0,44.1,Ligue 1,France
vs Marseille,24.0,47.1,15.0,165.0,1350.0,14.0,11.0,2.0,2.0,33.0,4.0,0.93,0.73,1.67,0.8,1.53,18.5,17.0,13.2,1.23,0.88,2.11,1.13,2.01,15.0,15.0,1350.0,22.0,1.47,44.0,24.0,0.523,3.0,4.0,8.0,1.0,6.7,3.0,1.0,2.0,0.0,15.0,0.0,2.0,1.0,19.0,0.38,-2.0,-0.13,87.0,239.0,36.4,348.0,58.0,50.0,40.4,101.0,64.4,50.6,90.0,9.0,10.0,6.0,0.4,15.5,174.0,46.0,7.0,26.4,11.6,3.07,0.07,0.26,0.1,-4.5,-5.0,5419.0,6987.0,77.6,105804.0,36435.0,2213.0,2535.0,87.3,2262.0,2679.0,84.4,816.0,1468.0,55.6,-2.2,121.0,450.0,114.0,46.0,446.0,6136.0,851.0,234.0,17.0,1002.0,211.0,231.0,91.0,31.0,31.0,4.0,4360.0,1027.0,1600.0,1998.0,3990.0,307.0,388.0,96.0,34.0,134.0,105.0,198.0,267.0,17.8,194.0,25.0,14.0,13.0,17.0,24.0,1.6,17.0,1.0,2.0,0.0,3.0,0.0,306.0,181.0,132.0,139.0,35.0,93.0,252.0,36.9,159.0,2298.0,742.0,32.3,660.0,1108.0,530.0,219.0,33.0,1.0,186.0,113.0,253.0,4.0,8732.0,798.0,2634.0,4293.0,2321.0,320.0,7910.0,162.0,304.0,53.3,172.0,11.0,5279.0,30923.0,16783.0,6517.0,5419.0,83.2,202.0,204.0,2.0,208.0,210.0,38.0,2.0,3.0,1.0,1378.0,264.0,258.0,50.6,Ligue 1,France
vs Metz,25.0,56.4,17.0,187.0,1530.0,16.0,10.0,2.0,3.0,40.0,4.0,0.94,0.59,1.53,0.82,1.41,21.1,18.8,15.0,1.24,0.88,2.12,1.11,1.99,17.0,17.0,1530.0,19.0,1.12,61.0,47.0,0.754,6.0,5.0,6.0,5.0,29.4,7.0,4.0,3.0,0.0,17.0,1.0,0.0,1.0,20.7,0.25,2.7,0.16,94.0,191.0,49.2,467.0,108.0,30.8,33.2,117.0,40.2,39.2,153.0,16.0,10.5,7.0,0.41,13.4,226.0,64.0,7.0,28.3,13.29,3.76,0.06,0.22,0.09,-5.1,-4.8,7634.0,9427.0,81.0,149873.0,51736.0,3041.0,3446.0,88.2,3303.0,3787.0,87.2,1175.0,1870.0,62.8,-5.0,165.0,539.0,131.0,28.0,652.0,8546.0,881.0,236.0,14.0,1089.0,276.0,227.0,93.0,46.0,32.0,8.0,6575.0,1157.0,1695.0,2549.0,5788.0,310.0,400.0,152.0,18.0,147.0,130.0,231.0,361.0,21.24,257.0,28.0,31.0,15.0,20.0,28.0,1.65,21.0,2.0,1.0,1.0,2.0,0.0,355.0,215.0,177.0,129.0,49.0,100.0,343.0,29.2,243.0,2310.0,709.0,30.7,776.0,1013.0,521.0,212.0,51.0,0.0,161.0,111.0,329.0,2.0,11369.0,1085.0,3818.0,5559.0,2841.0,425.0,10504.0,188.0,309.0,60.8,201.0,10.0,7410.0,45068.0,26182.0,8884.0,7634.0,85.9,220.0,239.0,2.0,222.0,217.0,20.0,3.0,7.0,1.0,1611.0,302.0,290.0,51.0,Ligue 1,France
