id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
788421027,2,0,0,24,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,,,,,,,,,,
1100298475,2,0,0,170,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,,,,,,,,,,
793266165,3,0,1,24,50,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.8'}","91, 119, 117, 30, 36, 38, 216, 218",True,14036,52.8,44.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Gabriel Agbonlahor,11,ML,True,True,8.0,7.19,,,
1428697814,4,0,2,24,52,44,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '87.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}","91, 117, 127, 35, 37, 216, 218",True,5554,36.0,87.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Steve Sidwell,4,MR,True,False,7.38,7.19,,,
1635542847,5,0,6,24,37,93,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '26.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '71.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 38, 215, 218",True,4965,26.2,71.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Nicky Shorey,21,DC,True,False,7.37,7.19,,,
1920088769,6,0,8,24,26,66,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '21.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.8'}","91, 117, 30, 35, 38, 215, 218",True,70099,21.6,32.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Ciaran Clark,47,MC,True,False,7.58,7.19,,,
1895319799,7,0,11,24,22,28,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '27.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.0'}","91, 117, 30, 36, 38, 215, 218",True,9432,27.1,9.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Carlos Cuellar,24,DL,True,False,7.6,7.19,,,
1190485055,8,0,13,24,26,7,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '9.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 127, 35, 37, 215, 218",True,1797,9.3,43.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Habib Beye,23,DR,True,False,7.45,7.19,,,
762689126,9,0,16,24,9,43,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}","91, 120, 128, 36, 37, 216, 218",True,3426,55.0,46.9,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Brad Friedel,1,GK,True,False,6.65,7.19,,,
68513477,3,0,21,170,43,55,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.8'}","91, 120, 29, 139, 36, 38, 216, 218",True,4731,52.5,49.8,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317817,30/08/2009 17:52:13,32917,Villa Park,Stephen Bennett,,2009-08-30T16:00:00,2009-08-30,2 : 0,1 : 0,2 : 0,,,2,0,6,-1,24,Aston Villa,170,Fulham,2009-08-30: Aston Villa (2) vs. Fulham (0),5,451,2,442,Dickson Etuhu,20,MR,True,False,6.08,6.34,,,
