id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1919847203,2,0,0,15,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,,,,,,,,,,
1902910474,2,0,0,26,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,,,,,,,,,,
20558007,3,0,1,15,50,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.3'}","91, 119, 117, 30, 36, 38, 216, 218",True,2351,52.3,48.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,Deco,20,MC,True,False,6.9,7.89,,,
2047892386,4,0,2,15,52,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.6'}","91, 117, 30, 35, 37, 215, 218",True,527,31.6,59.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,Nicolas Anelka,39,FW,True,False,8.54,7.89,,,
535794792,5,0,4,15,31,59,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '68.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}","91, 120, 124, 128, 36, 38, 217, 218",True,70,68.6,0.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,John Terry,26,MC,True,False,8.45,7.89,,,
419200460,4,0,18,26,29,100,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.6'}, {'type': {'value': 1, 'displayName': 'Longball'}}","212, 36, 38, 216",False,26817,66.6,93.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,Emiliano Insúa,22,DC,True,False,6.29,6.56,,,
1526339011,7,0,20,15,31,8,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '15.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.2'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}","91, 118, 120, 29, 139, 36, 37, 216, 218",True,1832,38.2,15.6,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,Michael Essien,5,MR,True,False,7.49,7.89,,,
516642710,5,0,22,26,62,83,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '63.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '61.4'}","91, 120, 29, 139, 35, 38, 216, 218",True,4958,61.4,63.4,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,Albert Riera,11,FW,True,False,6.38,6.56,,,
1432368388,8,0,24,15,37,28,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '79.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.3'}","91, 120, 128, 36, 37, 217, 218",True,48,79.0,41.3,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,Frank Lampard,8,FW,True,False,7.51,7.89,,,
895911488,6,0,28,26,21,61,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 120, 29, 36, 38, 216, 218",True,1329,54.2,44.4,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,317895,04/10/2009 17:59:10,41732,Stamford Bridge,Martin Atkinson,,2009-10-04T16:00:00,2009-10-04,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,15,Chelsea,26,Liverpool,2009-10-04: Chelsea (2) vs. Liverpool (0),2,442,6,4411,Jamie Carragher,23,MC,True,False,6.43,6.56,,,
