id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1322025448,2,0,0,92,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,,,,,,,,,,
1885700261,2,0,0,184,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,,,,,,,,,,
793925300,3,0,2,92,49,51,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 36, 38, 216, 218",True,2402,52.6,47.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Ivan Klasnic,17,ML,True,False,6.81,6.87,,,
1744636868,4,0,4,92,62,26,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 9, 'displayName': 'Turnover'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}",91,True,233,,,,,,,,,,,,1,9,1,FirstHalf,Turnover,Successful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Kevin Davies,14,FW,True,False,6.65,6.87,,,
480897129,3,0,4,184,30,84,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,8941,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Chris Eagles,33,FW,True,False,6.77,6.97,,,
978210645,4,0,5,184,30,84,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 38, 215, 218",True,8941,24.8,80.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Chris Eagles,33,FW,True,False,6.77,6.97,,,
1217786590,5,0,7,184,29,77,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '58.8'}","91, 120, 29, 36, 38, 216, 218",True,10507,58.8,53.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Stephen Jordan,23,DC,True,False,6.95,6.97,,,
147045361,5,0,9,92,37,51,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '34.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.6'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}","91, 120, 29, 139, 36, 38, 216, 218",True,3921,57.6,34.9,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Zat Knight,12,MC,True,False,7.04,6.87,,,
879397491,6,0,12,184,44,64,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '57.9'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}","91, 120, 29, 139, 36, 38, 216, 218",True,9766,57.9,50.8,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Steven Fletcher,9,ML,True,False,7.02,6.97,,,
425771307,6,0,13,92,44,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",197,False,3921,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,318135,26/12/2009 16:00:14,21761,Turf Moor,Chris Foy,,2009-12-26T14:00:00,2009-12-26,1 : 1,0 : 1,1 : 1,,,1,1,6,-1,184,Burnley,92,Bolton,2009-12-26: Burnley (1) vs. Bolton (1),2,442,2,442,Zat Knight,12,MC,True,False,7.04,6.87,,,
