id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
587367810,2,0,0,169,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,,,,,,,,,,
1270772300,2,0,0,29,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,,,,,,,,,,
1031622651,3,0,1,29,48,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '50.4'}","91, 119, 117, 30, 36, 38, 216, 218",True,78467,50.4,48.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Frank Nouble,24,ML,True,False,7.12,7.14,,,
1767896277,4,0,2,29,50,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 37, 216, 218",True,30310,44.3,49.5,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Alessandro Diamanti,32,MC,True,False,7.0,7.14,,,
442980463,5,0,3,29,45,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '90.4'}","91, 120, 124, 128, 36, 37, 217, 218",True,8247,90.4,100.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Mark Noble,16,MC,True,True,9.55,7.14,,,
1353448274,3,0,20,169,17,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '11.1'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.7'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","212, 36, 37, 216",False,3014,36.7,11.1,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Steve Finnan,16,DR,True,False,6.74,6.97,,,
1627542986,4,0,22,169,35,22,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",198,False,4468,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Frédéric Piquionne,9,AML,True,False,6.78,6.97,,,
2109739275,7,0,22,29,59,93,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}",197,False,10186,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Radoslav Kovác,14,FW,True,False,7.08,7.14,,,
1950477833,8,0,23,29,59,93,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.2'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '80.8'}","91, 120, 29, 139, 36, 38, 216, 218",True,10186,62.2,80.8,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Radoslav Kovác,14,FW,True,False,7.08,7.14,,,
91327209,5,0,25,169,29,42,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.1'}","91, 120, 29, 36, 37, 216, 218",True,3269,62.8,43.1,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318171,26/01/2010 21:46:01,18322,Fratton Park,Andre Marriner,,2010-01-26T19:45:00,2010-01-26,1 : 1,0 : 0,1 : 1,,,1,1,6,-1,169,Portsmouth,29,West Ham,2010-01-26: Portsmouth (1) vs. West Ham (1),8,4231,5,451,Aaron Mokoena,4,AMR,True,False,6.71,6.97,,,
