id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1092856484,2,0,0,31,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,,,,,,,,,,
504773200,2,0,0,15,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,,,,,,,,,,
1005816660,3,0,0,31,49,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '54.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 36, 37, 216, 218",True,6115,51.0,54.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,Tim Cahill,17,AMC,True,False,6.88,6.94,,,
707983558,4,0,1,31,50,54,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '25.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.8'}","91, 117, 30, 35, 38, 215, 218",True,110,25.1,38.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,Louis Saha,8,ML,True,True,8.24,6.94,,,
1936040536,5,0,5,31,27,38,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '94.9'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '33.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 120, 128, 36, 38, 217, 218",True,6023,94.9,33.2,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,John Heitinga,5,DL,True,False,6.98,6.94,,,
394841010,3,0,9,15,8,62,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 52, 'displayName': 'KeeperPickup'}","{'value': 1, 'displayName': 'Successful'}",,"91, 93",True,6775,,,,,,,,,,,,1,52,1,FirstHalf,KeeperPickup,Successful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,Petr Cech,1,GK,True,False,7.47,6.79,,,
1631578144,4,0,18,15,22,63,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.0'}, {'type': {'value': 1, 'displayName': 'Longball'}}","91, 120, 128, 36, 37, 217, 218",True,6775,76.0,67.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,Petr Cech,1,GK,True,False,7.47,6.79,,,
1968766501,6,0,23,31,26,29,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 15, 'displayName': 'Head'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 95, 57",True,682,,,,,,,,,,,,1,12,0,FirstHalf,Clearance,Unsuccessful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,Phil Neville,18,DR,True,False,6.67,6.94,,,
892573808,5,0,25,15,68,70,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}",197,False,7252,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,Yuri Zhirkov,18,MC,True,False,7.28,6.79,,,
147297700,6,0,25,15,68,70,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '72.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '84.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 120, 29, 139, 36, 37, 217, 218",True,7252,72.4,84.7,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318288,10/02/2010 21:59:57,36411,Goodison Park,Alan Wiley,,2010-02-10T20:00:00,2010-02-10,2 : 1,1 : 1,2 : 1,,,2,1,6,-1,31,Everton,15,Chelsea,2010-02-10: Everton (2) vs. Chelsea (1),6,4411,4,433,Yuri Zhirkov,18,MC,True,False,7.28,6.79,,,
