id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
702881132,2,0,0,167,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,,,,,,,,,,
10714682,2,0,0,26,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,,,,,,,,,,
1248548100,3,0,1,26,49,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.4'}","91, 119, 117, 30, 36, 38, 216, 218",True,31451,52.8,49.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Lucas Leiva,21,MR,True,False,7.06,6.9,,,
941296704,4,0,2,26,52,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.0'}","91, 117, 30, 35, 37, 215, 218",True,17,30.8,59.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Steven Gerrard,8,AMC,True,False,6.85,6.9,,,
1500065591,5,0,4,26,30,59,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '10.1'}","91, 119, 117, 124, 127, 36, 38, 216, 218",True,7398,66.1,10.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Daniel Agger,5,MC,True,False,6.99,6.9,,,
1424450554,3,0,7,167,25,91,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",198,False,188,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Gareth Barry,18,AMR,True,False,6.85,6.81,,,
376344690,6,0,7,26,67,9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}",197,False,7516,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Dirk Kuyt,18,ML,True,False,6.31,6.9,,,
2031623042,7,0,8,26,67,9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '81.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}","91, 120, 29, 139, 36, 38, 217, 218",True,7516,81.5,0.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Dirk Kuyt,18,ML,True,False,6.31,6.9,,,
1141278665,5,0,18,167,16,100,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.9'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '95.3'}","212, 36, 38, 216",False,836,35.9,95.3,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Wayne Bridge,3,DC,True,False,7.36,6.81,,,
1328325633,9,0,21,26,62,3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '78.0'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '0.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}","91, 120, 29, 139, 36, 38, 217, 218",True,31451,78.0,0.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318298,21/02/2010 16:55:48,47203,City of Manchester Stadium,Peter Walton,,2010-02-21T15:00:00,2010-02-21,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,167,Man City,26,Liverpool,2010-02-21: Man City (0) vs. Liverpool (0),8,4231,6,4411,Lucas Leiva,21,MR,True,False,7.06,6.9,,,
