id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
938810586,2,0,0,92,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,,,,,,,,,,
1083208935,2,0,0,161,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,,,,,,,,,,
1087460855,3,0,1,92,49,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.9'}","91, 119, 117, 30, 36, 38, 216, 218",True,4893,51.9,47.6,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Johan Elmander,9,MC,True,False,7.24,7.28,,,
1722206622,4,0,2,92,51,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '43.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 37, 216, 218",True,233,43.4,53.2,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Kevin Davies,14,FW,True,False,7.91,7.28,,,
329089895,880,0,3,92,43,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '21.9'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 117, 30, 35, 38, 216, 218",True,28258,37.5,21.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Stuart Holden,25,FW,True,False,7.74,7.28,,,
2003849256,5,0,5,92,29,18,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '76.2'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.8'}","91, 119, 117, 127, 205, 36, 37, 217, 218",True,7227,76.2,50.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Grétar Steinsson,15,DR,True,False,6.66,7.28,,,
1273715121,3,0,7,161,28,43,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",197,False,1532,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Jody Craddock,6,DL,True,False,7.46,6.71,,,
997244475,6,0,7,92,76,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}",198,False,233,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Kevin Davies,14,FW,True,False,7.91,7.28,,,
909843403,4,0,8,161,28,43,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}","91, 95, 57",True,1532,,,,,,,,,,,,1,12,0,FirstHalf,Clearance,Unsuccessful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Jody Craddock,6,DL,True,False,7.46,6.71,,,
28403236,828,0,9,92,68,43,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}",198,False,28258,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,318309,27/02/2010 16:57:04,21261,Reebok Stadium,Andre Marriner,,2010-02-27T15:00:00,2010-02-27,1 : 0,1 : 0,1 : 0,,,1,0,6,-1,92,Bolton,161,Wolves,2010-02-27: Bolton (1) vs. Wolves (0),3,41212,5,451,Stuart Holden,25,FW,True,False,7.74,7.28,,,
