id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1411393319,2,0,0,26,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,,,,,,,,,,
1399198202,2,0,0,158,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,,,,,,,,,,
182611920,3,0,0,158,50,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 36, 38, 216, 218",True,1845,51.0,48.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,El Hadji Diouf,18,MR,True,False,6.41,6.57,,,
366148672,4,0,1,158,51,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.9'}","91, 117, 30, 35, 37, 216, 218",True,6065,36.3,50.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,Keith Andrews,17,MC,True,False,7.14,6.57,,,
1526588799,5,0,4,158,36,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '74.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.0'}","91, 120, 128, 36, 37, 217, 218",True,14710,74.5,79.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,Christopher Samba,4,DL,True,False,7.72,6.57,,,
1987615055,3,0,5,26,28,30,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",197,False,31451,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,Lucas Leiva,21,MC,True,False,6.9,7.12,,,
1191739665,4,0,6,26,28,30,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '46.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '32.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}","91, 117, 30, 139, 36, 37, 215, 218",True,31451,32.6,46.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,Lucas Leiva,21,MC,True,False,6.9,7.12,,,
1835784838,6,0,7,158,74,79,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}",198,False,39935,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,Steven Nzonzi,15,DC,True,False,6.27,6.57,,,
1749212445,5,0,8,26,32,46,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '44.4'}","91, 120, 29, 124, 36, 38, 216, 218",True,4490,55.8,44.4,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,Yossi Benayoun,15,FW,True,False,7.56,7.12,,,
252422817,7,0,9,158,47,52,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '61.4'}, {'type': {'value': 3, 'displayName': 'HeadPass'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.3'}","91, 119, 117, 30, 139, 205, 36, 37, 217, 218",True,14710,73.3,61.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318304,28/02/2010 16:56:08,42795,Anfield,Alan Wiley,,2010-02-28T15:00:00,2010-02-28,2 : 1,2 : 1,2 : 1,,,2,1,6,-1,26,Liverpool,158,Blackburn,2010-02-28: Liverpool (2) vs. Blackburn (1),2,442,7,4141,Christopher Samba,4,DL,True,False,7.72,6.57,,,
