id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
846332920,2,0,0,170,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,,,,,,,,,,
1178981202,2,0,0,16,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,,,,,,,,,,
367919077,3,0,1,16,49,54,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '50.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 36, 38, 216, 218",True,10102,51.0,50.5,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Lorik Cana,19,MR,True,False,7.7,6.88,,,
688181772,4,0,2,16,51,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '33.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '41.6'}","91, 117, 30, 35, 38, 215, 218",True,3116,33.2,41.6,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Darren Bent,11,ML,True,False,6.57,6.88,,,
1280968326,5,0,3,16,33,41,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '64.5'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.2'}","91, 120, 128, 36, 37, 216, 218",True,8597,64.5,94.2,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Michael Turner,4,DL,True,False,7.73,6.88,,,
1249710536,3,0,5,170,36,6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",197,False,5231,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Chris Baird,6,DR,True,False,7.16,6.77,,,
860751062,4,0,6,170,36,6,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}","91, 95, 57",True,5231,,,,,,,,,,,,1,12,0,FirstHalf,Clearance,Unsuccessful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Chris Baird,6,DR,True,False,7.16,6.77,,,
1340935689,6,0,6,16,63,94,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}",198,False,12726,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Kenwyne Jones,17,FW,True,False,7.38,6.88,,,
1394143324,7,0,9,16,59,94,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 50, 'displayName': 'Dispossessed'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}","91, 70",True,14268,,,,,,,,,,,,1,50,1,FirstHalf,Dispossessed,Successful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Lee Cattermole,39,MC,True,False,6.43,6.88,,,
1924891011,5,0,9,170,37,3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 7, 'displayName': 'Tackle'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 143",True,824,,,,,,,,,,,,1,7,1,FirstHalf,Tackle,Successful,318300,28/02/2010 17:00:13,40192,Stadium of Light,Martin Atkinson,,2010-02-28T15:00:00,2010-02-28,0 : 0,0 : 0,0 : 0,,,0,0,6,-1,16,Sunderland,170,Fulham,2010-02-28: Sunderland (0) vs. Fulham (0),2,442,5,451,Damien Duff,16,DC,True,False,6.84,6.77,,,
