id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
964019285,2,0,0,194,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,,,,,,,,,,
1960644042,2,0,0,214,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,,,,,,,,,,
188798,3,0,1,194,50,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.6'}","91, 119, 117, 30, 36, 38, 216, 218",True,10254,52.4,48.6,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Ben Watson,8,MC,True,False,7.04,6.82,,,
1118215409,4,0,2,194,47,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '36.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '24.6'}","91, 117, 30, 35, 38, 215, 218",True,25011,24.6,36.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Hugo Rodallega,20,FW,True,False,6.75,6.82,,,
2093709816,5,0,4,194,24,36,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '16.7'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 36, 38, 215, 218",True,5048,28.4,16.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Gary Caldwell,5,DC,True,False,6.97,6.82,,,
1625041883,6,0,6,194,26,24,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '23.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.7'}","91, 117, 127, 35, 37, 215, 218",True,1036,23.1,65.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Mario Melchiot,25,DR,True,False,6.69,6.82,,,
126351055,7,0,10,194,23,69,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.3'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '94.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 36, 37, 215, 218",True,14358,30.3,94.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Steve Gohouri,2,DC,True,False,7.69,6.82,,,
93503024,8,0,13,194,33,95,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '95.3'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.6'}, {'type': {'value': 155, 'displayName': 'Chipped'}}","91, 120, 124, 128, 36, 38, 217, 218",True,38671,95.3,91.6,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Maynor Figueroa,31,DL,True,False,6.6,6.82,,,
806183753,3,0,18,214,6,9,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,529,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Bernard Mendy,15,DR,True,False,7.52,6.94,,,
386343731,4,0,20,214,7,19,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '14.2'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '22.2'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 36, 38, 215, 218",True,529,22.2,14.2,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Bernard Mendy,15,DR,True,False,7.52,6.94,,,
2008756602,5,0,23,214,22,14,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 118, 120, 128, 36, 37, 216, 218",True,121,47.8,45.6,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,George Boateng,20,MC,True,False,7.69,6.94,,,
1657756148,10,0,28,194,59,69,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,5048,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,318390,03/05/2010 15:31:16,20242,DW Stadium,Phil Dowd,,2010-05-03T13:30:00,2010-05-03,2 : 2,1 : 1,2 : 2,,,2,2,6,-1,194,Wigan,214,Hull,2010-05-03: Wigan (2) vs. Hull (2),5,451,2,442,Gary Caldwell,5,DC,True,False,6.97,6.82,,,
