playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
3852,Mark Schwarzer,1,GK,194,95,49,True,False,Home,"{'0': 6.0, '1': 6.37, '4': 6.36, '5': 6.36, '9': 6.38, '19': 6.39, '21': 6.4, '22': 6.61, '24': 6.62, '26': 6.72, '29': 6.72, '32': 6.72, '33': 6.73, '35': 6.74, '37': 6.85, '39': 6.95, '40': 7.04, '42': 7.08, '44': 7.08, '45': 7.09, '48': 7.09, '52': 7.08, '53': 7.09, '54': 7.1, '55': 7.11, '56': 7.12, '58': 7.13, '59': 7.12, '64': 7.11, '65': 7.09, '66': 7.08, '67': 7.07, '68': 7.12, '70': 7.21, '72': 7.2, '74': 7.2, '80': 7.21, '84': 7.2, '86': 7.19, '87': 7.2, '89': 7.25, '92': 7.24, '95': 7.57}",7.57,7.3,317798,170,Fulham
10212,John Pantsil,4,DR,178,76,40,True,False,Home,"{'0': 5.99, '1': 6.0, '2': 6.06, '4': 6.06, '5': 6.06, '7': 6.14, '8': 6.13, '9': 6.14, '14': 6.12, '15': 6.11, '16': 6.1, '17': 6.1, '18': 6.09, '19': 6.1, '24': 6.06, '26': 6.16, '28': 6.24, '29': 6.24, '32': 6.24, '37': 6.26, '38': 6.25, '40': 6.25, '42': 6.33, '47': 6.34, '48': 6.34, '56': 6.34, '57': 6.38, '58': 6.37, '61': 6.42, '65': 6.41, '67': 6.41, '68': 6.58, '70': 6.59, '75': 6.59, '81': 6.62, '84': 6.62, '89': 6.7, '92': 6.81, '93': 6.8, '94': 6.77, '95': 7.0}",7.0,7.3,317798,170,Fulham
16369,Clint Dempsey,23,DC,186,78,38,True,True,Home,"{'0': 6.0, '6': 5.97, '8': 5.97, '11': 6.04, '12': 6.03, '14': 6.03, '17': 6.03, '19': 6.03, '22': 6.03, '27': 6.03, '28': 6.04, '29': 6.07, '32': 6.07, '33': 6.07, '35': 6.09, '40': 6.19, '41': 6.28, '42': 6.39, '44': 6.48, '47': 6.48, '48': 6.48, '49': 6.48, '51': 6.48, '54': 6.58, '56': 6.57, '57': 6.57, '62': 6.57, '64': 6.67, '66': 6.65, '68': 7.74, '71': 7.93, '73': 7.9, '76': 7.88, '77': 7.91, '79': 7.9, '80': 7.9, '81': 7.87, '85': 7.87, '89': 8.95, '92': 8.93, '93': 8.94, '95': 9.07}",9.07,7.3,317798,170,Fulham
1103,Paul Konchesky,3,DC,178,69,40,True,False,Home,"{'0': 6.0, '1': 6.0, '5': 6.0, '8': 6.01, '10': 5.98, '11': 6.06, '14': 6.04, '15': 6.02, '17': 6.02, '18': 6.02, '20': 6.01, '22': 6.02, '23': 6.02, '24': 6.0, '25': 6.0, '26': 6.02, '27': 6.07, '29': 6.06, '30': 6.05, '31': 6.05, '32': 6.04, '37': 6.04, '40': 6.03, '42': 6.11, '45': 6.14, '48': 6.13, '50': 6.12, '55': 6.1, '56': 6.11, '57': 6.12, '58': 6.1, '67': 6.11, '68': 6.19, '72': 6.19, '73': 6.17, '74': 6.27, '75': 6.26, '79': 6.35, '83': 6.34, '85': 6.34, '87': 6.33, '88': 6.35, '89': 6.45, '95': 6.68}",6.68,7.3,317798,170,Fulham
1742,Aaron Hughes,18,DL,183,71,42,True,False,Home,"{'0': 6.0, '1': 6.06, '2': 6.07, '3': 6.1, '4': 6.08, '5': 6.11, '9': 6.09, '14': 6.13, '17': 6.14, '18': 6.14, '20': 6.13, '21': 6.11, '24': 6.13, '29': 6.14, '31': 6.21, '34': 6.34, '36': 6.45, '37': 6.5, '40': 6.49, '42': 6.56, '44': 6.54, '45': 6.65, '47': 6.64, '55': 6.64, '56': 6.64, '58': 6.75, '60': 6.92, '68': 6.98, '69': 7.01, '70': 7.09, '75': 7.1, '79': 7.09, '81': 7.11, '82': 7.1, '83': 7.13, '85': 7.17, '88': 7.15, '89': 7.2, '92': 7.2, '95': 7.47}",7.47,7.3,317798,170,Fulham
827,Jonathan Greening,27,MR,183,69,42,True,False,Home,"{'0': 6.0, '1': 6.0, '2': 6.0, '4': 6.0, '5': 6.01, '8': 6.02, '9': 6.01, '15': 6.01, '16': 5.99, '18': 6.0, '19': 6.01, '24': 6.01, '25': 6.01, '26': 6.0, '29': 6.0, '30': 5.98, '32': 5.99, '35': 5.98, '39': 5.99, '42': 6.12, '48': 6.12, '49': 6.29, '50': 6.28, '51': 6.38, '53': 6.38, '54': 6.35, '55': 6.36, '56': 6.49, '57': 6.5, '58': 6.59, '62': 6.58, '63': 6.63, '65': 6.64, '68': 6.75, '70': 6.76, '74': 6.76, '76': 6.86, '79': 6.86, '81': 6.96, '82': 7.11}",7.11,7.3,317798,170,Fulham
3165,Brede Hangeland,5,MC,195,85,40,True,False,Home,"{'0': 6.0, '1': 6.0, '3': 6.13, '4': 6.16, '5': 6.27, '6': 6.26, '8': 6.22, '10': 6.23, '11': 6.34, '12': 6.38, '14': 6.43, '15': 6.44, '17': 6.44, '18': 6.43, '21': 6.41, '22': 6.44, '23': 6.61, '25': 6.56, '29': 6.57, '31': 6.62, '37': 6.64, '39': 6.65, '40': 6.64, '41': 6.69, '42': 6.76, '44': 6.75, '47': 6.76, '48': 6.77, '50': 6.75, '52': 6.77, '53': 6.77, '55': 6.82, '56': 6.82, '61': 6.97, '62': 7.02, '63': 7.18, '66': 7.16, '67': 7.15, '68': 7.3, '71': 7.35, '72': 7.39, '73': 7.42, '74': 7.45, '75': 7.45, '79': 7.48, '81': 7.48, '83': 7.48, '85': 7.53, '87': 7.53, '88': 7.58, '89': 7.65, '95': 7.91}",7.91,7.3,317798,170,Fulham
5231,Chris Baird,6,MC,185,74,39,True,False,Home,"{'0': 6.0, '8': 6.01, '9': 6.02, '10': 6.02, '12': 6.07, '14': 6.12, '18': 6.12, '21': 6.11, '22': 6.12, '23': 6.12, '24': 6.12, '25': 6.12, '31': 6.22, '37': 6.2, '39': 6.2, '40': 6.2, '42': 6.32, '45': 6.32, '47': 6.32, '48': 6.32, '50': 6.32, '51': 6.43, '53': 6.47, '54': 6.47, '56': 6.48, '57': 6.49, '58': 6.82, '61': 6.8, '62': 6.94, '64': 6.93, '67': 6.93, '68': 7.19, '69': 7.27, '70': 7.27, '71': 7.36, '72': 7.37, '75': 7.56, '76': 7.66, '77': 7.66, '78': 7.63, '81': 7.61, '87': 7.59, '89': 7.71, '91': 7.81, '95': 7.96}",7.96,7.3,317798,170,Fulham
1094,Erik Nevland,10,ML,178,74,44,True,False,Home,"{'0': 6.0, '9': 6.0, '17': 6.0, '23': 5.99, '24': 5.99, '25': 6.07, '29': 6.06, '31': 6.07, '36': 6.02, '37': 6.1, '39': 6.1, '42': 7.27, '44': 7.27, '45': 7.39, '47': 7.38, '48': 7.38, '50': 7.36, '53': 7.5, '54': 7.49, '56': 7.49, '62': 7.5, '65': 7.45, '68': 7.65, '70': 7.64, '71': 7.67, '72': 7.75, '73': 7.73, '81': 7.71, '84': 7.7, '87': 7.7, '88': 7.69, '89': 7.89, '93': 7.87, '95': 7.92}",7.92,7.3,317798,170,Fulham
824,Damien Duff,16,FW,178,60,42,True,False,Home,"{'0': 6.0, '2': 6.0, '4': 5.99, '5': 5.97, '6': 6.14, '8': 6.14, '9': 6.13, '10': 6.14, '13': 6.14, '18': 6.19, '19': 6.19, '26': 6.2, '32': 6.2, '42': 6.94, '44': 6.94, '47': 6.94, '51': 7.13, '56': 7.12, '57': 7.12, '59': 7.16, '61': 7.15, '65': 7.15, '67': 7.14, '68': 7.26, '76': 7.25, '78': 7.41, '79': 7.46, '81': 7.46, '86': 7.6}",7.6,7.3,317798,170,Fulham
