playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
3874,Paul Robinson,1,GK,193,90,42,True,False,Home,"{'0': 6.01, '1': 6.0, '3': 5.98, '4': 6.0, '5': 6.01, '6': 6.0, '7': 6.19, '9': 6.2, '10': 6.19, '11': 6.19, '15': 6.18, '16': 6.17, '21': 6.18, '22': 6.17, '23': 6.29, '24': 6.28, '28': 6.29, '30': 6.3, '31': 6.29, '32': 6.3, '33': 6.32, '36': 6.33, '42': 6.38, '43': 6.39, '44': 6.4, '48': 6.4, '52': 6.5, '53': 6.09, '54': 6.13, '57': 6.12, '64': 6.11, '66': 5.71, '67': 5.7, '72': 5.96, '73': 5.95, '77': 5.94, '78': 5.99, '81': 6.09, '82': 6.08, '84': 6.07, '91': 6.08, '92': 6.18, '95': 6.18}",6.18,6.99,318145,158,Blackburn
4529,Pascal Chimbonda,39,DR,182,75,42,True,False,Home,"{'0': 6.0, '3': 6.08, '4': 6.08, '5': 6.09, '6': 6.19, '7': 6.18, '8': 6.17, '9': 6.3, '10': 6.3, '13': 6.28, '14': 6.42, '15': 6.55, '16': 6.68, '17': 6.67, '19': 6.66, '20': 6.74, '23': 6.73, '26': 6.72, '28': 6.75, '32': 6.85, '33': 6.85, '37': 6.94, '38': 6.94, '40': 6.94, '42': 6.96, '47': 6.95, '48': 6.99, '50': 7.0, '51': 7.05, '53': 6.85, '54': 6.93, '56': 7.01, '59': 7.02, '61': 7.01, '62': 7.01, '64': 7.1, '65': 7.09, '66': 6.92, '67': 6.92, '69': 7.0, '70': 7.0, '74': 7.0, '75': 7.18, '78': 7.87, '80': 7.92, '81': 7.97, '83': 8.0, '84': 8.0, '86': 8.06, '89': 8.07, '91': 8.17, '95': 8.14, '96': 8.19}",8.19,6.99,318145,158,Blackburn
35460,David Junior Hoilett,23,DC,173,70,31,True,False,Home,"{'0': 6.0, '3': 6.0, '4': 6.01, '6': 6.01, '8': 6.01, '10': 6.24, '12': 6.24, '13': 6.23, '16': 6.24, '17': 6.25, '18': 6.22, '23': 6.18, '28': 6.18, '31': 6.36, '32': 6.38, '36': 6.47, '38': 6.6, '39': 6.59, '42': 6.55, '44': 6.56, '46': 6.57, '48': 6.56, '49': 6.65, '50': 6.66, '52': 6.63, '53': 6.51, '54': 6.63, '56': 6.61, '59': 6.61, '60': 6.78, '61': 6.78, '65': 7.03, '66': 6.92, '68': 6.92, '71': 7.0, '72': 7.09, '74': 7.09}",7.09,6.99,318145,158,Blackburn
1830,Gaël Givet,5,DC,181,75,40,True,False,Home,"{'0': 6.02, '5': 6.04, '10': 6.03, '11': 6.03, '16': 6.03, '21': 6.03, '23': 6.03, '31': 6.08, '33': 6.09, '40': 6.08, '41': 6.08, '42': 6.07, '43': 6.12, '45': 6.14, '47': 6.13, '51': 6.12, '52': 6.12, '53': 5.98, '54': 6.06, '58': 6.07, '62': 6.14, '65': 6.12, '66': 5.95, '67': 5.94, '71': 5.92, '76': 5.9, '77': 5.88, '78': 5.97, '79': 6.02, '80': 5.98, '81': 6.03, '82': 6.02, '84': 6.02, '85': 6.11, '86': 6.16, '89': 6.19, '94': 6.26, '95': 6.31, '96': 6.41}",6.41,6.99,318145,158,Blackburn
14710,Christopher Samba,4,DL,193,100,37,True,False,Home,"{'0': 6.0, '1': 6.0, '5': 6.01, '6': 6.0, '8': 6.05, '9': 6.13, '10': 6.13, '11': 6.13, '12': 6.13, '13': 6.13, '21': 6.16, '22': 6.15, '23': 6.23, '24': 6.32, '25': 6.35, '28': 6.34, '29': 6.38, '33': 6.46, '35': 6.47, '36': 6.46, '40': 6.43, '42': 6.51, '45': 6.58, '48': 6.59, '51': 6.57, '52': 6.58, '53': 6.38, '54': 6.45, '56': 6.52, '57': 6.54, '58': 6.54, '59': 6.54, '62': 6.54, '63': 6.59, '64': 6.58, '66': 6.38, '68': 6.51, '70': 6.52, '72': 6.54, '73': 6.54, '75': 6.59, '76': 6.58, '77': 6.79, '78': 6.86, '80': 6.88, '81': 6.89, '86': 6.9, '89': 6.89, '90': 7.2, '91': 7.28, '94': 7.34, '95': 7.33}",7.33,6.99,318145,158,Blackburn
39935,Steven Nzonzi,15,MR,196,75,33,True,False,Home,"{'0': 6.0, '2': 5.99, '4': 6.06, '5': 6.15, '6': 6.14, '9': 6.13, '12': 6.12, '16': 6.22, '17': 6.23, '19': 6.21, '20': 6.33, '22': 6.31, '24': 6.3, '25': 6.4, '26': 6.54, '32': 6.53, '33': 6.57, '35': 6.55, '38': 6.56, '40': 6.56, '41': 6.55, '43': 6.56, '45': 6.63, '49': 6.62, '50': 6.62, '51': 6.63, '52': 6.63, '53': 6.5, '54': 6.61, '56': 6.7, '59': 6.7, '60': 6.85, '61': 6.86, '62': 6.84, '63': 6.82, '65': 6.83, '66': 6.69, '68': 6.67, '69': 6.74, '70': 6.82, '71': 6.9, '72': 6.89, '73': 6.98, '75': 6.98, '76': 7.07, '78': 7.19, '80': 7.39, '84': 7.39, '85': 7.37, '86': 7.38, '87': 7.38, '88': 7.37, '92': 7.47, '94': 7.45, '96': 7.45}",7.45,6.99,318145,158,Blackburn
6065,Keith Andrews,17,MC,183,78,41,True,False,Home,"{'0': 5.99, '1': 6.01, '2': 5.99, '4': 6.0, '5': 6.04, '6': 6.25, '8': 6.25, '12': 6.24, '13': 6.39, '17': 6.45, '19': 6.54, '25': 6.52, '26': 6.59, '27': 6.58, '29': 6.56, '30': 6.53, '38': 6.52, '41': 6.5, '44': 6.49, '45': 6.62, '47': 6.62, '51': 6.62, '52': 6.61, '53': 6.42, '54': 6.54, '56': 6.54, '58': 6.51, '59': 6.51, '61': 6.52, '62': 6.48, '64': 6.48, '66': 6.35, '67': 6.36, '69': 6.44, '76': 6.43, '78': 6.54, '81': 6.53, '82': 6.57, '84': 6.73, '85': 6.72, '93': 6.73}",6.73,6.99,318145,158,Blackburn
13311,Ryan Nelsen,6,MC,185,77,44,True,False,Home,"{'0': 6.0, '1': 6.01, '2': 6.01, '3': 6.01, '5': 6.01, '8': 6.01, '9': 6.15, '10': 6.15, '11': 6.13, '12': 6.14, '16': 6.19, '17': 6.17, '20': 6.19, '21': 6.2, '22': 6.25, '23': 6.23, '25': 6.36, '28': 6.44, '40': 6.43, '45': 6.45, '46': 6.46, '47': 6.56, '50': 6.73, '51': 6.81, '53': 6.69, '54': 6.76, '58': 6.75, '59': 6.76, '61': 6.77, '62': 6.85, '65': 6.88, '66': 6.68, '67': 6.68, '70': 6.68, '72': 6.82, '75': 6.81, '76': 6.82, '78': 6.89, '82': 6.99, '87': 6.98, '89': 6.98, '96': 6.95}",6.95,6.99,318145,158,Blackburn
2279,Benni McCarthy,10,ML,183,80,44,True,False,Home,"{'0': 6.01, '1': 6.01, '2': 6.02, '3': 6.03, '7': 6.01, '11': 6.0, '12': 6.09, '13': 6.08, '14': 6.06, '16': 6.06, '17': 6.07, '18': 6.1, '21': 6.11, '26': 6.15, '30': 6.14, '37': 6.15, '41': 6.15, '42': 6.13, '43': 6.14, '44': 6.13, '47': 6.09, '49': 6.09, '50': 6.17, '52': 6.17, '53': 6.1, '54': 6.55, '56': 6.56, '58': 6.56, '63': 6.45, '66': 6.38, '67': 6.38, '69': 6.4, '72': 6.41}",6.41,6.99,318145,158,Blackburn
438,Jason Roberts,9,FW,185,79,43,True,False,Home,"{'0': 6.0, '1': 6.0, '3': 6.0, '4': 5.99, '12': 6.0, '13': 6.0, '17': 6.01, '32': 6.01, '37': 6.04, '38': 6.05, '42': 6.08, '43': 6.08, '46': 6.07, '47': 6.07, '49': 6.06, '50': 6.26, '53': 6.2, '54': 6.4, '58': 6.4, '59': 6.38, '60': 6.36, '64': 6.4, '65': 6.39, '66': 6.42, '67': 6.41, '68': 6.49, '70': 6.52, '72': 6.51}",6.51,6.99,318145,158,Blackburn
