playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
4472,Chris Kirkland,1,GK,191,74,40,True,False,Home,"{'0': 6.0, '4': 6.0, '5': 6.01, '8': 6.02, '16': 6.03, '24': 6.03, '25': 6.03, '26': 6.04, '34': 6.09, '36': 6.08, '43': 6.07, '45': 6.08, '51': 6.09, '54': 6.08, '56': 6.07, '61': 6.08, '73': 6.09, '74': 6.08, '75': 6.09, '76': 6.08, '79': 6.09, '81': 6.11, '86': 6.12, '88': 6.13, '98': 6.12, '99': 6.45}",6.45,7.24,318310,194,Wigan
515,Emmerson Boyce,17,DR,180,73,42,True,False,Home,"{'0': 5.99, '1': 6.07, '3': 6.1, '5': 6.21, '6': 6.21, '10': 6.24, '11': 6.23, '12': 6.25, '16': 6.3, '17': 6.29, '18': 6.28, '22': 6.29, '24': 6.42, '25': 6.41, '26': 6.42, '28': 6.59, '31': 6.59, '32': 6.61, '34': 7.37, '37': 7.37, '39': 7.37, '40': 7.45, '46': 7.45, '49': 7.46, '51': 7.47, '54': 7.57, '55': 7.57, '57': 7.55, '59': 7.56, '60': 7.69, '67': 7.67, '72': 7.72, '73': 7.72, '82': 7.92, '91': 7.98, '93': 7.97, '95': 7.99, '97': 8.08, '99': 8.31}",8.31,7.24,318310,194,Wigan
38671,Maynor Figueroa,31,DC,182,85,38,True,False,Home,"{'0': 6.0, '2': 6.0, '4': 6.0, '10': 6.12, '17': 6.13, '18': 6.13, '20': 6.12, '22': 6.25, '23': 6.22, '25': 6.36, '26': 6.32, '28': 6.46, '30': 6.46, '33': 6.47, '34': 6.55, '35': 6.7, '36': 6.75, '37': 6.75, '44': 6.76, '45': 6.76, '47': 6.73, '48': 6.66, '50': 6.8, '51': 6.8, '54': 6.79, '57': 6.84, '62': 6.83, '63': 6.81, '64': 6.9, '68': 6.94, '69': 7.02, '73': 7.02, '78': 7.1, '79': 7.08, '81': 7.22, '83': 7.21, '84': 7.31, '86': 7.39, '87': 7.4, '91': 7.5, '93': 7.47, '94': 7.65, '99': 7.88}",7.88,7.24,318310,194,Wigan
27188,Mohamed Diamé,27,DC,184,86,34,True,True,Home,"{'0': 5.99, '1': 6.13, '3': 6.13, '4': 6.23, '5': 6.36, '6': 6.5, '8': 6.68, '9': 6.78, '10': 6.78, '12': 6.78, '14': 6.78, '16': 6.79, '17': 6.81, '20': 6.82, '21': 6.96, '23': 7.23, '29': 7.22, '31': 7.27, '34': 7.37, '36': 7.51, '41': 7.66, '44': 7.66, '45': 7.66, '46': 7.67, '49': 7.65, '50': 7.78, '51': 7.79, '52': 7.76, '55': 7.86, '57': 7.84, '59': 7.84, '60': 7.94, '61': 7.93, '64': 8.03, '65': 8.03, '73': 8.02, '75': 8.15, '80': 8.37, '82': 8.45, '86': 8.65}",8.65,7.24,318310,194,Wigan
5048,Gary Caldwell,5,DL,180,74,39,True,False,Home,"{'0': 5.99, '1': 6.05, '2': 6.06, '3': 6.06, '4': 6.07, '7': 6.12, '10': 6.12, '12': 6.12, '15': 6.12, '16': 6.13, '17': 6.13, '20': 6.12, '21': 6.13, '25': 6.13, '30': 6.14, '31': 6.28, '32': 6.31, '33': 6.32, '34': 6.38, '36': 6.39, '42': 6.38, '49': 6.38, '51': 6.38, '52': 6.46, '54': 6.5, '55': 6.5, '59': 6.51, '68': 6.56, '69': 6.56, '71': 6.61, '80': 6.62, '81': 6.62, '83': 6.63, '88': 6.68, '91': 6.71, '92': 6.7, '93': 6.7, '94': 6.75, '95': 6.74, '98': 6.74, '99': 7.14}",7.14,7.24,318310,194,Wigan
9743,Charles N'Zogbia,14,DMC,170,70,35,True,False,Home,"{'0': 6.0, '1': 6.09, '4': 6.05, '5': 6.06, '6': 6.02, '10': 6.18, '11': 6.29, '12': 6.29, '13': 6.45, '15': 6.43, '17': 6.6, '21': 6.63, '25': 6.63, '26': 6.6, '27': 6.57, '28': 6.56, '33': 6.54, '34': 6.67, '37': 6.9, '40': 6.86, '41': 6.87, '47': 6.88, '50': 7.17, '52': 7.24, '55': 7.25, '59': 7.24, '66': 7.35, '74': 7.34, '77': 7.51, '78': 7.5, '89': 7.51, '90': 7.45, '93': 7.42, '96': 7.36, '99': 7.45}",7.45,7.24,318310,194,Wigan
339,Titus Bramble,19,DMC,185,86,40,True,False,Home,"{'0': 6.02, '2': 6.02, '3': 6.01, '4': 6.02, '7': 6.16, '9': 6.29, '10': 6.37, '12': 6.38, '20': 6.48, '22': 6.49, '23': 6.63, '26': 6.61, '27': 6.81, '29': 6.8, '30': 6.81, '32': 6.91, '34': 6.98, '38': 7.01, '39': 6.9, '44': 6.9, '45': 6.93, '46': 6.92, '49': 6.91, '51': 6.93, '52': 7.13, '56': 7.23, '60': 7.31, '63': 7.3, '65': 7.35, '69': 7.35, '71': 7.4, '72': 7.43, '74': 7.42, '84': 7.58, '87': 7.61, '93': 7.66, '96': 7.77, '97': 7.88, '99': 8.14}",8.14,7.24,318310,194,Wigan
31281,James McCarthy,24,AMR,180,72,31,True,False,Home,"{'0': 6.0, '1': 6.0, '3': 6.0, '5': 6.01, '6': 6.02, '8': 6.02, '9': 6.02, '10': 6.02, '11': 5.99, '12': 5.97, '14': 5.98, '15': 5.96, '16': 5.96, '20': 5.95, '22': 5.94, '27': 5.95, '29': 5.94, '31': 5.94, '32': 5.97, '33': 5.97, '34': 6.07, '35': 6.06, '36': 6.07, '37': 6.23, '38': 6.36, '40': 6.46, '43': 6.44, '45': 6.44, '46': 6.57, '49': 6.75, '58': 6.75, '64': 6.74, '66': 6.75, '67': 6.76, '69': 6.78, '71': 6.81, '74': 6.94, '76': 6.9, '78': 6.99, '84': 7.03, '86': 6.98, '89': 6.95, '93': 6.96, '94': 7.01, '98': 7.04, '99': 7.24}",7.24,7.24,318310,194,Wigan
25011,Hugo Rodallega,20,AMC,181,72,36,True,False,Home,"{'0': 6.0, '3': 5.94, '5': 5.93, '9': 6.03, '14': 6.02, '17': 6.02, '18': 6.16, '19': 6.15, '21': 6.15, '22': 6.16, '27': 6.27, '30': 6.23, '33': 6.24, '34': 7.34, '35': 7.34, '36': 7.47, '41': 7.46, '43': 7.44, '44': 7.43, '46': 7.5, '47': 7.51, '48': 7.51, '50': 7.61, '51': 7.61, '52': 7.61, '60': 7.61, '61': 7.79, '62': 7.96, '63': 7.92, '65': 8.02, '66': 8.02, '67': 7.99, '68': 7.98, '69': 7.98, '70': 7.98, '74': 7.94, '77': 8.13, '79': 8.13, '80': 8.1, '88': 8.09, '89': 8.17, '90': 8.26}",8.26,7.24,318310,194,Wigan
30366,Marcelo Moreno Martins,18,AML,187,87,34,True,False,Home,"{'0': 6.0, '1': 5.99, '4': 6.0, '5': 6.08, '6': 6.04, '7': 6.07, '12': 6.07, '22': 6.07, '24': 6.06, '25': 6.06, '26': 6.06, '31': 6.07, '33': 6.05, '34': 6.25, '36': 6.23, '37': 6.18, '41': 6.18, '45': 6.17, '46': 6.17, '50': 6.16, '51': 6.15, '52': 6.15, '55': 6.16, '60': 6.13, '62': 6.19, '65': 6.36, '67': 6.36, '69': 6.36, '71': 6.41}",6.41,7.24,318310,194,Wigan
