playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
8786,Joe Hart,25,GK,196,91,34,True,False,Home,"{'0': 6.0, '6': 6.0, '11': 5.99, '21': 6.08, '23': 6.1, '25': 6.09, '28': 6.14, '29': 6.16, '31': 6.15, '33': 6.16, '35': 6.15, '38': 6.16, '40': 6.53, '41': 6.55, '44': 6.55, '45': 6.54, '48': 6.55, '49': 6.55, '50': 6.54, '51': 6.55, '53': 6.54, '55': 6.53, '57': 6.51, '58': 6.5, '64': 6.51, '65': 6.52, '67': 6.51, '72': 6.5, '73': 6.49, '79': 6.47, '82': 6.46, '84': 6.45, '86': 6.45, '87': 6.82, '88': 6.83, '91': 6.82, '92': 6.82, '94': 6.81, '95': 6.8, '96': 7.24}",7.24,6.9,318378,157,Birmingham
1354,Stephen Carr,2,DR,175,78,45,True,False,Home,"{'0': 6.0, '1': 6.02, '2': 6.0, '3': 6.0, '6': 6.0, '7': 6.15, '11': 6.14, '16': 6.15, '17': 6.14, '19': 6.14, '24': 6.15, '25': 6.14, '27': 6.14, '29': 6.15, '30': 6.15, '31': 6.18, '33': 6.18, '37': 6.17, '43': 6.16, '48': 6.17, '50': 6.22, '55': 6.21, '61': 6.21, '64': 6.22, '66': 6.21, '68': 6.22, '71': 6.2, '74': 6.2, '76': 6.21, '79': 6.21, '80': 6.21, '84': 6.38, '85': 6.38, '88': 6.38, '89': 6.39, '91': 6.4, '95': 6.42, '96': 6.65}",6.65,6.9,318378,157,Birmingham
6403,Liam Ridgewell,6,DC,188,80,37,True,False,Home,"{'0': 6.05, '1': 6.08, '5': 6.06, '6': 6.03, '7': 6.03, '8': 6.03, '9': 6.06, '14': 6.08, '18': 6.08, '20': 6.07, '24': 6.16, '27': 6.15, '28': 6.28, '32': 6.37, '38': 6.36, '39': 6.41, '41': 6.42, '43': 6.42, '44': 6.41, '45': 6.4, '49': 6.45, '52': 6.45, '60': 6.46, '63': 6.46, '66': 6.46, '67': 6.47, '68': 6.47, '69': 6.48, '71': 6.53, '75': 6.53, '77': 6.53, '79': 6.54, '86': 6.53, '87': 6.63, '89': 6.63, '91': 6.63, '92': 6.64, '93': 6.64, '96': 6.87}",6.87,6.9,318378,157,Birmingham
4737,Barry Ferguson,12,DC,178,73,43,True,False,Home,"{'0': 5.99, '1': 5.99, '5': 5.99, '6': 5.99, '7': 6.01, '8': 6.02, '15': 6.02, '16': 6.02, '17': 6.02, '18': 6.02, '20': 6.02, '24': 5.99, '26': 5.98, '27': 5.98, '29': 5.98, '30': 5.98, '31': 5.99, '32': 5.98, '33': 5.98, '35': 5.99, '36': 5.99, '37': 6.1, '40': 6.11, '42': 6.12, '43': 6.12, '44': 6.12, '45': 6.12, '46': 6.13, '48': 6.13, '49': 6.22, '54': 6.22, '55': 6.22, '58': 6.23, '60': 6.24, '61': 6.28, '63': 6.27, '64': 6.35, '68': 6.36, '73': 6.35, '74': 6.48, '75': 6.51, '78': 6.51, '79': 6.52, '80': 6.53, '84': 6.53, '85': 6.54, '88': 6.54, '92': 6.54, '94': 6.52, '95': 6.52, '96': 6.72}",6.72,6.9,318378,157,Birmingham
8680,Roger Johnson,14,DL,191,70,38,True,False,Home,"{'0': 6.0, '7': 5.99, '8': 5.98, '10': 6.0, '12': 6.05, '13': 6.13, '14': 6.39, '17': 6.4, '20': 6.4, '23': 6.49, '26': 6.48, '27': 6.56, '29': 6.57, '31': 6.58, '32': 6.58, '33': 6.67, '34': 6.8, '39': 6.79, '40': 6.79, '43': 6.81, '44': 6.8, '45': 6.8, '49': 6.8, '54': 6.99, '56': 7.01, '57': 7.03, '60': 7.03, '66': 7.03, '67': 7.03, '69': 7.04, '71': 7.09, '75': 7.09, '76': 7.07, '78': 7.2, '79': 7.2, '89': 7.29, '95': 7.35, '96': 7.61}",7.61,6.9,318378,157,Birmingham
12124,Scott Dann,15,DMC,188,76,34,True,False,Home,"{'0': 6.0, '2': 5.98, '3': 5.97, '7': 5.98, '8': 5.98, '9': 6.04, '10': 6.08, '13': 6.12, '15': 6.14, '17': 6.14, '20': 6.14, '21': 6.14, '23': 6.16, '25': 6.16, '26': 6.16, '29': 6.29, '31': 6.29, '39': 6.3, '40': 6.31, '42': 6.31, '44': 6.31, '45': 6.32, '46': 6.31, '48': 6.3, '49': 6.29, '50': 6.32, '51': 6.34, '52': 6.37, '53': 6.5, '56': 6.61, '58': 6.61, '59': 6.66, '60': 6.71, '63': 6.71, '65': 6.74, '68': 6.73, '70': 6.84, '77': 6.86, '78': 6.88, '79': 6.87, '82': 7.0, '86': 7.05, '88': 7.05, '91': 7.03, '92': 7.11, '93': 7.14, '95': 7.14, '96': 7.41}",7.41,6.9,318378,157,Birmingham
14038,Craig Gardner,33,DMC,178,76,35,True,False,Home,"{'0': 5.99, '3': 5.99, '6': 5.98, '12': 6.12, '13': 6.21, '16': 6.2, '17': 6.19, '18': 6.32, '20': 6.32, '24': 6.32, '25': 6.3, '26': 6.3, '27': 6.31, '28': 6.28, '29': 6.28, '30': 6.26, '33': 6.35, '35': 6.34, '41': 6.34, '42': 6.33, '45': 6.3, '48': 6.26, '50': 6.24, '55': 6.24, '61': 6.21, '63': 6.17, '66': 6.16, '69': 6.16, '70': 6.16, '73': 6.13, '74': 6.21, '87': 6.21, '88': 6.34, '89': 6.32, '91': 6.33, '96': 6.42}",6.42,6.9,318378,157,Birmingham
87,Lee Bowyer,4,AMR,175,66,44,True,True,Home,"{'0': 6.0, '2': 6.1, '3': 6.33, '5': 6.46, '6': 6.46, '7': 6.48, '10': 6.47, '12': 6.45, '14': 6.45, '16': 6.6, '17': 6.61, '18': 6.57, '20': 6.57, '22': 6.56, '26': 6.56, '27': 6.57, '29': 6.57, '30': 6.66, '31': 6.68, '32': 6.68, '33': 6.71, '35': 6.85, '37': 6.86, '38': 7.03, '41': 7.02, '45': 7.02, '48': 7.13, '49': 7.14, '52': 7.17, '53': 7.22, '56': 7.21, '59': 7.19, '63': 7.19, '68': 7.2, '70': 7.31, '71': 7.3, '73': 7.44, '75': 7.43, '77': 7.4, '79': 7.4, '83': 7.53, '84': 7.54, '86': 7.67, '87': 7.65, '88': 7.68, '89': 7.7, '93': 7.69, '96': 7.89}",7.89,6.9,318378,157,Birmingham
29086,Keith Fahey,18,AMC,177,79,38,True,False,Home,"{'0': 6.0, '6': 6.13, '9': 6.18, '10': 6.18, '17': 6.19, '19': 6.26, '20': 6.27, '21': 6.26, '26': 6.26, '27': 6.25, '28': 6.24, '29': 6.21, '30': 6.21, '33': 6.29, '36': 6.43, '37': 6.43, '38': 6.43, '41': 6.6, '43': 6.6, '44': 6.73, '45': 6.74, '46': 6.81, '48': 6.82, '54': 6.82, '58': 6.79, '59': 6.8, '60': 6.8, '63': 6.82, '65': 6.9}",6.9,6.9,318378,157,Birmingham
10737,Cameron Jerome,10,AML,185,85,35,True,False,Home,"{'0': 5.99, '6': 5.99, '7': 5.99, '10': 6.01, '11': 6.0, '15': 5.98, '17': 5.98, '20': 5.94, '23': 5.91, '24': 6.25, '26': 6.24, '30': 6.32, '37': 6.31, '39': 6.38, '40': 6.39, '41': 6.47, '44': 6.44, '48': 6.45, '49': 6.49, '51': 6.56, '53': 6.62, '55': 6.61, '57': 6.59, '59': 6.63, '64': 6.71, '67': 6.69, '68': 6.68, '69': 6.74, '72': 6.73, '73': 6.71, '75': 6.68, '78': 6.67, '80': 6.74, '91': 6.73, '93': 6.81, '95': 6.8, '96': 6.85}",6.85,6.9,318378,157,Birmingham
