id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1358390731,2,0,0,71,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,,,,,,,,,,
232704399,2,0,0,80,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,,,,,,,,,,
23311299,3,0,0,80,50,51,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.0'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '50.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 38, 216, 217",True,8013,50.0,48.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Klaas Jan Huntelaar,11,MC,True,False,6.38,7.18,,,
485141937,4,0,2,80,50,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.7'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 35, 37, 216, 217",True,23158,38.7,49.5,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Alexandre Pato,7,FW,True,False,7.22,7.18,,,
913817990,5,0,3,80,38,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '83.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '41.9'}","91, 117, 30, 36, 37, 216, 217",True,2579,41.9,83.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Andrea Pirlo,21,DC,True,False,7.76,7.18,,,
857525237,6,0,10,80,42,85,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '91.4'}","91, 120, 29, 124, 36, 37, 216, 217",True,798,52.4,91.4,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Giuseppe Favalli,19,DC,True,False,6.5,7.18,,,
974923517,3,0,13,71,33,2,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 15, 'displayName': 'Head'}}","91, 94, 95, 57",True,17946,,,,,,,,,,,,1,12,1,FirstHalf,Clearance,Successful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Andrea Raggi,84,DR,True,False,6.7,6.52,,,
1107834323,8,0,14,80,56,100,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '96.4'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '66.3'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}","212, 36, 38, 216, 217",False,798,66.3,96.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Giuseppe Favalli,19,DC,True,False,6.5,7.18,,,
2127776213,9,0,19,80,66,95,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '62.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '97.2'}","91, 120, 29, 35, 37, 216, 217",True,1690,62.0,97.2,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Clarence Seedorf,10,FW,True,False,8.06,7.18,,,
2023817271,710,0,20,71,27,4,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '31.8'}","91, 118, 120, 29, 36, 37, 215, 217",True,881,31.8,4.9,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347357,20/09/2009 15:56:06,0,Giuseppe Meazza,Paolo Valeri,,2009-09-20T14:00:00,2009-09-20,1 : 0,0 : 0,1 : 0,,,1,0,6,-1,80,AC Milan,71,Bologna,2009-09-20: AC Milan (1) vs. Bologna (0),3,41212,2,442,Cristian Zenoni,21,DC,True,False,6.44,6.52,,,
