id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
295436691,2,0,0,271,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,,,,,,,,,,
1246026236,2,0,0,87,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,,,,,,,,,,
1433762430,3,0,3,87,50,51,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '53.8'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.8'}","91, 119, 117, 30, 36, 38, 216, 217",True,5795,53.8,48.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Amauri,11,AML,True,True,9.87,7.64,,,
2358956,4,0,4,87,54,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '67.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.8'}","91, 117, 30, 35, 37, 215, 217",True,7417,30.8,67.6,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Diego,28,FW,True,False,7.88,7.64,,,
903123609,5,0,6,87,30,68,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '67.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '48.8'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 120, 128, 36, 38",True,9991,67.5,48.8,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Giorgio Chiellini,3,DMC,True,False,8.29,7.64,,,
496031903,6,0,7,87,66,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 13, 'displayName': 'Foul'}}",63,False,5795,,,,,,,,,,,,1,4,1,FirstHalf,Foul,Successful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Amauri,11,AML,True,True,9.87,7.64,,,
700394607,3,0,7,271,29,61,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",64,False,4397,,,,,,,,,,,,1,4,0,FirstHalf,Foul,Unsuccessful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Stefano Lucchini,6,MC,True,False,5.73,6.15,,,
420306981,923,0,38,87,70,44,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '66.6'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '100.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 2, 'displayName': 'Cross'}}","91, 124, 126, 36, 37",True,7417,100.0,66.6,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Diego,28,FW,True,False,7.88,7.64,,,
1725171735,5,0,59,271,5,37,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.3'}, {'type': {'value': 124, 'displayName': 'GoalKick'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '29.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 120, 128, 36, 38, 216, 217",True,3155,60.3,29.1,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Luca Castellazzi,1,GK,True,False,5.79,6.15,,,
1618136437,712,1,1,271,55,23,1,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}",198,False,9975,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,347469,28/10/2009 21:34:14,0,Olimpico Grande Torino,Gianluca Rocchi,,2009-10-28T19:45:00,2009-10-28,5 : 1,2 : 0,5 : 1,,,5,1,6,-1,87,Juventus,271,Sampdoria,2009-10-28: Juventus (5) vs. Sampdoria (1),8.0,4231,2,442,Giampaolo Pazzini,10,ML,True,False,7.31,6.15,,,
