id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1091969397,2,0,0,82,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,,,,,,,,,,
914011430,2,0,0,74,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,,,,,,,,,,
41201193,3,0,1,82,49,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '47.7'}","91, 119, 117, 30, 36, 38, 216, 217",True,2555,51.5,47.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Stefano Morrone,4,DC,True,False,7.38,7.13,,,
540680881,4,0,3,82,51,47,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '49.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '28.4'}","91, 117, 30, 35, 37, 215, 217",True,33834,28.4,49.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Alberto Paloschi,43,FW,True,False,8.08,7.13,,,
1000355440,5,0,5,82,28,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '30.1'}, {'type': {'value': 1, 'displayName': 'Longball'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '71.0'}","91, 119, 117, 124, 127, 205, 36, 38",True,1044,71.0,30.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Christian Panucci,2,DML,True,True,8.08,7.13,,,
73675098,7,0,6,82,71,30,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}",197,False,33834,,,,,,,,,,,,1,44,1,FirstHalf,Aerial,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Alberto Paloschi,43,FW,True,False,8.08,7.13,,,
1079695383,8,0,7,82,70,31,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '79.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.4'}","91, 120, 29, 36, 37",True,33834,79.1,31.4,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Alberto Paloschi,43,FW,True,False,8.08,7.13,,,
1805896231,3,0,9,74,26,71,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 44, 'displayName': 'Aerial'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",198,False,11845,,,,,,,,,,,,1,44,0,FirstHalf,Aerial,Unsuccessful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Alessandro Gazzi,14,MC,True,False,6.48,6.38,,,
202783240,4,0,11,74,7,52,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 52, 'displayName': 'KeeperPickup'}","{'value': 1, 'displayName': 'Successful'}",,"91, 93",True,52447,,,,,,,,,,,,1,52,1,FirstHalf,KeeperPickup,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Jean-François Gillet,1,GK,True,False,5.92,6.38,,,
1719492772,5,0,12,74,8,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '13.9'}, {'type': {'value': 123, 'displayName': 'KeeperThrow'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '16.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 36, 38, 215, 217",True,52447,16.7,13.9,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347473,28/10/2009 21:38:19,0,Ennio Tardini,Leonardo Baracani,,2009-10-28T19:45:00,2009-10-28,2 : 0,0 : 0,2 : 0,,,2,0,6,-1,82,Parma Calcio 1913,74,Bari,2009-10-28: Parma Calcio 1913 (2) vs. Bari (0),12.0,352,2,442,Jean-François Gillet,1,GK,True,False,5.92,6.38,,,
