id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
254778698,2,0,0,300,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,,,,,,,,,,
1800164271,2,0,0,271,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,,,,,,,,,,
226032479,3,0,2,271,50,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '53.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.7'}","91, 119, 117, 30, 36, 37, 216, 217",True,9975,51.7,53.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Giampaolo Pazzini,10,FW,True,False,8.23,7.29,,,
2003581017,4,0,4,271,51,53,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '60.6'}","91, 117, 30, 35, 37, 215, 217",True,17947,29.0,60.6,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Nicola Pozzi,9,FW,True,False,6.96,7.29,,,
1930722426,5,0,6,271,29,60,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '30.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '93.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 117, 30, 36, 37, 215, 217",True,17952,30.2,93.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Marco Rossi,13,DC,True,False,7.58,7.29,,,
2058182386,6,0,8,271,30,96,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '45.5'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '100.0'}","91, 118, 120, 29, 36, 37, 216, 217",True,10734,45.5,100.0,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Reto Ziegler,3,DL,True,False,7.26,7.29,,,
577918379,4,0,21,300,57,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '70.6'}, {'type': {'value': 107, 'displayName': 'ThrowIn'}}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '4.7'}","212, 36, 37",False,12492,70.6,4.7,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,György Garics,8,DR,True,False,6.43,6.67,,,
553722231,5,0,24,300,71,4,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Right'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '9.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '73.8'}","91, 120, 29, 36, 37",True,5612,73.8,9.3,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Simone Tiribocchi,90,FW,True,False,5.98,6.67,,,
447840920,8,0,25,271,24,90,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 12, 'displayName': 'Clearance'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}","91, 95",True,17952,,,,,,,,,,,,1,12,0,FirstHalf,Clearance,Unsuccessful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Marco Rossi,13,DC,True,False,7.58,7.29,,,
44054299,6,0,31,300,27,50,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '79.8'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.2'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Left'}, {'type': {'value': 1, 'displayName': 'Longball'}}","91, 120, 124, 128, 36, 37, 216, 217",True,11348,60.2,79.8,,,,,,,,,,1,1,0,FirstHalf,Pass,Unsuccessful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Leonardo Talamonti,2,DC,True,False,7.47,6.67,,,
1179153518,9,0,34,271,30,12,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 49, 'displayName': 'BallRecovery'}","{'value': 1, 'displayName': 'Successful'}",,93,False,263,,,,,,,,,,,,1,49,1,FirstHalf,BallRecovery,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Luciano Zauri,8,DR,True,False,7.16,7.29,,,
295807199,10,0,35,271,33,17,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '31.8'}, {'type': {'value': 155, 'displayName': 'Chipped'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '60.7'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}","91, 119, 117, 30, 124, 36, 37, 216, 217",True,263,60.7,31.8,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347715,31/01/2010 15:53:10,0,Luigi Ferraris,Domenico Celi,,2010-01-31T14:00:00,2010-01-31,2 : 0,2 : 0,2 : 0,,,2,0,6,-1,271,Sampdoria,300,Atalanta,2010-01-31: Sampdoria (2) vs. Atalanta (0),2,442,6.0,4411,Luciano Zauri,8,DR,True,False,7.16,7.29,,,
