id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
1622752926,2,0,0,1285,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,,,,,,,,,,
516793006,2,0,0,75,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,,,,,,,,,,
2079986472,3,0,1,75,50,48,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '52.5'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.1'}","91, 119, 117, 30, 36, 37, 216, 217",True,10090,52.1,52.5,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Diego Milito,22,FW,True,False,7.42,6.88,,,
1835392223,4,0,2,75,51,52,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.6'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '45.0'}","91, 117, 30, 35, 38, 216, 217",True,1594,38.6,45.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Samuel Eto'o,9,MC,True,False,6.47,6.88,,,
2081300640,5,0,3,75,38,45,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '32.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.4'}","91, 117, 30, 36, 38, 216, 217",True,9838,38.4,32.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Esteban Cambiasso,19,DC,True,False,7.05,6.88,,,
636985634,6,0,4,75,38,32,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '34.2'}","91, 117, 30, 35, 38, 216, 217",True,2668,34.2,3.1,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Javier Zanetti,4,MC,True,False,6.58,6.88,,,
1102961466,7,0,7,75,36,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '49.8'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '3.0'}","91, 117, 30, 36, 37, 216, 217",True,8007,49.8,3.0,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Maicon,13,DR,True,False,7.36,6.88,,,
740683482,3,0,9,1285,46,92,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 0, 'displayName': 'Unsuccessful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 13, 'displayName': 'Foul'}}",64,False,13356,,,,,,,,,,,,1,4,0,FirstHalf,Foul,Unsuccessful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Federico Balzaretti,42,DC,True,False,6.61,6.85,,,
1155586341,8,0,9,75,49,3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 4, 'displayName': 'Foul'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 13, 'displayName': 'Foul'}}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}",63,False,10090,,,,,,,,,,,,1,4,1,FirstHalf,Foul,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Diego Milito,22,FW,True,False,7.42,6.88,,,
2142439267,9,0,28,75,50,3,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '21.6'}, {'type': {'value': 5, 'displayName': 'FreekickTaken'}}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '50.3'}","91, 119, 117, 30, 132, 35, 37, 216, 217",True,8007,50.3,21.6,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347979,20/03/2010 21:38:04,0,Renzo Barbera,Antonio Damato,,2010-03-20T19:45:00,2010-03-20,1 : 1,1 : 1,1 : 1,,,1,1,6,-1,1285,Palermo FC,75,Inter,2010-03-20: Palermo FC (1) vs. Inter (1),3,41212,3.0,41212,Maicon,13,DR,True,False,7.36,6.88,,,
