id,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,cardType,isGoal,periodId,typeId,outcomeTypeId,periodName,typeName,outcomeTypeName,matchId,timeStamp,attendance,venueName,refereeName,weatherCode,startTime,matchDate,finalScore,htScore,ftScore,etScore,pkScore,homeGoals,awayGoals,statusCode,periodCode,homeTeamId,homeTeamName,awayTeamId,awayTeamName,fullFixture ,homeFormationId,homeFormationName,awayFormationId,awayFormationName,name,number,position,isStarter,isManOfTheMatch,finalPlayerRating,finalTeamRating,relatedPlayerName,relatedPlayerNumber,relatedPlayerPosition
779143175,2,0,0,78,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,,,,,,,,,,
779143175,2,0,0,78,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,,,,,,,,,,
1926732344,2,0,0,86,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,,,,,,,,,,
1926732344,2,0,0,86,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 32, 'displayName': 'Start'}","{'value': 1, 'displayName': 'Successful'}",,,False,,,,,,,,,,,,,1,32,1,FirstHalf,Start,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,,,,,,,,,,
160948336,386,0,0,78,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 40, 'displayName': 'FormationChange'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 30, 'displayName': 'InvolvedPlayers'}, 'value': '44089,14127,2632,9931,17950,44643,14070,10233,25079,10608,52380,34938,0,2832,2139,74922,34135'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '22, 4, 31, 5, 21, 13, 8, 10, 32, 27, 28, 3, 15, 20, 24, 29, 30'}, {'type': {'value': 130, 'displayName': 'TeamFormation'}, 'value': '4'}, {'type': {'value': 131, 'displayName': 'TeamPlayerFormation'}, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': '1, 3, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5'}",,False,,,,,,,,,,,,,1,40,1,FirstHalf,FormationChange,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,,,,,,,,,,
160948336,386,0,0,78,0,0,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 40, 'displayName': 'FormationChange'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 30, 'displayName': 'InvolvedPlayers'}, 'value': '44089,14127,2632,9931,17950,44643,14070,10233,25079,10608,52380,34938,0,2832,2139,74922,34135'}, {'type': {'value': 59, 'displayName': 'JerseyNumber'}, 'value': '22, 4, 31, 5, 21, 13, 8, 10, 32, 27, 28, 3, 15, 20, 24, 29, 30'}, {'type': {'value': 130, 'displayName': 'TeamFormation'}, 'value': '4'}, {'type': {'value': 131, 'displayName': 'TeamPlayerFormation'}, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'type': {'value': 44, 'displayName': 'PlayerPosition'}, 'value': '1, 3, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5'}",,False,,,,,,,,,,,,,1,40,1,FirstHalf,FormationChange,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,,,,,,,,,,
1206272216,3,0,1,78,50,47,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.6'}","91, 119, 117, 30, 36, 37, 216, 217",True,10608,51.6,51.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,Jeda,27,FW,True,False,8.17,6.73,,,
1206272216,3,0,1,78,50,47,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '51.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '51.6'}","91, 119, 117, 30, 36, 37, 216, 217",True,10608,51.6,51.4,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,Jeda,27,FW,True,False,8.17,6.73,,,
85554653,4,0,2,78,50,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.3'}","91, 117, 30, 35, 37, 215, 217",True,9931,29.9,58.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,Daniele Conti,5,MC,True,False,7.05,6.73,,,
85554653,4,0,2,78,50,49,0,"{'value': 1, 'displayName': 'FirstHalf'}","{'value': 1, 'displayName': 'Pass'}","{'value': 1, 'displayName': 'Successful'}","{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '29.9'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '58.3'}","91, 117, 30, 35, 37, 215, 217",True,9931,29.9,58.3,,,,,,,,,,1,1,1,FirstHalf,Pass,Successful,347895,02/05/2010 15:49:16,0,Sant'Elia,Maurizio Ciampi,,2010-05-02T14:00:00,2010-05-02,2 : 2,1 : 2,2 : 2,,,2,2,6,-1,78,Cagliari,86,Udinese,2010-05-02: Cagliari (2) vs. Udinese (2),4.0,433,4,433,Daniele Conti,5,MC,True,False,7.05,6.73,,,
