playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
30966,Fernando Muslera,86,GK,190,84,35,True,False,Home,"{'0': 6.0, '7': 6.32, '9': 6.42, '10': 6.52, '12': 6.52, '13': 6.62, '23': 6.71, '26': 6.69, '29': 6.74, '30': 6.74, '40': 6.75, '41': 6.74, '44': 6.74, '50': 6.75, '53': 6.76, '58': 6.75, '61': 6.76, '62': 6.77, '63': 6.77, '64': 6.76, '65': 6.78, '66': 7.15, '67': 7.17, '70': 7.27, '72': 7.29, '73': 7.3, '74': 7.03, '78': 6.7, '80': 6.8, '82': 7.05, '88': 7.04, '96': 7.48, '97': 7.14}",7.14,6.67,347334,77,Lazio
15302,Stephan Lichtsteiner,2,DR,182,72,37,True,False,Home,"{'0': 6.24, '1': 6.2, '2': 6.19, '3': 6.2, '10': 6.25, '11': 6.25, '12': 6.25, '15': 6.25, '19': 6.21, '21': 6.18, '22': 6.18, '24': 6.17, '28': 6.17, '31': 6.28, '33': 6.3, '34': 6.3, '38': 6.31, '48': 6.3, '51': 6.31, '52': 6.48, '54': 6.48, '59': 6.48, '61': 6.47, '63': 6.57, '67': 6.58, '68': 6.58, '69': 6.57, '70': 6.56, '71': 6.56, '74': 6.39, '77': 6.16, '78': 6.36, '80': 6.18, '84': 6.16, '85': 6.16, '86': 6.15, '87': 6.13, '89': 6.13, '90': 6.14, '91': 6.22, '92': 6.22, '95': 6.23, '96': 5.49, '97': 5.25}",5.25,6.67,347334,77,Lazio
731,Roberto Baronio,33,DC,180,74,44,True,False,Home,"{'0': 6.2, '1': 6.31, '3': 6.32, '5': 6.32, '6': 6.32, '8': 6.31, '10': 6.44, '12': 6.52, '13': 6.54, '16': 6.53, '17': 6.64, '18': 6.63, '20': 6.62, '21': 6.62, '24': 6.72, '27': 6.72, '28': 6.89, '30': 7.06, '31': 7.06, '32': 7.04, '33': 7.1, '34': 7.11, '36': 7.1, '38': 7.1, '42': 7.11, '48': 7.1, '50': 7.09, '52': 7.18, '54': 7.23, '55': 7.2, '56': 7.19, '59': 7.17, '61': 7.16, '62': 7.17, '68': 7.17, '73': 7.3, '74': 7.15, '76': 6.95, '77': 6.97, '78': 6.97, '80': 7.05, '83': 7.05, '84': 7.05, '85': 7.03, '87': 7.03, '88': 7.11, '90': 7.14, '92': 7.14, '93': 7.18, '94': 7.18, '96': 7.23, '97': 7.03}",7.03,6.67,347334,77,Lazio
12267,Aleksandar Kolarov,11,DC,187,81,36,True,False,Home,"{'0': 6.0, '2': 6.23, '3': 6.22, '4': 6.21, '5': 6.2, '8': 6.2, '12': 6.25, '13': 6.26, '14': 6.25, '17': 6.34, '18': 6.34, '20': 6.67, '21': 6.68, '24': 6.66, '25': 6.65, '27': 6.74, '29': 6.74, '30': 6.88, '31': 6.87, '32': 6.87, '35': 6.93, '36': 6.93, '37': 6.98, '38': 6.98, '39': 6.98, '41': 6.98, '46': 7.18, '51': 7.23, '54': 7.23, '55': 7.23, '56': 7.27, '58': 7.27, '59': 7.27, '60': 7.28, '61': 7.29, '62': 7.3, '66': 7.3, '67': 7.3, '70': 7.31, '74': 7.14, '75': 6.9, '76': 6.95, '77': 6.92, '78': 6.94, '81': 6.94, '82': 6.94, '83': 7.08, '85': 7.08, '86': 7.08, '87': 7.08, '88': 7.08, '90': 7.07, '91': 7.07, '92': 7.07, '94': 7.05, '95': 7.06, '96': 7.13, '97': 6.9}",6.9,6.67,347334,77,Lazio
24895,Modibo Diakité,87,DL,192,84,34,True,False,Home,"{'0': 6.32, '2': 6.33, '3': 6.32, '4': 6.32, '5': 6.32, '6': 6.54, '11': 6.59, '12': 6.67, '13': 6.73, '14': 6.78, '18': 6.77, '19': 6.77, '22': 6.98, '25': 6.98, '27': 6.98, '33': 7.01, '34': 7.02, '37': 7.04, '39': 7.05, '40': 7.16, '41': 7.18, '48': 7.18, '49': 7.23, '50': 7.24, '52': 7.78, '63': 7.79, '64': 7.82, '68': 7.82, '69': 7.91, '72': 7.95, '73': 7.95, '74': 7.84, '77': 7.92, '78': 7.94, '79': 7.99, '83': 8.0, '85': 8.0, '87': 8.0, '91': 8.0, '92': 8.0, '94': 7.98, '96': 8.05, '97': 7.78}",7.78,6.67,347334,77,Lazio
2690,Sebastiano Siviglia,13,DMC,182,70,48,True,False,Home,"{'0': 6.27, '3': 6.38, '4': 6.38, '5': 6.38, '8': 6.37, '11': 6.4, '13': 6.4, '14': 6.48, '15': 6.5, '21': 6.68, '27': 6.7, '28': 6.68, '31': 6.68, '34': 7.07, '35': 7.06, '38': 7.06, '40': 7.09, '41': 7.09, '42': 7.49, '44': 7.5, '49': 7.48, '51': 7.51, '57': 7.59, '67': 7.6, '68': 7.61, '74': 7.41, '77': 7.14, '84': 7.15, '85': 7.18, '87': 7.18, '89': 7.17, '90': 7.17, '95': 7.17, '96': 7.24, '97': 6.97}",6.97,6.67,347334,77,Lazio
475,Ousmane Dabo,6,MC,183,73,44,True,False,Home,"{'0': 6.23, '1': 6.22, '2': 6.22, '4': 6.22, '6': 6.22, '11': 6.24, '12': 6.23, '13': 6.24, '15': 6.32, '16': 6.45, '21': 6.45, '24': 6.55, '25': 6.68, '28': 6.73, '29': 6.73, '31': 6.73, '32': 6.87, '33': 6.94, '34': 7.03, '38': 7.13, '49': 7.14, '50': 7.27, '51': 7.26, '52': 7.26, '54': 7.26, '55': 7.21, '57': 7.26, '68': 7.26, '69': 7.26, '70': 7.26, '74': 7.14, '79': 7.01}",7.01,6.67,347334,77,Lazio
6053,Pasquale Foggia,17,MC,172,71,38,True,False,Home,"{'0': 6.08, '1': 6.07, '3': 6.07, '8': 6.06, '9': 6.03, '12': 6.02, '15': 6.06, '19': 6.04, '22': 5.99, '27': 6.03, '29': 6.06, '33': 6.06, '34': 6.11, '39': 6.08, '42': 6.08, '44': 6.19, '45': 6.29, '48': 6.29, '49': 6.3, '50': 6.28, '53': 6.27, '54': 6.24, '57': 6.22, '58': 6.21, '59': 6.4, '60': 6.52, '61': 6.55, '62': 6.55, '68': 6.7, '69': 6.7, '70': 6.81, '71': 6.8, '73': 6.8, '74': 6.73, '78': 6.68, '80': 6.67, '82': 6.67}",6.67,6.67,347334,77,Lazio
4138,Stefano Mauri,5,AMC,184,79,41,True,False,Home,"{'0': 6.14, '2': 6.12, '3': 6.12, '4': 6.2, '6': 6.21, '7': 6.21, '8': 6.21, '11': 6.35, '13': 6.35, '18': 6.35, '20': 6.45, '21': 6.45, '22': 6.44, '25': 6.44, '26': 6.44, '29': 6.57, '31': 6.51, '34': 6.51, '37': 6.52, '38': 6.52, '41': 6.53, '42': 6.55, '44': 6.55, '55': 6.54, '56': 6.71, '57': 6.71, '58': 6.71, '60': 6.7, '62': 6.78, '68': 6.79, '69': 6.93, '71': 6.93, '74': 6.81, '75': 6.68, '76': 6.67, '80': 6.68, '84': 6.68, '86': 6.72, '87': 6.76, '88': 6.79, '90': 6.79, '92': 6.79, '96': 6.8, '97': 6.67}",6.67,6.67,347334,77,Lazio
203,Julio Cruz,74,FW,190,78,47,True,False,Home,"{'0': 6.0, '1': 6.05, '6': 6.22, '11': 6.22, '12': 6.22, '13': 6.2, '18': 6.22, '19': 6.19, '23': 6.17, '24': 6.14, '30': 6.15, '32': 6.14, '35': 6.08, '38': 6.16, '40': 6.23, '42': 6.4, '46': 6.38, '48': 6.37, '50': 6.44, '53': 6.52, '54': 6.53, '55': 6.53, '58': 6.51, '65': 6.52, '66': 6.55, '68': 6.55, '70': 6.55, '73': 6.63, '74': 6.56, '78': 6.51, '88': 6.49, '91': 6.66, '92': 6.66, '95': 6.68, '96': 6.66, '97': 6.61}",6.61,6.67,347334,77,Lazio
486,Matuzalém,8,FW,175,70,41,True,False,Home,"{'0': 6.09, '2': 6.08, '3': 6.08, '4': 6.09, '5': 6.1, '6': 6.1, '7': 6.1, '9': 6.2, '11': 6.2, '12': 6.34, '13': 6.34, '14': 6.34, '15': 6.34, '17': 6.32, '19': 6.31, '20': 6.4, '21': 6.39, '24': 6.4, '27': 6.4, '28': 6.4, '31': 6.39, '32': 6.38, '33': 6.41, '34': 6.39, '37': 6.35, '38': 6.36, '39': 6.36, '42': 6.36, '45': 6.4, '48': 6.4, '51': 6.4, '52': 6.45, '53': 6.62, '54': 6.71, '55': 6.72, '56': 6.72, '61': 6.79, '64': 6.87, '65': 6.84, '68': 6.84, '69': 6.85, '70': 6.84, '74': 6.74, '76': 6.64, '78': 6.65, '80': 6.61, '83': 6.61, '86': 6.61, '87': 6.62, '88': 6.62, '90': 6.64, '92': 6.84, '95': 6.92, '96': 6.91, '97': 6.82}",6.82,6.67,347334,77,Lazio
2567,Simone Inzaghi,21,Sub,185,82,45,False,False,Home,"{'79': 6.03, '80': 6.03, '81': 6.03, '84': 6.04, '87': 6.04, '88': 6.04, '89': 6.04, '94': 6.05, '95': 6.05, '96': 5.95, '97': 5.91}",5.91,6.67,347334,77,Lazio
23309,Eliseu,7,Sub,175,75,38,False,False,Home,"{'82': 6.04, '83': 6.01, '85': 6.02, '86': 6.03, '88': 6.03, '90': 6.03, '91': 6.05, '92': 6.05, '93': 6.05, '94': 6.04, '95': 6.04, '96': 5.94, '97': 5.91}",5.91,6.67,347334,77,Lazio
4776,Mourad Meghni,23,Sub,180,72,37,False,False,Home,,,6.67,347334,77,Lazio
4444,Albano Bizzarri,1,Sub,193,89,44,False,False,Home,,,6.67,347334,77,Lazio
14137,Guglielmo Stendardo,28,Sub,190,89,40,False,False,Home,,,6.67,347334,77,Lazio
1739,Simone Del Nero,81,Sub,187,76,40,False,False,Home,,,6.67,347334,77,Lazio
