playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
6022,Marco Amelia,32,GK,190,90,39,True,False,Home,"{'0': 6.34, '1': 6.33, '3': 6.34, '4': 6.33, '5': 6.33, '13': 6.38, '14': 6.76, '20': 6.77, '21': 6.76, '22': 6.77, '28': 6.79, '31': 6.8, '36': 7.0, '41': 7.01, '42': 7.06, '43': 7.07, '46': 7.06, '47': 7.05, '50': 7.06, '53': 7.05, '54': 7.06, '57': 7.05, '64': 6.79, '67': 6.46, '70': 6.45, '71': 6.44, '74': 6.83, '77': 6.69, '78': 6.68, '81': 6.95, '82': 6.94, '85': 6.95, '89': 6.94, '93': 6.93, '95': 6.92, '96': 6.92}",6.92,7.03,347467,278,Genoa
22210,Sokratis Papastathopoulos,15,DR,186,85,33,True,False,Home,"{'0': 6.0, '1': 6.39, '2': 6.4, '4': 6.4, '5': 6.42, '6': 6.42, '7': 6.46, '9': 6.44, '11': 6.55, '12': 6.6, '13': 6.59, '14': 6.56, '16': 6.54, '17': 6.55, '19': 6.58, '21': 6.72, '23': 6.71, '27': 6.76, '28': 6.76, '30': 6.78, '31': 6.78, '32': 6.78, '35': 6.78, '39': 6.78, '40': 6.78, '42': 6.86, '43': 6.89, '47': 6.9, '52': 6.95, '53': 6.95, '54': 6.93, '55': 6.92, '57': 6.93, '58': 6.92, '59': 6.92, '62': 6.97, '63': 7.02, '64': 6.86, '65': 6.62, '67': 6.61, '68': 6.6, '69': 6.58, '70': 6.58, '74': 6.9, '76': 6.69, '77': 6.68, '79': 6.73, '94': 6.75, '96': 6.75}",6.75,7.03,347467,278,Genoa
630,Marco Rossi,7,DC,179,71,43,True,False,Home,"{'0': 6.14, '1': 6.13, '2': 6.12, '5': 6.12, '6': 6.12, '7': 6.13, '10': 6.13, '13': 6.13, '17': 6.13, '19': 6.14, '22': 6.14, '28': 6.32, '30': 6.35, '32': 6.37, '33': 6.36, '35': 6.41, '39': 6.42, '40': 6.42, '42': 6.54, '48': 6.51, '51': 6.5, '52': 6.49, '53': 6.49, '58': 6.58, '59': 6.56, '60': 6.56, '63': 6.53, '64': 6.4, '68': 6.19, '70': 6.19, '71': 6.22, '74': 6.52, '80': 6.48, '83': 6.49, '84': 6.63, '86': 6.68, '87': 6.67, '90': 6.77, '92': 6.87, '94': 7.0, '96': 7.0}",7.0,7.03,347467,278,Genoa
12349,Francesco Modesto,23,DC,177,73,39,True,False,Home,"{'0': 6.26, '1': 6.31, '2': 6.33, '4': 6.32, '6': 6.32, '7': 6.32, '9': 6.34, '14': 6.33, '17': 6.29, '18': 6.32, '19': 6.33, '20': 6.45, '22': 6.43, '24': 6.44, '26': 6.43, '29': 6.48, '31': 6.51, '33': 6.68, '34': 6.82, '38': 6.92, '40': 7.0, '41': 7.0, '42': 7.25, '47': 7.25, '48': 7.34, '50': 7.34, '51': 7.34, '53': 7.34, '54': 7.35, '55': 7.36, '57': 7.36, '60': 7.37, '64': 7.2, '67': 6.97, '71': 6.97, '72': 6.96, '74': 7.28, '77': 7.03, '79': 7.01, '81': 7.01}",7.01,7.03,347467,278,Genoa
9937,Giuseppe Biava,25,DL,180,73,44,True,False,Home,"{'0': 6.25, '1': 6.25, '4': 6.27, '5': 6.27, '6': 6.28, '7': 6.31, '10': 6.33, '12': 6.38, '16': 6.39, '19': 6.37, '21': 6.42, '22': 6.42, '26': 6.27, '30': 6.24, '31': 6.22, '33': 6.23, '36': 6.25, '37': 6.25, '39': 6.24, '40': 6.29, '42': 6.36, '47': 6.38, '50': 6.48, '52': 6.51, '55': 6.49, '57': 6.5, '60': 6.6, '61': 6.58, '63': 6.58, '64': 6.38, '65': 6.11, '67': 6.11, '68': 6.15, '69': 6.15, '71': 6.15, '72': 6.2, '74': 6.53, '76': 6.47, '78': 6.48, '81': 6.5, '84': 6.55, '85': 6.65, '88': 6.68, '90': 6.73, '91': 6.78, '94': 6.8, '96': 6.8}",6.8,7.03,347467,278,Genoa
23065,Salvatore Bocchetti,26,MC,186,81,35,True,False,Home,"{'0': 6.27, '1': 6.25, '3': 6.28, '4': 6.26, '5': 6.4, '7': 6.5, '8': 6.52, '9': 6.55, '13': 6.63, '14': 6.62, '18': 6.75, '19': 6.78, '21': 6.8, '22': 6.81, '24': 6.83, '25': 6.88, '27': 6.87, '29': 6.87, '30': 6.9, '32': 7.0, '34': 7.11, '35': 7.14, '36': 7.19, '41': 7.19, '42': 7.31, '44': 7.31, '45': 7.44, '48': 7.43, '54': 7.46, '55': 7.57, '57': 7.57, '60': 7.56, '61': 7.7, '63': 7.55, '64': 7.35, '67': 7.08, '72': 7.13, '74': 7.47, '75': 7.18, '76': 7.21, '77': 7.22, '82': 7.24, '84': 7.37, '87': 7.42, '90': 7.41, '91': 7.46, '93': 7.48, '96': 7.48}",7.48,7.03,347467,278,Genoa
4134,Omar Milanetto,77,MC,175,73,46,True,False,Home,"{'0': 6.0, '3': 6.16, '4': 6.12, '5': 6.12, '6': 6.12, '7': 6.23, '9': 6.24, '10': 6.23, '11': 6.23, '12': 6.22, '13': 6.24, '16': 6.25, '17': 6.25, '22': 6.26, '26': 6.28, '27': 6.24, '28': 6.35, '29': 6.35, '31': 6.35, '32': 6.35, '33': 6.35, '34': 6.34, '35': 6.32, '40': 6.31, '41': 6.41, '42': 6.53, '44': 6.53, '47': 6.53, '50': 6.54, '51': 6.54, '52': 6.54, '53': 6.54, '54': 6.54, '55': 6.55, '57': 6.54, '58': 6.64, '59': 6.64, '60': 6.64, '62': 6.69, '63': 6.69, '64': 6.56, '67': 6.44, '70': 6.52, '71': 6.53, '74': 6.8, '80': 6.66, '83': 6.67, '86': 6.67, '91': 6.67, '92': 6.68, '96': 6.68}",6.68,7.03,347467,278,Genoa
9457,Alberto Zapater,21,MC,180,80,36,True,False,Home,"{'0': 6.0, '1': 6.14, '4': 6.15, '5': 6.22, '6': 6.22, '8': 6.21, '11': 6.22, '12': 6.22, '13': 6.23, '17': 6.23, '18': 6.23, '20': 6.24, '22': 6.23, '24': 6.23, '25': 6.26, '27': 6.26, '28': 6.26, '29': 6.26, '31': 6.36, '32': 6.46, '33': 6.46, '34': 6.54, '35': 6.55, '36': 6.57, '38': 6.76, '40': 6.76, '42': 6.89, '44': 6.87, '47': 6.87, '48': 6.87, '50': 6.87, '51': 6.87, '53': 6.96, '54': 6.96, '55': 7.07, '56': 7.05, '57': 7.06, '60': 7.05, '61': 7.04, '62': 7.0, '64': 6.87, '66': 6.7, '68': 6.71, '71': 6.72, '72': 6.82, '73': 6.82, '74': 7.09, '76': 6.96, '79': 6.91, '80': 7.01, '81': 7.04, '83': 7.02, '84': 7.01, '89': 7.03, '90': 7.03, '91': 7.0, '92': 7.11, '94': 7.21, '96': 7.21}",7.21,7.03,347467,278,Genoa
147,Hernán Crespo,9,FWR,184,81,46,True,False,Home,"{'0': 6.0, '5': 6.03, '6': 6.04, '10': 6.02, '11': 6.02, '12': 6.01, '20': 5.99, '22': 5.96, '27': 5.96, '28': 5.95, '29': 5.95, '35': 5.95, '39': 5.99, '41': 6.15, '42': 6.35, '44': 6.38, '47': 6.37, '48': 6.35, '51': 6.36, '53': 6.44, '55': 6.42, '58': 6.4, '61': 6.4, '64': 6.34, '70': 6.32, '72': 6.32, '74': 6.57, '76': 6.57, '77': 6.74, '80': 6.73, '84': 6.7, '85': 6.83, '86': 6.83, '88': 6.83, '90': 6.86, '91': 6.86, '93': 6.86, '96': 6.86}",6.86,7.03,347467,278,Genoa
4135,Giuseppe Sculli,14,FW,177,71,40,True,False,Home,"{'0': 6.0, '1': 6.15, '6': 6.27, '9': 6.26, '10': 6.38, '11': 6.38, '17': 6.38, '21': 6.37, '22': 6.37, '25': 6.35, '27': 6.45, '30': 6.45, '32': 6.45, '34': 6.5, '35': 6.51, '37': 6.54, '41': 6.71, '42': 7.5, '47': 7.48, '48': 7.51, '52': 7.52, '57': 7.51, '58': 7.5, '60': 7.51, '63': 7.51, '64': 7.42, '65': 7.38, '71': 7.34, '72': 7.33, '73': 7.32, '74': 7.53}",7.53,7.03,347467,278,Genoa
10468,Raffaele Palladino,10,FWL,182,74,37,True,False,Home,"{'0': 6.0, '3': 6.03, '6': 6.2, '8': 6.33, '11': 6.33, '13': 6.32, '17': 6.33, '18': 6.47, '19': 6.46, '22': 6.46, '24': 6.46, '26': 6.46, '28': 6.45, '29': 6.45, '31': 6.43, '32': 6.44, '33': 6.54, '34': 6.54, '36': 6.74, '38': 6.91, '40': 6.89, '42': 8.03, '47': 8.03, '48': 8.21, '50': 8.21, '51': 8.2, '53': 8.2, '54': 8.2, '55': 8.2, '57': 8.19, '60': 8.2, '63': 8.19, '64': 8.11, '65': 8.09, '69': 8.09}",8.09,7.03,347467,278,Genoa
14871,Rodrigo Palacio,8,Sub,180,75,39,False,False,Home,"{'73': 6.03, '74': 6.63, '77': 6.61, '78': 6.59, '80': 6.56, '83': 6.78, '86': 6.76, '90': 6.76, '91': 6.77, '92': 6.74, '94': 6.74, '96': 6.74}",6.74,7.03,347467,278,Genoa
6107,Giandomenico Mesto,20,Sub,180,74,39,False,False,Home,"{'69': 6.03, '70': 6.03, '74': 7.09, '80': 7.1, '85': 7.1, '87': 7.08, '88': 7.08, '92': 7.08, '94': 7.15, '95': 7.25, '96': 7.25}",7.25,7.03,347467,278,Genoa
11944,Andrea Esposito,16,Sub,191,84,35,False,False,Home,"{'81': 6.03, '87': 6.06, '88': 6.11, '92': 6.16, '96': 6.16}",6.16,7.03,347467,278,Genoa
37460,Silvano Raggio Garibaldi,18,Sub,178,62,32,False,False,Home,,,7.03,347467,278,Genoa
14152,Sergio Floccari,33,Sub,180,79,40,False,False,Home,,,7.03,347467,278,Genoa
57528,Danilo Russo,1,Sub,186,82,34,False,False,Home,,,7.03,347467,278,Genoa
42860,Nenad Tomovic,40,Sub,184,79,34,False,False,Home,,,7.03,347467,278,Genoa
5263,Sebastien Frey,1,GK,189,89,41,True,False,away,"{'0': 6.0, '1': 6.33, '7': 6.32, '8': 6.33, '17': 6.34, '24': 6.35, '29': 6.36, '32': 6.37, '34': 6.35, '35': 6.36, '36': 6.35, '38': 6.72, '40': 6.72, '41': 7.09, '42': 7.09, '45': 6.74, '48': 6.73, '51': 6.72, '52': 6.72, '53': 6.73, '54': 6.74, '61': 6.73, '64': 7.11, '66': 6.78, '71': 6.78, '72': 6.76, '73': 6.75, '74': 6.82, '77': 6.48, '85': 6.49, '86': 6.49, '90': 6.48, '92': 6.5, '95': 6.52, '96': 6.52}",6.52,6.7,347467,73,Fiorentina
1644,Gianluca Comotto,25,DR,181,79,43,True,False,away,"{'0': 6.0, '2': 6.24, '3': 6.25, '5': 6.25, '7': 6.35, '8': 6.38, '10': 6.38, '12': 6.38, '17': 6.54, '18': 6.54, '19': 6.54, '20': 6.55, '21': 6.54, '25': 6.54, '27': 6.55, '28': 6.55, '29': 6.64, '30': 6.63, '31': 6.63, '33': 6.68, '34': 6.68, '36': 6.68, '38': 6.67, '40': 6.82, '42': 6.65, '47': 6.42, '52': 6.43, '53': 6.48, '55': 6.47, '60': 6.47, '61': 6.47, '64': 6.79, '66': 6.56, '67': 6.56, '72': 6.56, '73': 6.55, '74': 6.62, '75': 6.38, '76': 6.39, '77': 6.47, '78': 6.47, '80': 6.6, '83': 6.6, '84': 6.61, '86': 6.61, '88': 6.6, '91': 6.7, '92': 6.84, '94': 6.84, '96': 6.84}",6.84,6.7,347467,73,Fiorentina
5997,Marco Donadel,4,DC,179,73,38,True,False,away,"{'0': 6.0, '1': 6.15, '2': 6.15, '3': 6.24, '5': 6.24, '9': 6.23, '10': 6.24, '11': 6.24, '12': 6.23, '13': 6.23, '14': 6.23, '20': 6.37, '21': 6.37, '22': 6.37, '24': 6.37, '25': 6.36, '27': 6.36, '31': 6.35, '36': 6.36, '38': 6.38, '40': 6.38, '42': 6.24, '43': 6.1, '48': 6.06, '50': 6.08, '53': 6.09, '55': 6.1, '56': 6.1, '58': 6.09, '61': 6.09, '62': 6.09, '64': 6.36, '74': 6.22}",6.22,6.7,347467,73,Fiorentina
14039,Manuel Pasqual,23,DC,178,71,39,True,False,away,"{'0': 6.0, '1': 6.23, '2': 6.23, '3': 6.22, '4': 6.32, '7': 6.31, '11': 6.29, '12': 6.3, '13': 6.41, '16': 6.41, '20': 6.41, '23': 6.4, '24': 6.4, '25': 6.4, '30': 6.38, '32': 6.39, '36': 6.56, '37': 6.54, '38': 6.55, '39': 6.53, '42': 6.36, '43': 6.13, '45': 6.13, '50': 6.12, '53': 6.12, '59': 6.22, '61': 6.22, '62': 6.22, '64': 7.06, '67': 6.82, '69': 6.82, '70': 6.81, '74': 6.87, '76': 6.64, '79': 6.65, '80': 6.65, '83': 6.65}",6.65,6.7,347467,73,Fiorentina
