playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
9972,Samir Handanovic,22,GK,193,92,37,True,False,Home,"{'0': 6.0, '3': 6.32, '4': 6.31, '5': 6.32, '9': 6.33, '10': 6.34, '13': 6.35, '15': 6.08, '24': 5.74, '26': 6.12, '34': 5.78, '45': 5.79, '49': 5.77, '52': 5.76, '54': 5.76, '56': 5.77, '59': 5.78, '60': 5.8, '61': 5.81, '63': 5.82, '65': 5.82, '67': 5.83, '70': 5.93, '79': 5.94, '80': 6.04, '81': 6.03, '82': 6.04, '90': 6.04, '91': 6.04, '93': 6.03, '95': 6.04, '96': 6.04}",6.04,6.89,347638,86,Udinese
14751,Dusan Basta,8,DR,183,76,37,True,False,Home,"{'0': 6.22, '3': 6.18, '4': 6.18, '5': 6.19, '6': 6.19, '9': 6.19, '10': 6.32, '15': 6.14, '16': 5.91, '17': 5.91, '18': 5.91, '19': 5.92, '20': 6.02, '22': 6.02, '24': 6.03, '26': 6.35, '27': 6.12, '30': 6.13, '31': 6.14, '34': 6.14, '38': 6.14, '39': 6.14, '41': 6.23, '47': 6.24, '48': 6.24, '51': 6.24, '52': 6.23, '54': 6.23, '56': 6.26, '59': 6.27, '61': 6.27, '64': 6.26, '66': 6.25, '67': 6.25, '69': 6.21, '72': 6.21, '76': 6.21, '77': 6.21, '78': 6.23, '80': 6.2, '81': 6.21, '82': 6.2, '83': 6.2, '84': 6.21, '85': 6.24, '86': 6.25, '87': 6.26, '90': 6.39, '92': 6.49, '93': 6.51, '95': 6.5, '96': 6.5}",6.5,6.89,347638,86,Udinese
33878,Mauricio Isla,3,DC,176,75,33,True,False,Home,"{'0': 6.13, '1': 6.22, '4': 6.22, '6': 6.22, '7': 6.22, '8': 6.33, '13': 6.33, '15': 6.21, '16': 6.07, '17': 6.25, '18': 6.24, '19': 6.24, '20': 6.24, '21': 6.25, '22': 6.25, '23': 6.25, '24': 6.26, '26': 6.5, '27': 6.37, '28': 6.38, '29': 6.49, '30': 6.49, '31': 6.63, '33': 6.61, '34': 6.61, '35': 6.61, '36': 6.61, '37': 6.65, '38': 6.74, '39': 6.75, '40': 6.87, '41': 6.88, '42': 6.87, '43': 6.84, '45': 6.92, '47': 6.92, '48': 6.9, '49': 6.91, '51': 6.87, '52': 6.89, '55': 7.0, '56': 7.0, '59': 7.01, '60': 7.09, '63': 7.09, '64': 7.09, '68': 7.21, '69': 7.19, '72': 7.19, '73': 7.2, '74': 7.21, '75': 7.2, '76': 7.2, '77': 7.21, '79': 7.2, '81': 7.21, '83': 7.21, '86': 7.21, '87': 7.22, '90': 7.26, '91': 7.26, '92': 7.27, '94': 7.27, '95': 7.38, '96': 7.38}",7.38,6.89,347638,86,Udinese
18743,Aleksander Lukovic,24,DC,185,83,39,True,False,Home,"{'0': 6.25, '1': 6.26, '2': 6.25, '3': 6.28, '4': 6.28, '7': 6.39, '9': 6.59, '10': 6.58, '13': 6.58, '15': 6.41, '17': 6.17, '18': 6.25, '19': 6.26, '21': 6.27, '23': 6.27, '24': 6.26, '26': 6.58, '27': 6.34, '30': 6.34, '31': 6.35, '34': 6.36, '35': 6.39, '36': 6.4, '39': 6.57, '41': 6.59, '43': 6.59, '44': 6.59, '48': 6.6, '49': 6.61, '51': 6.62, '53': 6.78, '54': 6.83, '55': 6.83, '56': 6.84, '58': 6.83, '63': 6.83, '64': 6.81, '68': 6.81, '70': 6.8, '71': 6.79, '72': 6.79, '73': 6.79, '77': 6.8, '80': 6.8, '83': 6.8, '84': 7.11, '86': 7.12, '87': 7.16, '91': 7.16, '92': 7.16, '94': 7.16, '96': 7.16}",7.16,6.89,347638,86,Udinese
14063,Cristián Zapata,2,DL,187,82,35,True,False,Home,"{'0': 6.26, '1': 6.29, '5': 6.43, '11': 6.42, '14': 6.53, '15': 6.33, '17': 6.07, '18': 6.08, '19': 6.08, '22': 6.08, '23': 6.09, '24': 6.08, '26': 6.42, '27': 6.13, '28': 6.23, '29': 6.24, '30': 6.24, '31': 6.23, '32': 6.36, '34': 6.37, '36': 6.37, '38': 6.39, '39': 6.4, '40': 6.4, '41': 6.41, '50': 6.54, '52': 6.52, '54': 6.52, '55': 6.62, '56': 6.62, '60': 6.64, '64': 6.66, '66': 6.64, '67': 6.64, '77': 6.78, '82': 6.78, '84': 6.78, '86': 6.79, '87': 6.79, '89': 6.79, '90': 6.78, '92': 6.86, '96': 6.86}",6.86,6.89,347638,86,Udinese
11615,Paolo Sammarco,14,MR,181,76,38,True,False,Home,"{'0': 6.15, '1': 6.18, '5': 6.19, '10': 6.23, '11': 6.24, '13': 6.24, '15': 6.1, '17': 5.95, '18': 5.97, '19': 5.97, '22': 5.98, '24': 5.98, '26': 6.25, '28': 6.22, '29': 6.2, '30': 6.32, '31': 6.3, '32': 6.31, '35': 6.32, '37': 6.48, '38': 6.49, '39': 6.57, '40': 6.56, '47': 6.54, '48': 6.55, '49': 6.56, '50': 6.56, '53': 6.53, '55': 6.54, '56': 6.54, '57': 6.55, '58': 6.55, '60': 6.63, '61': 6.64, '62': 6.64, '64': 6.65, '69': 6.62, '72': 6.62}",6.62,6.89,347638,86,Udinese
5680,Maurizio Domizzi,80,MC,185,83,41,True,False,Home,"{'0': 6.28, '1': 6.28, '4': 6.28, '5': 6.27, '7': 6.25, '8': 6.23, '9': 6.24, '13': 6.24, '15': 6.03, '26': 6.1}",6.1,6.89,347638,86,Udinese
15401,Gökhan Inler,88,MC,183,79,37,True,False,Home,"{'0': 6.0, '1': 6.15, '4': 6.16, '5': 6.26, '6': 6.32, '7': 6.37, '9': 6.37, '11': 6.37, '14': 6.44, '15': 6.3, '17': 6.29, '18': 6.44, '19': 6.65, '20': 6.65, '21': 6.75, '22': 6.75, '23': 6.76, '26': 7.02, '27': 6.88, '28': 6.89, '29': 6.88, '30': 7.02, '31': 7.09, '32': 7.09, '33': 7.09, '34': 7.09, '35': 7.18, '36': 7.18, '38': 7.29, '40': 7.31, '41': 7.31, '43': 7.3, '44': 7.28, '47': 7.27, '48': 7.31, '50': 7.32, '51': 7.33, '52': 7.38, '54': 7.37, '55': 7.37, '56': 7.37, '57': 7.36, '58': 7.26, '59': 7.26, '61': 7.27, '63': 7.3, '65': 7.3, '67': 7.29, '72': 7.31, '73': 7.31, '74': 7.34, '76': 7.38, '77': 7.38, '78': 7.38, '80': 7.38, '81': 7.52, '82': 7.51, '83': 7.52, '84': 7.52, '86': 7.51, '88': 7.64, '90': 7.61, '91': 7.61, '94': 7.7, '96': 7.7}",7.7,6.89,347638,86,Udinese
6077,Antonio Floro Flores,83,ML,181,68,38,True,False,Home,"{'0': 6.15, '1': 6.15, '5': 6.4, '6': 6.39, '15': 6.32, '16': 6.3, '17': 6.31, '18': 6.31, '20': 6.29, '23': 6.29, '26': 6.54, '30': 6.48, '31': 6.47, '33': 6.52, '34': 6.5, '36': 6.5, '39': 6.5, '42': 6.84, '43': 6.94, '47': 6.94, '50': 6.94, '51': 6.95, '52': 6.93, '53': 6.96, '57': 6.95, '61': 6.98, '64': 6.97, '66': 6.97, '67': 6.97, '68': 6.98, '70': 6.97, '73': 7.13, '74': 7.13, '78': 7.11, '80': 7.11, '81': 7.09, '82': 7.1, '85': 7.13, '91': 7.11, '93': 7.3, '95': 7.28, '96': 7.28}",7.28,6.89,347638,86,Udinese
4018,Antonio Di Natale,10,FW,170,70,44,True,False,Home,"{'0': 6.05, '4': 6.05, '5': 6.04, '6': 6.05, '7': 6.13, '13': 6.12, '15': 6.06, '18': 5.99, '19': 6.08, '21': 6.08, '22': 6.08, '25': 6.12, '26': 7.33, '27': 7.27, '28': 7.28, '29': 7.36, '31': 7.52, '32': 7.68, '33': 7.7, '36': 7.74, '37': 7.82, '38': 7.83, '39': 7.82, '41': 7.91, '42': 7.92, '44': 8.08, '47': 8.07, '48': 8.16, '49': 8.15, '50': 8.15, '51': 8.15, '56': 8.14, '59': 8.14, '61': 8.14, '62': 8.23, '65': 8.23, '67': 8.33, '68': 8.32, '69': 8.33, '71': 8.34, '72': 8.34, '73': 8.35, '76': 8.34, '77': 8.35, '78': 8.34, '79': 8.34, '80': 8.35, '82': 8.36, '87': 8.36, '91': 8.37, '92': 8.37, '93': 8.36, '95': 8.34, '96': 8.34}",8.34,6.89,347638,86,Udinese
