playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
6022,Marco Amelia,32,GK,190,90,39,True,False,Home,"{'0': 6.34, '3': 6.34, '5': 6.33, '6': 6.34, '7': 6.35, '10': 6.35, '12': 6.37, '13': 6.38, '15': 6.11, '18': 5.88, '35': 6.26, '36': 5.93, '38': 6.3, '40': 6.03, '41': 6.08, '43': 5.77, '44': 6.16, '45': 5.93, '46': 5.94, '49': 5.95, '55': 5.94, '57': 6.01, '61': 6.06, '66': 5.73, '72': 5.75, '73': 5.75, '81': 5.74, '83': 5.75, '84': 5.95, '85': 5.96, '89': 6.33, '90': 6.42, '94': 6.42, '95': 6.79, '96': 6.79}",6.79,7.35,347948,278,Genoa
630,Marco Rossi,7,DC,179,71,43,True,False,Home,"{'0': 6.14, '2': 6.15, '3': 6.15, '7': 6.16, '8': 6.16, '10': 6.16, '11': 6.24, '12': 6.27, '15': 6.16, '18': 5.92, '21': 5.93, '22': 5.91, '23': 5.9, '24': 6.03, '26': 6.03, '27': 6.03, '29': 6.04, '30': 6.04, '32': 6.34, '33': 6.33, '35': 6.58, '36': 6.43, '38': 6.82, '40': 6.7, '41': 6.82, '44': 7.91, '48': 7.79, '49': 7.79, '50': 7.76, '51': 7.75, '53': 7.9, '54': 7.86, '56': 7.87, '57': 7.89, '58': 7.75, '59': 7.75, '61': 8.0, '67': 7.86, '73': 7.87, '77': 7.88, '81': 7.88, '83': 7.96, '89': 8.06, '90': 8.06, '96': 8.06}",8.06,7.35,347948,278,Genoa
2877,Emiliano Moretti,24,DC,185,80,40,True,False,Home,"{'0': 6.27, '2': 6.25, '3': 6.26, '6': 6.34, '7': 6.34, '8': 6.34, '10': 6.33, '13': 6.33, '15': 6.13, '20': 5.86, '24': 5.87, '26': 5.87, '28': 6.0, '29': 5.99, '32': 6.0, '35': 6.33, '37': 6.07, '38': 6.4, '40': 6.2, '41': 6.27, '43': 5.99, '44': 6.33, '49': 6.11, '51': 6.19, '54': 6.22, '56': 6.22, '57': 6.29, '60': 6.02}",6.02,7.35,347948,278,Genoa
4134,Omar Milanetto,77,DC,175,73,46,True,False,Home,"{'0': 6.17, '1': 6.16, '2': 6.17, '3': 6.17, '6': 6.18, '7': 6.17, '8': 6.18, '10': 6.19, '12': 6.19, '13': 6.2, '15': 6.06, '16': 5.93, '17': 5.9, '19': 5.9, '21': 5.92, '23': 5.91, '24': 5.91, '25': 5.91, '26': 5.92, '27': 5.92, '28': 5.93, '30': 6.03, '34': 6.13, '35': 6.4, '36': 6.25, '37': 6.24, '38': 6.51, '40': 6.38, '41': 6.5, '43': 6.36, '44': 7.24, '46': 7.1, '48': 7.1, '49': 7.1, '52': 7.09, '53': 7.09, '55': 7.1, '56': 7.1, '57': 7.12, '58': 6.98, '59': 6.97, '61': 8.33, '63': 8.18, '65': 8.19, '66': 8.19, '67': 8.2, '68': 8.21, '69': 8.21, '71': 8.22, '72': 8.22, '73': 8.22, '74': 8.21, '75': 8.26, '76': 8.26, '80': 8.26, '81': 8.27, '85': 8.28, '88': 8.27, '89': 8.29, '90': 8.31, '92': 8.3, '93': 8.31, '96': 8.31}",8.31,7.35,347948,278,Genoa
22210,Sokratis Papastathopoulos,15,MR,186,85,33,True,False,Home,"{'0': 6.27, '4': 6.26, '5': 6.25, '8': 6.25, '9': 6.24, '10': 6.25, '13': 6.28, '15': 6.21, '17': 6.05, '20': 6.06, '21': 6.23, '26': 6.23, '27': 6.22, '29': 6.22, '30': 6.22, '31': 6.27, '32': 6.28, '35': 6.61, '36': 6.33, '37': 6.33, '38': 6.65, '40': 6.45, '41': 7.04, '44': 7.1, '48': 6.94, '54': 6.94, '57': 7.01, '60': 6.9, '61': 7.24, '62': 7.1, '69': 7.1, '70': 7.09, '73': 7.09, '75': 7.1, '76': 7.08, '77': 7.07, '81': 7.08, '85': 7.06, '88': 6.91, '89': 6.89, '93': 6.9, '96': 6.9}",6.9,7.35,347948,278,Genoa
13895,Domenico Criscito,4,MC,183,75,35,True,False,Home,"{'0': 6.13, '2': 6.13, '3': 6.24, '4': 6.34, '6': 6.38, '7': 6.39, '8': 6.37, '10': 6.37, '13': 6.37, '15': 6.26, '16': 6.11, '17': 6.12, '18': 6.17, '20': 6.28, '21': 6.28, '24': 6.28, '25': 6.38, '29': 6.48, '31': 6.49, '32': 6.48, '33': 6.48, '35': 6.73, '36': 6.59, '38': 6.84, '40': 6.72, '41': 6.84, '44': 6.96, '45': 6.91, '48': 6.91, '52': 6.91, '53': 6.92, '55': 6.92, '56': 6.93, '57': 6.94, '58': 6.8, '59': 6.97, '61': 7.23, '64': 7.1, '65': 7.13, '69': 7.12, '70': 7.24, '71': 7.24, '73': 7.24, '74': 7.24, '75': 7.24, '76': 7.25, '80': 7.26, '81': 7.27, '83': 7.28, '86': 7.28, '87': 7.28, '90': 7.3, '91': 7.25, '94': 7.23, '95': 7.22, '96': 7.22}",7.22,7.35,347948,278,Genoa
9457,Alberto Zapater,21,MC,180,80,36,True,False,Home,"{'0': 6.25, '7': 6.25, '8': 6.26, '9': 6.26, '12': 6.24, '13': 6.24, '14': 6.32, '15': 6.19, '16': 6.01, '19': 6.01, '20': 6.01, '21': 5.98, '24': 5.98, '25': 5.98, '27': 5.97, '29': 5.97, '31': 6.0, '33': 5.99, '34': 6.0, '35': 6.93, '37': 6.92, '38': 7.19, '40': 7.05, '41': 7.3, '43': 7.15, '44': 7.42, '46': 7.25, '48': 7.25, '50': 7.32, '54': 7.31, '55': 7.62, '56': 7.67, '57': 7.68, '58': 7.52, '59': 7.52, '61': 7.78, '63': 7.64, '64': 7.64}",7.64,7.35,347948,278,Genoa
23065,Salvatore Bocchetti,26,ML,186,81,35,True,False,Home,"{'0': 6.27, '1': 6.4, '2': 6.46, '4': 6.46, '5': 6.47, '8': 6.49, '10': 6.54, '11': 6.53, '12': 6.58, '14': 6.74, '15': 6.51, '17': 6.25, '20': 6.26, '21': 6.26, '24': 6.26, '26': 6.26, '27': 6.28, '29': 6.29, '30': 6.28, '31': 6.29, '32': 6.28, '33': 6.33, '35': 6.67, '37': 6.41, '38': 6.75, '40': 6.55, '41': 6.62, '43': 6.49, '44': 6.83, '45': 7.14, '48': 7.16, '51': 7.21, '52': 7.26, '53': 7.22, '55': 7.23, '56': 6.4, '57': 5.9, '59': 5.64, '60': 5.67, '61': 6.02, '63': 5.77, '64': 5.75, '66': 5.88, '67': 5.9, '68': 5.91, '73': 5.92, '75': 5.92, '77': 5.95, '80': 5.95, '81': 5.98, '82': 6.03, '84': 6.04, '86': 6.09, '90': 6.19, '92': 6.18, '93': 6.23, '94': 6.28, '95': 6.36, '96': 6.39}",6.39,7.35,347948,278,Genoa
4135,Giuseppe Sculli,14,FWR,177,71,40,True,False,Home,"{'0': 6.23, '1': 6.24, '2': 6.24, '3': 6.24, '5': 6.22, '6': 6.21, '7': 6.5, '9': 6.49, '11': 6.48, '13': 6.48, '14': 6.46, '15': 6.39, '17': 6.34, '19': 6.38, '20': 6.41, '21': 6.5, '24': 6.53, '25': 6.53, '28': 6.69, '29': 6.79, '30': 6.8, '31': 6.8, '32': 6.89, '33': 6.89, '35': 7.14, '37': 7.09, '38': 7.6, '40': 7.53, '41': 8.7, '44': 8.9, '46': 8.84, '48': 8.87, '49': 8.87, '50': 8.84, '53': 8.84, '54': 8.82, '56': 8.8, '57': 8.79, '58': 8.77, '59': 8.94, '61': 9.27, '64': 9.22, '66': 9.22, '67': 9.17, '68': 9.17, '71': 9.34, '75': 9.34, '77': 9.35, '78': 9.34, '80': 9.34, '81': 9.32, '83': 9.37, '85': 9.36, '86': 9.37, '90': 9.37, '92': 9.37, '95': 9.37, '96': 9.37}",9.37,7.35,347948,278,Genoa
14871,Rodrigo Palacio,8,FW,180,75,39,True,True,Home,"{'0': 6.05, '1': 6.05, '2': 6.05, '3': 6.06, '4': 6.08, '6': 6.23, '7': 6.2, '8': 6.2, '9': 6.2, '11': 6.3, '12': 6.29, '13': 6.3, '15': 6.21, '16': 6.16, '23': 6.17, '24': 6.17, '25': 6.33, '26': 6.3, '28': 6.26, '30': 6.44, '33': 6.44, '34': 6.8, '35': 7.02, '36': 6.98, '38': 8.34, '40': 8.26, '41': 8.41, '43': 8.4, '44': 8.62, '46': 8.57, '48': 8.57, '49': 8.57, '51': 8.59, '52': 8.6, '56': 8.58, '57': 8.55, '58': 8.61, '59': 8.61, '61': 9.34, '63': 9.3, '66': 9.3, '68': 9.3, '71': 9.47, '74': 9.46, '76': 9.61, '77': 9.61, '84': 9.6, '86': 9.72, '88': 9.82, '90': 9.79, '92': 9.8, '93': 9.96, '96': 9.96}",9.96,7.35,347948,278,Genoa
