playerId,name,number,position,height,weight,age,isStarter,isManOfTheMatch,team,ratings,finalPlayerRating,finalTeamRating,matchId,teamId,teamName
24526,Julio Sergio,27,GK,187,80,43,True,False,Home,"{'0': 6.0, '1': 6.32, '5': 6.33, '8': 6.33, '10': 6.34, '15': 6.33, '19': 6.34, '29': 6.34, '46': 6.45, '48': 6.45, '51': 6.46, '52': 6.46, '56': 6.45, '57': 6.45, '60': 6.46, '61': 6.45, '62': 6.45, '64': 6.45, '66': 6.83, '71': 6.83, '72': 6.83, '75': 6.56, '76': 6.23, '78': 6.23, '81': 6.62, '82': 6.29, '83': 6.29, '85': 6.68, '87': 6.35, '89': 6.35, '96': 6.35}",6.35,7.18,347821,84,Roma
12874,Marco Motta,13,DR,188,81,35,True,False,Home,"{'0': 6.0, '1': 6.23, '2': 6.23, '3': 6.23, '5': 6.23, '6': 6.24, '8': 6.38, '10': 6.37, '11': 6.37, '13': 6.37, '15': 6.35, '20': 6.35, '21': 6.44, '22': 6.45, '23': 6.44, '24': 6.45, '27': 6.46, '28': 6.51, '29': 6.71, '33': 6.72, '36': 6.9, '38': 7.03, '40': 7.03, '41': 7.34, '44': 7.33, '45': 7.38, '48': 7.53, '52': 7.53, '53': 7.74, '54': 7.74, '56': 7.73, '57': 7.93, '58': 7.93, '60': 7.91, '61': 7.92, '64': 7.91, '68': 8.1, '69': 8.09, '70': 8.1, '71': 8.14, '75': 7.97, '76': 7.74, '79': 7.74}",7.74,7.18,347821,84,Roma
2239,David Pizarro,7,DC,170,65,42,True,False,Home,"{'0': 6.0, '1': 6.2, '3': 6.21, '4': 6.22, '7': 6.22, '8': 6.21, '9': 6.22, '11': 6.19, '12': 6.19, '13': 6.19, '15': 6.22, '19': 6.22, '20': 6.23, '21': 6.24, '22': 6.26, '23': 6.26, '24': 6.26, '29': 6.27, '30': 6.27, '31': 6.34, '34': 6.33, '35': 6.34, '38': 6.5, '39': 6.88, '40': 6.92, '41': 6.93, '42': 7.02, '43': 7.02, '46': 7.02, '49': 7.12, '51': 7.12, '52': 7.11, '54': 6.96, '56': 6.98, '59': 6.98, '60': 6.98, '64': 7.06, '65': 7.03, '66': 7.04, '68': 7.04, '70': 7.2, '71': 7.21, '72': 7.46, '73': 7.46, '75': 7.31, '76': 7.12, '81': 7.42, '82': 7.23, '83': 7.32, '85': 7.62, '87': 7.42, '88': 7.43, '90': 7.44, '91': 7.43, '92': 7.44, '94': 7.46, '95': 7.44, '96': 7.44}",7.44,7.18,347821,84,Roma
1045,John Arne Riise,17,DC,188,77,41,True,False,Home,"{'0': 6.0, '1': 6.26, '4': 6.43, '6': 6.42, '8': 6.42, '10': 6.42, '11': 6.42, '12': 6.42, '13': 6.43, '16': 6.43, '19': 6.43, '21': 6.44, '22': 6.44, '23': 6.44, '24': 6.45, '26': 6.45, '28': 6.46, '30': 6.46, '31': 6.45, '33': 6.44, '35': 6.44, '36': 6.44, '38': 6.44, '39': 6.46, '40': 6.46, '43': 6.46, '45': 6.47, '46': 6.45, '51': 6.44, '56': 6.45, '59': 6.56, '60': 6.57, '61': 6.57, '63': 6.57, '64': 6.59, '68': 6.59, '69': 6.59, '71': 6.6, '72': 6.91, '73': 6.92, '74': 6.8, '75': 6.63, '78': 6.4, '81': 6.72, '83': 6.49, '84': 6.48, '85': 6.8, '87': 6.57, '88': 6.57, '90': 6.63, '91': 6.63, '92': 6.63, '94': 6.64, '95': 6.64, '96': 6.64}",6.64,7.18,347821,84,Roma
10333,Nicolás Burdisso,29,DL,183,81,40,True,False,Home,"{'0': 6.0, '1': 6.27, '3': 6.47, '6': 6.48, '10': 6.48, '11': 6.48, '13': 6.48, '14': 6.51, '21': 6.52, '24': 6.52, '31': 6.57, '33': 6.57, '39': 6.58, '41': 6.56, '51': 6.56, '52': 6.56, '54': 6.7, '55': 6.7, '57': 6.71, '58': 6.71, '59': 6.72, '60': 6.72, '61': 6.72, '63': 6.73, '64': 6.73, '65': 6.73, '66': 6.74, '68': 6.75, '69': 6.75, '70': 6.76, '72': 6.77, '75': 6.57, '76': 6.39, '77': 6.39, '81': 6.73, '83': 6.47, '84': 6.47, '85': 6.8, '86': 6.54, '87': 6.54, '88': 6.55, '89': 6.55, '91': 6.55, '92': 6.55, '93': 6.56, '94': 6.57, '95': 6.58, '96': 6.58}",6.58,7.18,347821,84,Roma
3729,Juan,4,DMC,182,74,42,True,False,Home,"{'0': 6.32, '1': 6.32, '6': 6.32, '7': 6.32, '8': 6.33, '9': 6.34, '10': 6.34, '11': 6.33, '14': 6.35, '15': 6.76, '19': 6.76, '21': 6.76, '22': 6.9, '23': 6.98, '24': 6.99, '28': 6.99, '30': 7.1, '37': 7.2, '38': 7.21, '41': 7.37, '43': 7.35, '44': 7.48, '48': 7.49, '50': 7.59, '56': 7.64, '57': 7.65, '59': 7.65, '60': 7.66, '63': 7.76, '64': 7.77, '66': 7.77, '70': 7.78, '71': 7.78, '72': 7.79, '75': 7.59, '78': 7.31, '81': 7.65, '85': 7.71, '87': 7.45, '89': 7.45, '91': 7.45, '92': 7.46, '94': 7.46, '95': 7.46, '96': 7.46}",7.46,7.18,347821,84,Roma
1964,Simone Perrotta,20,MC,178,72,44,True,False,Home,"{'0': 6.0, '3': 6.13, '4': 6.22, '5': 6.22, '6': 6.23, '7': 6.24, '9': 6.34, '11': 6.35, '13': 6.34, '17': 6.34, '22': 6.46, '23': 6.55, '25': 6.53, '27': 6.54, '28': 6.54, '29': 6.54, '31': 6.53, '36': 6.55, '38': 6.55, '40': 6.64, '41': 6.65, '43': 6.63, '45': 6.64, '46': 6.64, '51': 6.64, '52': 6.64, '53': 6.75, '54': 6.77, '56': 6.77, '58': 6.77, '69': 6.77, '72': 6.76, '73': 6.74, '75': 6.62, '76': 6.49, '77': 6.49, '78': 6.57, '80': 6.66, '81': 6.91, '83': 6.78, '85': 7.03, '89': 6.9, '90': 6.9, '92': 6.9, '96': 6.9}",6.9,7.18,347821,84,Roma
183,Francesco Totti,10,MC,180,82,45,True,True,Home,"{'0': 6.05, '3': 6.05, '4': 6.36, '5': 6.37, '6': 6.37, '7': 6.36, '9': 6.55, '11': 6.51, '14': 6.52, '19': 6.6, '23': 6.69, '24': 6.69, '27': 6.69, '28': 6.69, '30': 6.69, '36': 6.67, '48': 6.69, '49': 6.65, '52': 6.65, '56': 6.65, '58': 6.65, '61': 6.65, '68': 6.82, '72': 6.82, '73': 6.82, '75': 6.76, '77': 6.7, '78': 6.87, '79': 6.95, '80': 6.98, '81': 8.2, '84': 8.15, '85': 9.07, '86': 9.12, '88': 9.21, '89': 9.3, '96': 9.3}",9.3,7.18,347821,84,Roma
5202,Daniele De Rossi,16,AMC,184,83,38,True,False,Home,"{'0': 6.14, '1': 6.15, '3': 6.16, '5': 6.17, '7': 6.17, '9': 6.15, '10': 6.15, '11': 6.16, '13': 6.16, '14': 6.12, '15': 6.12, '16': 6.22, '17': 6.21, '19': 6.21, '21': 6.22, '22': 6.22, '24': 6.22, '25': 6.34, '27': 6.33, '28': 6.34, '29': 6.54, '30': 6.54, '31': 6.54, '32': 6.53, '34': 6.54, '36': 6.54, '38': 6.54, '39': 6.55, '40': 6.52, '43': 6.52, '44': 6.53, '45': 6.53, '46': 6.62, '50': 6.61, '53': 6.62, '54': 6.63, '55': 6.74, '56': 6.74, '58': 6.75, '59': 6.92, '60': 6.93, '61': 7.04, '62': 7.04, '63': 7.05, '64': 7.06, '65': 7.07, '66': 7.07, '68': 7.12, '69': 7.12, '70': 7.11, '71': 7.12, '72': 7.12, '75': 7.01, '76': 6.84, '77': 6.84, '79': 7.01, '81': 7.26, '82': 7.19, '83': 7.24, '84': 7.25, '85': 7.5, '87': 7.36, '88': 7.37, '89': 7.38, '90': 7.39, '91': 7.43, '92': 7.43, '94': 7.43, '95': 7.43, '96': 7.43}",7.43,7.18,347821,84,Roma
10407,Jérémy Ménez,94,FW,182,79,34,True,False,Home,"{'0': 6.09, '2': 6.09, '5': 6.2, '6': 6.2, '9': 6.19, '11': 6.19, '12': 6.23, '13': 6.24, '16': 6.25, '19': 6.43, '21': 6.48, '22': 6.47, '23': 6.49, '24': 6.5, '27': 6.51, '30': 6.6, '31': 6.71, '33': 6.72, '34': 6.71, '35': 6.73, '36': 6.75, '39': 6.76, '40': 6.85, '41': 6.94, '44': 6.94, '45': 6.9, '46': 6.9, '49': 6.9, '53': 6.91, '54': 6.9, '55': 6.88, '58': 7.05, '59': 7.14, '60': 7.15, '65': 7.24, '67': 7.41, '68': 7.41, '69': 7.42, '70': 7.67, '71': 7.66, '72': 7.67, '73': 7.67, '75': 7.57, '77': 7.49, '80': 7.77, '81': 8.51, '82': 8.43, '85': 8.64}",8.64,7.18,347821,84,Roma
